Temperature,Humidity,Precipitation,WindSpeed,WindDirection,Date,Station,wind_u,wind_v
6.4,85,0.0,8.0,176,2015-01-01,ALGORTA_BBIZI2,-7.980512402078594,0.5580517899530042
6.7,85,0.0,8.0,176,2015-01-01,BARAKALDO,-7.980512402078594,0.5580517899530042
4.7,82,0.0,8.0,176,2015-01-01,BASAURI,-7.980512402078594,0.5580517899530042
6.8,85,0.0,8.0,176,2015-01-01,ERANDIO,-7.980512402078594,0.5580517899530042
6.8,83,0.0,8.0,176,2015-01-01,MAZARREDO,-7.980512402078594,0.5580517899530042
6.3,84,0.0,8.0,176,2015-01-01,MUSKIZ,-7.980512402078594,0.5580517899530042
6.2,85,0.0,8.0,176,2015-01-01,SANTURCE,-7.980512402078594,0.5580517899530042
6.2,85,0.0,8.0,176,2015-01-01,Santurtzi,-7.980512402078594,0.5580517899530042
8.3,81,0.0,8.9,207,2015-01-02,ALGORTA_BBIZI2,-7.929958065276475,-4.040515447681965
8.6,81,0.0,8.9,207,2015-01-02,BARAKALDO,-7.929958065276475,-4.040515447681965
6.4,82,0.0,8.9,207,2015-01-02,BASAURI,-7.929958065276475,-4.040515447681965
8.7,81,0.0,8.9,207,2015-01-02,ERANDIO,-7.929958065276475,-4.040515447681965
8.9,80,0.0,8.9,207,2015-01-02,MAZARREDO,-7.929958065276475,-4.040515447681965
8.2,80,0.0,8.9,207,2015-01-02,MUSKIZ,-7.929958065276475,-4.040515447681965
8.1,81,0.0,8.9,207,2015-01-02,SANTURCE,-7.929958065276475,-4.040515447681965
8.1,81,0.0,8.9,207,2015-01-02,Santurtzi,-7.929958065276475,-4.040515447681965
8.9,80,0.0,13.0,215,2015-01-03,ALGORTA_BBIZI2,-10.648976575756894,-7.4564936725636
9.2,80,0.0,13.0,215,2015-01-03,BARAKALDO,-10.648976575756894,-7.4564936725636
7.9,78,0.0,13.0,215,2015-01-03,BASAURI,-10.648976575756894,-7.4564936725636
9.3,80,0.0,13.0,215,2015-01-03,ERANDIO,-10.648976575756894,-7.4564936725636
9.4,80,0.0,13.0,215,2015-01-03,MAZARREDO,-10.648976575756894,-7.4564936725636
8.8,81,0.0,13.0,215,2015-01-03,MUSKIZ,-10.648976575756894,-7.4564936725636
8.7,80,0.0,13.0,215,2015-01-03,SANTURCE,-10.648976575756894,-7.4564936725636
8.7,80,0.0,13.0,215,2015-01-03,Santurtzi,-10.648976575756894,-7.4564936725636
9.6,88,0.0,8.7,219,2015-01-04,ALGORTA_BBIZI2,-6.7611698646756455,-5.475087402133587
10.0,88,0.0,8.7,219,2015-01-04,BARAKALDO,-6.7611698646756455,-5.475087402133587
8.2,89,0.0,8.7,219,2015-01-04,BASAURI,-6.7611698646756455,-5.475087402133587
10.1,88,0.0,8.7,219,2015-01-04,ERANDIO,-6.7611698646756455,-5.475087402133587
10.1,87,0.0,8.7,219,2015-01-04,MAZARREDO,-6.7611698646756455,-5.475087402133587
9.8,89,0.0,8.7,219,2015-01-04,MUSKIZ,-6.7611698646756455,-5.475087402133587
9.4,88,0.0,8.7,219,2015-01-04,SANTURCE,-6.7611698646756455,-5.475087402133587
9.4,88,0.0,8.7,219,2015-01-04,Santurtzi,-6.7611698646756455,-5.475087402133587
9.0,85,0.0,13.9,170,2015-01-05,ALGORTA_BBIZI2,-13.688827766869691,2.413709669570331
9.4,85,0.0,13.9,170,2015-01-05,BARAKALDO,-13.688827766869691,2.413709669570331
7.9,87,0.0,13.9,170,2015-01-05,BASAURI,-13.688827766869691,2.413709669570331
9.5,85,0.0,13.9,170,2015-01-05,ERANDIO,-13.688827766869691,2.413709669570331
9.5,86,0.0,13.9,170,2015-01-05,MAZARREDO,-13.688827766869691,2.413709669570331
9.2,86,0.0,13.9,170,2015-01-05,MUSKIZ,-13.688827766869691,2.413709669570331
8.9,85,0.0,13.9,170,2015-01-05,SANTURCE,-13.688827766869691,2.413709669570331
8.9,85,0.0,13.9,170,2015-01-05,Santurtzi,-13.688827766869691,2.413709669570331
9.2,86,0.0,10.2,224,2015-01-06,ALGORTA_BBIZI2,-7.33726596345424,-7.085515378681771
9.5,86,0.0,10.2,224,2015-01-06,BARAKALDO,-7.33726596345424,-7.085515378681771
7.8,88,0.0,10.2,224,2015-01-06,BASAURI,-7.33726596345424,-7.085515378681771
9.6,86,0.0,10.2,224,2015-01-06,ERANDIO,-7.33726596345424,-7.085515378681771
9.7,86,0.0,10.2,224,2015-01-06,MAZARREDO,-7.33726596345424,-7.085515378681771
9.3,86,0.0,10.2,224,2015-01-06,MUSKIZ,-7.33726596345424,-7.085515378681771
9.0,86,0.0,10.2,224,2015-01-06,SANTURCE,-7.33726596345424,-7.085515378681771
9.0,86,0.0,10.2,224,2015-01-06,Santurtzi,-7.33726596345424,-7.085515378681771
8.5,86,0.0,10.5,186,2015-01-07,ALGORTA_BBIZI2,-10.44247990136687,-1.0975488643103617
8.8,86,0.0,10.5,186,2015-01-07,BARAKALDO,-10.44247990136687,-1.0975488643103617
7.8,88,0.0,10.5,186,2015-01-07,BASAURI,-10.44247990136687,-1.0975488643103617
9.0,86,0.0,10.5,186,2015-01-07,ERANDIO,-10.44247990136687,-1.0975488643103617
9.0,86,0.0,10.5,186,2015-01-07,MAZARREDO,-10.44247990136687,-1.0975488643103617
8.4,87,0.0,10.5,186,2015-01-07,MUSKIZ,-10.44247990136687,-1.0975488643103617
8.3,86,0.0,10.5,186,2015-01-07,SANTURCE,-10.44247990136687,-1.0975488643103617
8.3,86,0.0,10.5,186,2015-01-07,Santurtzi,-10.44247990136687,-1.0975488643103617
8.6,81,0.3,15.3,208,2015-01-08,ALGORTA_BBIZI2,-13.509098170741582,-7.18291491062413
8.9,81,0.3,15.3,208,2015-01-08,BARAKALDO,-13.509098170741582,-7.18291491062413
7.3,82,0.3,15.3,208,2015-01-08,BASAURI,-13.509098170741582,-7.18291491062413
9.0,81,0.3,15.3,208,2015-01-08,ERANDIO,-13.509098170741582,-7.18291491062413
9.1,81,0.3,15.3,208,2015-01-08,MAZARREDO,-13.509098170741582,-7.18291491062413
8.5,81,0.3,15.3,208,2015-01-08,MUSKIZ,-13.509098170741582,-7.18291491062413
8.4,81,0.3,15.3,208,2015-01-08,SANTURCE,-13.509098170741582,-7.18291491062413
8.4,81,0.3,15.3,208,2015-01-08,Santurtzi,-13.509098170741582,-7.18291491062413
10.6,79,0.0,14.1,202,2015-01-09,ALGORTA_BBIZI2,-13.073292349391702,-5.28195296716436
10.9,79,0.0,14.1,202,2015-01-09,BARAKALDO,-13.073292349391702,-5.28195296716436
9.9,78,0.0,14.1,202,2015-01-09,BASAURI,-13.073292349391702,-5.28195296716436
11.0,79,0.0,14.1,202,2015-01-09,ERANDIO,-13.073292349391702,-5.28195296716436
11.1,79,0.0,14.1,202,2015-01-09,MAZARREDO,-13.073292349391702,-5.28195296716436
10.8,79,0.0,14.1,202,2015-01-09,MUSKIZ,-13.073292349391702,-5.28195296716436
