Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);SO2 (µg/m3)
31/12/2012;2;6;9;80;14
30/12/2012;2;6;8;69;9
29/12/2012;2;9;11;76;10
28/12/2012;5;14;22;67;14
27/12/2012;2;11;14;58;18
26/12/2012;4;16;21;55;9
25/12/2012;2;16;19;63;11
24/12/2012;2;5;8;79;3
23/12/2012;1;4;6;77;2
22/12/2012;3;12;17;62;2
21/12/2012;11;27;44;55;13
20/12/2012;18;33;61;48;6
19/12/2012;14;25;46;47;7
18/12/2012;32;42;91;27;6
17/12/2012;4;19;26;69;7
16/12/2012;1;7;9;81;7
15/12/2012;2;12;14;80;5
14/12/2012;4;24;30;71;15
13/12/2012;2;8;11;68;4
12/12/2012;14;30;51;31;6
11/12/2012;45;56;126;22;7
10/12/2012;76;63;181;5;8
09/12/2012;13;35;56;30;5
08/12/2012;1;9;11;88;3
07/12/2012;2;10;12;77;4
06/12/2012;3;20;25;61;4
05/12/2012;2;11;14;85;7
04/12/2012;2;15;19;81;13
03/12/2012;;;;;7
02/12/2012;;;;57;9
01/12/2012;;;;47;5
30/11/2012;;;;52;6
29/11/2012;;;;84;6
28/11/2012;;;;69;11
27/11/2012;2;11;15;84;7
26/11/2012;2;19;22;67;15
25/11/2012;3;24;29;52;10
24/11/2012;1;8;10;82;9
23/11/2012;2;8;11;85;6
22/11/2012;21;36;69;47;8
21/11/2012;6;25;35;67;15
20/11/2012;2;16;20;70;5
19/11/2012;29;51;95;23;8
18/11/2012;1;14;16;74;5
17/11/2012;8;32;44;35;6
16/11/2012;3;20;24;55;5
15/11/2012;9;33;47;42;6
14/11/2012;12;42;61;29;8
13/11/2012;39;54;114;16;8
12/11/2012;;;;15;10
11/11/2012;;;;77;8
10/11/2012;3;11;15;76;8
09/11/2012;;;;;7
08/11/2012;;;;;5
07/11/2012;;;;;7
06/11/2012;;;;;7
05/11/2012;;;;;16
04/11/2012;;;;;5
03/11/2012;;;;;4
02/11/2012;;;;;4
01/11/2012;;;;;14
31/10/2012;;;;;9
27/10/2012;;;;;5
26/10/2012;;;;;9
25/10/2012;;;;;5
24/10/2012;;;;;6
23/10/2012;;;;;8
22/10/2012;;;;;15
21/10/2012;;;;;10
20/10/2012;;;;;8
19/10/2012;;;;;9
18/10/2012;;;;;9
17/10/2012;;;;;5
16/10/2012;;;;;6
15/10/2012;;;;;7
14/10/2012;;;;;13
13/10/2012;;;;;8
12/10/2012;;;;;8
11/10/2012;;;;;8
10/10/2012;;;;;8
09/10/2012;;;;;9
08/10/2012;;;;;8
07/10/2012;;;;;10
06/10/2012;;;;;7
05/10/2012;;;;;10
04/10/2012;;;;;8
03/10/2012;;;;;9
02/10/2012;;;;;13
01/10/2012;;;;;17
30/09/2012;;;;;11
29/09/2012;;;;;5
28/09/2012;;;;;8
27/09/2012;;;;;8
26/09/2012;;;;;6
25/09/2012;;;;;6
24/09/2012;;;;;13
23/09/2012;;;;;4
22/09/2012;;;;;9
21/09/2012;;;;;6
20/09/2012;;;;;8
19/09/2012;;;;;4
18/09/2012;;;;;4
17/09/2012;;;;;5
16/09/2012;;;;;7
15/09/2012;;;;;5
14/09/2012;;;;;3
13/09/2012;;;;;3
12/09/2012;;;;;2
11/09/2012;;;;;4
10/09/2012;;;;;3
09/09/2012;;;;;9
08/09/2012;;;;;14
07/09/2012;14;38;;;15
06/09/2012;11;29;;;7
05/09/2012;1;14;;;4
04/09/2012;1;11;;;4
03/09/2012;1;8;;;3
02/09/2012;3;16;;;8
01/09/2012;2;13;;;5
31/08/2012;2;10;;;3
30/08/2012;3;13;;;5
29/08/2012;4;18;;;4
28/08/2012;9;23;;;7
27/08/2012;10;20;;;6
26/08/2012;7;16;;;6
25/08/2012;6;10;;;8
24/08/2012;12;26;;;9
23/08/2012;8;15;;;3
22/08/2012;8;12;;;2
21/08/2012;9;13;;;3
20/08/2012;17;20;;;5
19/08/2012;11;14;;;6
18/08/2012;12;16;;;5
17/08/2012;15;30;;;8
16/08/2012;15;27;;;5
15/08/2012;12;11;;;3
14/08/2012;14;30;;;7
13/08/2012;15;23;;;5
12/08/2012;6;15;;;8
11/08/2012;2;13;;;7
10/08/2012;13;44;;;15
09/08/2012;14;38;;;10
08/08/2012;14;27;;;7
07/08/2012;9;21;;;6
06/08/2012;8;14;;;5
05/08/2012;1;9;;;4
04/08/2012;2;17;;;4
03/08/2012;7;17;;;6
02/08/2012;2;11;;;3
01/08/2012;2;15;;;4
31/07/2012;5;19;;;5
30/07/2012;;;;;4
28/07/2012;1;9;;;1
15/07/2012;3;11;;;5
14/07/2012;4;11;;;6
13/07/2012;13;26;;;9
12/07/2012;11;21;;;6
11/07/2012;5;16;;;4
10/07/2012;4;16;;;3
09/07/2012;6;20;;;4
08/07/2012;3;10;;;7
07/07/2012;9;23;;;11
06/07/2012;8;21;;;6
05/07/2012;4;15;;;5
04/07/2012;21;34;;;17
03/07/2012;17;41;;;19
02/07/2012;;;;;10
01/07/2012;;;;;6
30/06/2012;;;;;6
29/06/2012;;;;;4
28/06/2012;;;;;4
27/06/2012;13;39;;;7
26/06/2012;16;28;;;6
25/06/2012;16;31;;;11
24/06/2012;7;32;;;19
23/06/2012;2;21;;;4
22/06/2012;8;22;;;5
21/06/2012;2;20;;;8
20/06/2012;6;25;;;3
19/06/2012;5;24;;;11
18/06/2012;3;18;;;3
17/06/2012;3;21;;;5
16/06/2012;2;21;;;4
15/06/2012;9;25;;;4
14/06/2012;8;24;;;5
13/06/2012;3;14;;;4
12/06/2012;3;14;;;7
11/06/2012;11;23;;;7
10/06/2012;4;22;;;6
09/06/2012;9;33;;;5
08/06/2012;3;15;;;3
07/06/2012;2;13;;;2
06/06/2012;6;30;;;3
05/06/2012;17;32;;;5
04/06/2012;4;19;;;4
03/06/2012;2;13;;;2
02/06/2012;4;22;;;6
01/06/2012;19;35;;;4
31/05/2012;7;26;;;4
30/05/2012;;;;;4
29/05/2012;;;;;5
28/05/2012;;;;;6
27/05/2012;;;;;6
26/05/2012;;;;;3
25/05/2012;;;;;4
24/05/2012;;;;;3
23/05/2012;;;;;5
22/05/2012;;;;;5
21/05/2012;;;;;14
20/05/2012;;;;;5
19/05/2012;;;;;2
18/05/2012;;;;;2
17/05/2012;;;;;4
16/05/2012;;;;;2
15/05/2012;;;;;2
14/05/2012;;;;;5
13/05/2012;;;;;3
10/05/2012;;;;;1
09/05/2012;;;;;3
08/05/2012;;;;;4
07/05/2012;16;17;;;2
06/05/2012;14;19;;;3
05/05/2012;13;6;;;2
04/05/2012;13;6;;;2
03/05/2012;14;13;;;2
02/05/2012;24;36;;;3
01/05/2012;14;10;;;2
30/04/2012;18;26;;;5
29/04/2012;15;13;;;1
28/04/2012;17;23;;;2
27/04/2012;27;47;;;3
26/04/2012;15;6;;;1
25/04/2012;15;7;;;3
24/04/2012;15;14;;;14
23/04/2012;15;21;;;40
22/04/2012;13;9;;;9
21/04/2012;13;16;;;12
20/04/2012;8;21;;;16
19/04/2012;3;14;;;10
18/04/2012;4;13;;;6
17/04/2012;9;25;;;8
16/04/2012;1;10;;;4
15/04/2012;2;11;;;5
14/04/2012;3;22;;;4
13/04/2012;3;17;;;6
12/04/2012;2;17;;;4
11/04/2012;4;18;;;5
10/04/2012;5;26;;;9
09/04/2012;6;25;;;5
08/04/2012;2;13;;;8
07/04/2012;4;11;;;5
06/04/2012;6;20;;;5
05/04/2012;4;12;;;6
04/04/2012;8;22;;;6
03/04/2012;4;22;;;13
02/04/2012;6;19;;;5
01/04/2012;4;21;;;5
31/03/2012;7;31;;;6
30/03/2012;22;47;;;8
29/03/2012;8;41;;;8
28/03/2012;27;53;;;15
27/03/2012;3;36;;;9
26/03/2012;;;;;13
25/03/2012;;;;;14
24/03/2012;;;;;10
23/03/2012;;;;;9
22/03/2012;16;44;;;6
21/03/2012;21;47;;;5
20/03/2012;14;20;;;5
19/03/2012;13;22;;;6
18/03/2012;11;12;;;6
17/03/2012;13;29;;;6
16/03/2012;14;35;;;10
15/03/2012;35;49;;;7
14/03/2012;52;62;;;10
13/03/2012;41;50;;;7
12/03/2012;12;25;;;6
11/03/2012;8;11;;;5
10/03/2012;18;32;;;8
09/03/2012;22;32;;;6
08/03/2012;10;13;;;5
07/03/2012;29;37;;;9
06/03/2012;12;20;;;6
05/03/2012;11;18;;;5
04/03/2012;9;12;;;6
03/03/2012;18;44;;;8
02/03/2012;56;59;;;10
01/03/2012;20;53;;;14
29/02/2012;47;56;;;18
28/02/2012;54;62;;;9
27/02/2012;33;39;;;6
26/02/2012;9;15;;;5
25/02/2012;37;40;;;10
24/02/2012;55;63;;;14
23/02/2012;55;69;;;17
22/02/2012;59;66;;;16
21/02/2012;50;65;;;9
20/02/2012;41;46;;;6
19/02/2012;8;11;;;6
18/02/2012;22;33;;;10
17/02/2012;30;52;;;6
16/02/2012;12;27;;;6
15/02/2012;10;18;;;8
14/02/2012;5;9;;;5
13/02/2012;13;27;;;10
12/02/2012;5;9;;;6
11/02/2012;9;24;;;7
10/02/2012;23;43;;;8
09/02/2012;82;63;;;8
08/02/2012;5;18;;;4
07/02/2012;10;25;;;2
06/02/2012;10;22;;;1
05/02/2012;5;7;;;4
04/02/2012;4;9;;;2
03/02/2012;5;10;;;2
02/02/2012;5;11;;;2
01/02/2012;8;16;;;3
31/01/2012;22;33;;;16
30/01/2012;47;43;;;5
29/01/2012;6;7;;;2
28/01/2012;6;12;;;5
27/01/2012;16;39;;;3
26/01/2012;45;34;;;5
25/01/2012;62;55;;;5
24/01/2012;27;45;;;2
23/01/2012;8;20;;;19
22/01/2012;6;14;;;9
21/01/2012;5;9;;;11
20/01/2012;7;20;;;19
19/01/2012;37;34;;;5
18/01/2012;93;57;;;18
17/01/2012;31;40;;;9
16/01/2012;11;31;;;9
15/01/2012;13;33;;;5
14/01/2012;26;47;;;3
13/01/2012;71;63;;;6
12/01/2012;92;57;;;12
11/01/2012;102;55;;;11
10/01/2012;78;53;;;10
09/01/2012;16;37;;;7
08/01/2012;11;20;;;7
07/01/2012;12;23;;;9
06/01/2012;10;15;;;9
05/01/2012;24;27;;;21
04/01/2012;13;30;;;43
03/01/2012;11;17;;;7
02/01/2012;10;17;;;9
01/01/2012;9;11;;;7
