Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2012;7;7;18;59;7;5
30/12/2012;7;8;19;44;7;5
29/12/2012;7;8;19;58;8;5
28/12/2012;7;6;18;58;7;5
27/12/2012;7;8;19;47;8;5
26/12/2012;13;16;36;24;11;5
25/12/2012;7;12;23;37;14;6
24/12/2012;7;6;17;62;8;5
23/12/2012;7;4;14;61;5;4
22/12/2012;7;9;19;49;8;5
21/12/2012;10;16;30;50;13;5
20/12/2012;16;28;52;33;19;6
19/12/2012;7;12;22;40;7;5
18/12/2012;7;14;25;31;10;5
17/12/2012;13;26;47;25;19;5
16/12/2012;5;7;15;63;8;5
15/12/2012;6;13;21;57;13;5
14/12/2012;7;25;36;53;9;5
13/12/2012;5;10;18;54;8;5
12/12/2012;6;13;22;33;12;5
11/12/2012;12;25;44;18;21;6
10/12/2012;12;19;38;13;15;5
09/12/2012;8;12;24;27;11;5
08/12/2012;5;12;20;53;18;6
07/12/2012;9;16;31;49;14;6
06/12/2012;5;8;17;48;8;5
05/12/2012;5;11;19;67;7;5
04/12/2012;5;9;17;66;9;5
03/12/2012;9;20;34;40;15;6
02/12/2012;6;8;18;46;9;5
01/12/2012;10;17;32;31;18;5
30/11/2012;5;23;31;36;13;6
29/11/2012;4;18;24;51;13;6
28/11/2012;3;15;20;51;15;5
27/11/2012;3;10;15;60;6;5
26/11/2012;8;21;32;31;17;6
25/11/2012;5;19;27;32;18;5
24/11/2012;4;9;16;62;21;5
23/11/2012;4;9;15;66;10;4
22/11/2012;6;13;22;44;10;5
21/11/2012;7;19;29;43;18;5
20/11/2012;5;12;19;50;9;5
19/11/2012;8;15;28;32;13;5
18/11/2012;5;10;18;47;15;5
17/11/2012;7;16;27;30;21;5
16/11/2012;19;18;48;32;24;5
15/11/2012;12;20;38;24;29;5
14/11/2012;12;25;44;22;25;5
13/11/2012;12;23;42;16;17;5
12/11/2012;8;19;32;23;15;5
11/11/2012;7;9;19;56;9;5
10/11/2012;5;9;16;51;10;5
09/11/2012;12;20;38;30;20;5
08/11/2012;8;10;23;48;10;5
07/11/2012;19;23;52;19;20;5
06/11/2012;12;25;42;26;20;6
05/11/2012;9;14;29;38;15;6
04/11/2012;8;12;23;35;14;5
03/11/2012;7;10;21;54;11;4
02/11/2012;10;8;24;53;6;4
01/11/2012;8;8;21;56;11;5
31/10/2012;10;25;40;25;19;6
30/10/2012;8;21;33;27;16;4
29/10/2012;10;18;34;29;15;4
28/10/2012;4;12;19;43;11;5
27/10/2012;7;12;23;51;18;5
26/10/2012;2;12;16;38;13;4
25/10/2012;2;14;17;30;16;4
24/10/2012;2;14;17;37;17;4
23/10/2012;11;22;39;14;24;5
22/10/2012;25;27;65;10;27;8
21/10/2012;9;15;29;28;13;5
20/10/2012;12;20;38;14;23;5
19/10/2012;15;31;54;22;16;6
18/10/2012;9;22;35;;;4
17/10/2012;4;7;14;72;15;4
16/10/2012;4;11;18;51;13;4
15/10/2012;8;18;29;35;17;5
14/10/2012;3;8;13;50;13;4
13/10/2012;4;13;19;34;21;6
12/10/2012;3;9;14;42;12;5
11/10/2012;10;20;36;26;26;6
10/10/2012;13;37;56;12;42;8
09/10/2012;6;25;33;27;27;4
08/10/2012;5;22;29;27;28;4
07/10/2012;4;17;23;28;23;4
06/10/2012;4;20;25;56;25;4
05/10/2012;5;24;31;48;26;4
04/10/2012;6;23;32;31;28;4
03/10/2012;5;18;26;34;22;5
02/10/2012;7;25;35;28;25;6
01/10/2012;6;20;29;33;20;7
30/09/2012;4;11;16;33;17;4
29/09/2012;3;12;17;44;15;4
28/09/2012;6;23;33;29;29;6
27/09/2012;5;17;25;42;20;5
26/09/2012;4;10;15;47;10;4
25/09/2012;4;11;16;60;10;4
24/09/2012;5;13;20;63;21;4
23/09/2012;5;8;15;62;21;4
22/09/2012;8;25;36;47;33;7
21/09/2012;6;18;27;64;35;4
20/09/2012;12;25;43;38;25;4
19/09/2012;7;17;28;37;16;4
18/09/2012;4;19;25;33;20;4
17/09/2012;4;18;24;41;25;5
16/09/2012;7;24;34;31;32;9
15/09/2012;5;17;24;42;21;5
14/09/2012;5;17;25;39;21;5
13/09/2012;7;10;26;43;14;4
12/09/2012;12;14;41;40;14;4
11/09/2012;23;16;52;42;41;4
10/09/2012;12;23;41;44;41;4
09/09/2012;9;17;32;60;49;5
08/09/2012;9;23;37;77;50;6
07/09/2012;8;25;38;62;45;4
06/09/2012;8;19;32;58;39;4
05/09/2012;8;18;30;47;27;4
04/09/2012;7;19;30;30;23;4
03/09/2012;;;;44;21;4
02/09/2012;;;;55;17;4
01/09/2012;;;;51;17;4
31/08/2012;;;;33;25;4
30/08/2012;;;;37;18;4
29/08/2012;;;;33;20;4
28/08/2012;;;;55;25;5
27/08/2012;14;16;37;53;32;4
26/08/2012;27;9;51;46;18;4
25/08/2012;26;8;48;50;18;4
24/08/2012;30;16;61;53;27;4
23/08/2012;28;14;56;52;24;4
22/08/2012;15;13;36;44;21;3
21/08/2012;20;13;44;44;23;3
20/08/2012;10;15;30;37;29;4
19/08/2012;9;16;30;34;27;5
18/08/2012;8;20;33;49;34;5
17/08/2012;7;25;36;69;38;6
16/08/2012;5;16;23;60;25;5
15/08/2012;4;10;17;59;31;4
14/08/2012;7;19;30;43;29;5
13/08/2012;6;14;23;48;27;4
12/08/2012;3;8;12;46;20;4
11/08/2012;5;13;19;52;42;5
10/08/2012;10;36;51;;63;5
09/08/2012;10;38;53;;61;4
08/08/2012;6;30;39;57;38;4
07/08/2012;7;16;26;43;26;3
06/08/2012;6;11;20;40;17;4
05/08/2012;5;11;18;34;16;4
04/08/2012;5;10;17;37;19;3
03/08/2012;5;11;19;41;20;3
02/08/2012;6;13;22;41;19;3
01/08/2012;8;13;25;60;30;3
31/07/2012;9;14;27;53;25;3
30/07/2012;7;14;24;41;19;3
29/07/2012;7;8;19;44;18;3
28/07/2012;8;9;21;50;23;3
27/07/2012;8;15;28;;37;3
26/07/2012;9;22;35;83;44;4
25/07/2012;11;31;48;66;37;5
24/07/2012;11;16;32;78;26;3
23/07/2012;12;13;31;62;19;3
22/07/2012;13;8;29;40;13;3
21/07/2012;4;8;15;36;11;3
20/07/2012;10;12;27;35;15;3
19/07/2012;11;12;28;48;18;3
18/07/2012;10;22;38;43;32;3
17/07/2012;11;27;45;52;28;5
16/07/2012;10;17;33;38;18;6
15/07/2012;7;8;20;41;16;3
14/07/2012;9;8;22;52;24;3
13/07/2012;9;11;25;55;17;3
12/07/2012;10;12;26;47;14;3
11/07/2012;8;13;25;41;15;3
10/07/2012;8;14;26;46;14;2
09/07/2012;9;15;29;48;22;3
08/07/2012;9;10;23;54;18;4
