Date;CO (mg/m3);SO2 (µg/m3);PM10 (µg/m3);NO (µg/m3);NO2 (µg/m3)
31/12/2012;;7;;;
30/12/2012;;8;;;
29/12/2012;;6;;;
28/12/2012;;6;;;
27/12/2012;;6;;;
26/12/2012;;7;;;
25/12/2012;;6;;;
24/12/2012;;6;;;
23/12/2012;;6;;;
22/12/2012;;6;;;
21/12/2012;;6;;;
20/12/2012;;6;;;
19/12/2012;;6;;;
18/12/2012;;7;;;
17/12/2012;;7;;;
16/12/2012;;6;;;
15/12/2012;;5;;;
14/12/2012;;6;;;
13/12/2012;;6;;;
12/12/2012;;6;;;
11/12/2012;;7;;;
10/12/2012;;7;;;
09/12/2012;;6;;;
08/12/2012;;5;;;
07/12/2012;;5;;;
06/12/2012;;6;;;
05/12/2012;;5;;;
04/12/2012;;5;;;
03/12/2012;;7;;;
02/12/2012;;6;;;
01/12/2012;;6;;;
30/11/2012;;5;;;
29/11/2012;;5;;;
28/11/2012;;5;;;
27/11/2012;;5;;;
26/11/2012;;6;;;
25/11/2012;0,5;5;;;
24/11/2012;0,31;5;;;
23/11/2012;0,28;5;;;
22/11/2012;0,29;6;;;
21/11/2012;0,35;6;;;
20/11/2012;0,27;6;;;
19/11/2012;0,35;6;;;
18/11/2012;0,31;4;;;
17/11/2012;0,43;5;;;
16/11/2012;0,31;5;;;
15/11/2012;0,36;6;;;
14/11/2012;0,33;7;;;
13/11/2012;0,4;6;;;
12/11/2012;0,5;6;;;
11/11/2012;0,27;4;;;
10/11/2012;0,29;4;;;
09/11/2012;0,37;4;;;
08/11/2012;0,29;5;;;
07/11/2012;0,38;6;;;
06/11/2012;0,28;5;;;
05/11/2012;0,21;5;;;
04/11/2012;0,2;3;;;
03/11/2012;0,23;4;;;
02/11/2012;0,22;4;;;
01/11/2012;0,15;4;;;
31/10/2012;0,35;6;;;
30/10/2012;0,25;6;;;
29/10/2012;0,23;5;;;
28/10/2012;0,16;3;;;
27/10/2012;0,09;3;;;
26/10/2012;0,24;3;;;
25/10/2012;0,22;3;;;
24/10/2012
23/10/2012
22/10/2012;0,36;6;;;
21/10/2012;0,33;3;;;
20/10/2012;0,41;2;;;
19/10/2012;0,33;2;;;
18/10/2012;0,27;3;;;
17/10/2012;0,19;3;;;
16/10/2012;0,26;4;;;
15/10/2012;0,24;4;;;
14/10/2012;0,17;3;15;;
13/10/2012;0,25;4;20;;
12/10/2012;0,22;3;14;;
11/10/2012;0,41;3;28;;
10/10/2012;0,42;4;45;;
09/10/2012;0,31;4;30;;
08/10/2012;0,31;4;36;;
07/10/2012;0,34;4;30;;
06/10/2012;0,27;4;63;;
05/10/2012;0,28;5;31;;
04/10/2012;0,29;5;33;;
03/10/2012;0,26;5;26;;
02/10/2012;0,26;7;29;;
01/10/2012;0,21;7;25;;
30/09/2012;0,18;4;19;;
29/09/2012;0,16;3;14;;
28/09/2012;0,24;4;30;;
27/09/2012;0,24;6;25;;
26/09/2012;0,09;3;11;;
25/09/2012;0,09;3;8;;
24/09/2012;0,16;3;23;;
23/09/2012;0,12;3;13;;
22/09/2012;0,31;4;42;;
21/09/2012;0,17;3;28;;
20/09/2012;0,25;4;32;;
19/09/2012;0,15;2;14;;
18/09/2012;0,13;2;21;;
17/09/2012;0,34;3;27;;
16/09/2012;0,29;4;37;;
15/09/2012;0,27;4;29;;
14/09/2012;0,3;3;25;;
13/09/2012;0,17;2;23;;
12/09/2012;0,17;2;17;;
11/09/2012;0,24;1;47;;
10/09/2012;0,28;1;40;;
09/09/2012;0,38;2;53;;
08/09/2012;0,36;3;50;;
07/09/2012;0,35;2;50;;
06/09/2012;0,31;1;38;;
05/09/2012;0,39;1;30;;
04/09/2012;0,35;2;27;;
03/09/2012;0,24;2;21;;
02/09/2012;0,2;4;25;;
01/09/2012;0,18;3;18;;
31/08/2012;0,18;2;20;;
30/08/2012;0,18;2;23;;
29/08/2012;0,2;1;21;;
28/08/2012;0,22;3;30;;
27/08/2012;0,26;2;31;;
26/08/2012;0,18;3;17;;
25/08/2012;0,12;2;16;;
24/08/2012;0,21;3;29;;
23/08/2012;0,19;1;24;;
22/08/2012;0,09;1;15;;
21/08/2012;0,31;1;15;;
20/08/2012;0,19;2;26;;
19/08/2012;0,15;1;24;;
18/08/2012;0,18;1;28;;
17/08/2012;0,19;5;51;;
16/08/2012;0,13;4;22;;
15/08/2012;0,12;2;20;;
14/08/2012;0,24;2;27;;
13/08/2012;0,11;2;25;;
12/08/2012;0,1;3;18;;
11/08/2012;0,17;2;27;;
10/08/2012;0,27;2;;;
09/08/2012;0,28;2;42;;
08/08/2012;0,18;3;47;;
07/08/2012;0,13;3;26;;
06/08/2012;0,11;2;15;;
05/08/2012;0,09;2;12;;
04/08/2012;0,13;2;17;;
03/08/2012;0,14;3;17;;
02/08/2012;0,14;2;15;;
01/08/2012;0,13;2;17;;
31/07/2012;0,16;3;28;;
30/07/2012;0,19;2;22;;
29/07/2012;0,17;2;12;;
28/07/2012;0,13;2;18;;
27/07/2012;0,19;2;32;;
26/07/2012;0,34;3;46;;
25/07/2012;0,22;3;29;;
24/07/2012;0,28;3;29;;
23/07/2012;0,17;3;19;;
22/07/2012;0,16;3;14;;
21/07/2012;0,15;3;13;;
20/07/2012;0,11;3;6;;
19/07/2012;0,1;3;6;;
18/07/2012;0,24;3;23;;
17/07/2012;0,26;5;35;;
16/07/2012;0,16;3;15;;
15/07/2012;0,11;1;14;;
14/07/2012;0,12;0;17;;
13/07/2012;0,17;1;;;
12/07/2012;0,14;1;;;
11/07/2012;0,14;0;;;
10/07/2012;0,15;0;16;;
09/07/2012;0,21;1;24;;
08/07/2012;0,13;1;15;;
07/07/2012;0,17;2;16;;
06/07/2012;0,17;1;15;;
05/07/2012;0,16;2;18;;
04/07/2012;0,23;3;30;;
03/07/2012;0,18;4;24;;
02/07/2012;0,16;4;17;;
01/07/2012;0,11;2;13;;
30/06/2012;159;2;16;;
29/06/2012;293;2;21;;
28/06/2012;212;2;27;;
27/06/2012;264;2;53;;
