Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);SO2 (µg/m3);PM10 (µg/m3)
31/12/2012;6;25;35;6;
30/12/2012;7;31;41;7;
29/12/2012;3;16;21;6;
28/12/2012;6;26;35;6;
27/12/2012;9;31;44;6;
26/12/2012;30;33;79;5;
25/12/2012;7;25;36;5;
24/12/2012;4;14;19;5;
23/12/2012;3;16;20;6;
22/12/2012;6;25;34;5;
21/12/2012;11;27;45;4;
20/12/2012;21;35;67;5;
19/12/2012;33;36;86;6;
18/12/2012;32;37;86;6;
17/12/2012;43;44;110;5;
16/12/2012;4;22;27;4;
15/12/2012;3;15;20;4;
14/12/2012;3;25;30;4;
13/12/2012;4;19;25;5;
12/12/2012;15;30;53;5;
11/12/2012;47;35;106;5;
10/12/2012;59;29;120;5;
09/12/2012;16;26;51;4;
08/12/2012;5;25;33;3;
07/12/2012;24;38;76;4;
06/12/2012;9;34;47;4;
05/12/2012;6;32;40;3;
04/12/2012;3;22;27;3;
03/12/2012;30;43;90;4;
02/12/2012;13;30;50;4;
01/12/2012;16;31;55;4;
30/11/2012;14;36;58;4;
29/11/2012;8;31;43;3;
28/11/2012;6;23;31;3;
27/11/2012;12;43;61;3;
26/11/2012;15;36;59;4;
25/11/2012;4;22;28;3;
24/11/2012;2;17;20;5;
23/11/2012;4;28;35;5;
22/11/2012;22;31;66;5;
21/11/2012;21;39;71;4;
20/11/2012;11;39;56;5;
19/11/2012;24;32;69;4;
18/11/2012;7;24;35;3;
17/11/2012;13;30;49;4;
16/11/2012;12;34;53;4;
15/11/2012;23;37;71;4;
14/11/2012;36;35;89;5;
13/11/2012;37;31;88;4;
12/11/2012;35;39;93;4;
11/11/2012;6;30;39;3;
10/11/2012;5;29;37;3;
09/11/2012;9;31;45;4;
08/11/2012;10;34;49;4;
07/11/2012;32;36;84;4;
06/11/2012;25;40;78;4;
05/11/2012;18;36;64;5;
04/11/2012;5;26;33;2;
03/11/2012;4;19;25;3;
02/11/2012;5;16;24;3;
01/11/2012;3;21;26;3;
28/10/2012;6;22;30;2;
27/10/2012;3;12;17;2;
26/10/2012;17;37;62;3;
25/10/2012;13;28;48;3;
24/10/2012;18;33;60;3;
