Date;CO (mg/m3);SO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);NO (µg/m3);NO2 (µg/m3)
31/12/2012;;3;;;;
30/12/2012;;2;;;;
29/12/2012;;3;;;;
28/12/2012;;5;;;;
27/12/2012;;5;;;;
26/12/2012;;8;;;;
25/12/2012;;4;;;;
24/12/2012;;3;;;;
23/12/2012;;4;;;;
22/12/2012;;6;;;;
21/12/2012;;5;;;;
20/12/2012;;4;;;;
19/12/2012;;4;;;;
18/12/2012;;5;;;;
17/12/2012;;5;;;;
16/12/2012;0,3;1;;;;
15/12/2012;0,52;0;;;;
14/12/2012;0,26;0;;;;
13/12/2012;0,27;3;;;;
12/12/2012;0,59;5;;;;
11/12/2012;0,83;12;;;;
10/12/2012;0,79;12;;;;
09/12/2012;0,72;9;;;;
08/12/2012;0,28;5;;;;
07/12/2012;0,28;8;;;;
06/12/2012;0,33;5;;;;
05/12/2012;0,28;3;;;;
04/12/2012;0,21;4;;;;
03/12/2012;0,3;8;;;;
02/12/2012;0,62;7;;;;
01/12/2012;0,63;10;;;;
30/11/2012;0,36;5;;;;
29/11/2012;0,22;3;;;;
28/11/2012;0,25;3;;;;
27/11/2012;0,45;1;;;;
26/11/2012;0,47;8;;;;
25/11/2012;0,53;0;;;;
24/11/2012;0,31;1;;;;
23/11/2012;0,28;1;;;;
22/11/2012;0,37;4;;;;
21/11/2012;0,31;5;;;;
20/11/2012;0,32;7;;;;
19/11/2012;0,51;8;;;;
18/11/2012;0,3;6;;;;
17/11/2012;0,47;3;;;;
16/11/2012;0,32;4;;;;
15/11/2012;0,58;5;;;;
14/11/2012;0,66;5;;;;
13/11/2012;0,7;8;;;;
12/11/2012;0,86;8;;;;
11/11/2012;0,36;3;;;;
10/11/2012;0,32;2;;;;
09/11/2012;0,41;3;;;;
08/11/2012;0,39;8;;;;
07/11/2012;0,52;8;;;;
06/11/2012;0,43;9;;;;
05/11/2012;0,28;13;;;;
04/11/2012;0,29;9;;;;
03/11/2012;0,21;2;;;;
02/11/2012;0,35;3;;;;
01/11/2012;0,31;3;;;;
31/10/2012;;13;;;;
30/10/2012;0,49;11;;;;
29/10/2012;0,57;8;;;;
28/10/2012;0,54;3;;;;
27/10/2012;0,26;1;;;;
26/10/2012;0,35;9;;;;
25/10/2012;0,32;10;;;;
24/10/2012;0,37;8;;;;
23/10/2012;0,6;10;;;;
22/10/2012;0,56;14;;;;
21/10/2012;0,36;5;;;;
20/10/2012;0,44;3;;;;
19/10/2012;0,39;4;;;;
18/10/2012;0,24;1;;;;
17/10/2012;0,17;3;;;;
16/10/2012;;6;;;;
15/10/2012;0,27;7;;;;
14/10/2012;;4;;;;
13/10/2012;;7;;;;
12/10/2012;0,24;5;;;;
11/10/2012;0,2;11;;;;
10/10/2012;0,5;17;;;;
09/10/2012;0,21;9;;;;
08/10/2012;0,27;8;;;;
07/10/2012;0,19;7;;;;
06/10/2012;0,31;5;;;;
05/10/2012;0,52;11;;;;
04/10/2012;0,39;8;;;;
03/10/2012;0,22;7;;;;
02/10/2012;0,38;;;;;
01/10/2012;0,35;;;;;
30/09/2012;0,31;;;;;
29/09/2012;0,22;;;;;
28/09/2012;0,38;;;;;
27/09/2012;0,37;;;;;
26/09/2012;0,23;;;;;
25/09/2012;0,21;;;;;
24/09/2012;0,36;;;;;
23/09/2012
22/09/2012
21/09/2012;0,19;;;;;
20/09/2012;0,37;;;;;
19/09/2012;0,23;;;;;
18/09/2012;0,19;;;;;
17/09/2012
16/09/2012;0,29;;;;;
15/09/2012;0,26;;;;;
14/09/2012;0,36;;;;;
13/09/2012;0,15;;;;;
12/09/2012;0,16;3;;;;
11/09/2012;0,27;7;;;;
10/09/2012;0,34;13;33;12;;
09/09/2012;0,45;12;36;15;;
08/09/2012;0,34;14;39;18;;
07/09/2012;0,33;10;40;16;;
06/09/2012;0,34;13;34;15;;
05/09/2012;0,4;11;27;9;;
04/09/2012;0,59;10;25;7;;
03/09/2012;0,27;16;20;6;;
02/09/2012;0,55;14;19;7;;
01/09/2012;0,31;16;21;7;;
31/08/2012;0,3;12;23;9;;
30/08/2012;0,2;10;18;5;;
29/08/2012;0,26;6;18;5;;
28/08/2012;0,26;14;27;10;;
27/08/2012;0,3;9;23;6;;
26/08/2012;0,28;9;17;6;;
25/08/2012;0,16;6;14;4;;
24/08/2012;0,29;13;23;7;;
23/08/2012;0,32;10;23;5;;
22/08/2012;0,18;5;15;5;;
21/08/2012;0,4;6;17;6;;
20/08/2012;0,3;14;20;7;;
19/08/2012;0,21;8;16;5;;
18/08/2012;0,4;21;23;10;;
17/08/2012;0,23;13;30;7;;
16/08/2012;0,36;9;26;6;;
15/08/2012;0,3;5;22;4;;
14/08/2012;;10;23;7;;
13/08/2012;0,19;9;25;6;;
12/08/2012;0,13;9;15;5;;
11/08/2012;0,17;8;25;10;;
10/08/2012;0,2;9;42;21;;
09/08/2012;0,45;8;31;11;;
08/08/2012;0,27;15;34;8;;
07/08/2012;0,19;12;26;6;;
06/08/2012;0,22;7;16;5;;
05/08/2012;0,17;8;11;4;;
04/08/2012;0,18;13;17;6;;
03/08/2012;0,25;11;18;6;;
02/08/2012;0,16;6;14;5;;
01/08/2012;0,19;4;21;9;;
31/07/2012;0,2;5;18;7;;
30/07/2012;0,21;8;18;8;;
29/07/2012;0,23;5;14;5;;
28/07/2012;0,14;0;16;5;;
27/07/2012;0,24;3;26;7;;
26/07/2012;0,34;10;38;11;;
25/07/2012;0,47;12;37;12;;
24/07/2012;0,32;11;34;10;43;24
23/07/2012;0,24;11;27;11;35;35
22/07/2012;;13;14;6;13;27
21/07/2012;0,26;9;13;5;13;31
20/07/2012;0,13;3;9;4;9;30
19/07/2012;0,12;4;12;4;9;30
18/07/2012;0,44;15;30;10;;
17/07/2012;0,27;11;32;9;34;65
16/07/2012;0,2;12;23;6;24;46
15/07/2012;0,2;10;15;5;9;31
14/07/2012;0,15;3;16;5;6;26
13/07/2012;0,21;7;21;7;16;42
12/07/2012;0,2;7;20;6;21;38
11/07/2012;0,14;5;12;5;10;42
10/07/2012;0,18;3;13;5;10;42
09/07/2012;0,36;4;18;6;30;46
08/07/2012;0,17;10;12;5;12;30
07/07/2012;0,26;8;16;6;15;36
06/07/2012;0,28;10;20;6;24;43
05/07/2012;0,18;7;15;5;16;33
04/07/2012;0,3;16;31;11;37;43
03/07/2012;0,26;17;29;9;42;51
02/07/2012;0,22;10;22;6;34;43
01/07/2012;0,13;5;12;4;19;21
30/06/2012;135;7;17;5;22;28
29/06/2012;247;6;24;6;36;35
28/06/2012;191;7;27;9;33;32
27/06/2012;477;9;54;14;62;42
26/06/2012;323;13;30;11;46;44
25/06/2012;296;12;35;11;39;45
24/06/2012;298;16;41;17;27;40
23/06/2012;600;11;29;9;22;36
22/06/2012;306;10;28;7;24;38
