Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);SO2 (µg/m3);PM10 (µg/m3);Benceno (µg/m3);Ortoxileno (µg/m3);Tolueno (µg/m3)
31/12/2012;0,15;11;39;55;34;5;;;;
30/12/2012;0,16;19;51;81;16;6;;;;
29/12/2012;0,11;8;32;45;43;5;;;;
28/12/2012;0,13;16;46;71;26;5;;;;
27/12/2012;0,18;10;41;57;24;6;;;;
26/12/2012;0,32;45;51;120;14;6;;;;
25/12/2012;0,2;13;39;59;27;6;;;;
24/12/2012
23/12/2012
22/12/2012
21/12/2012
20/12/2012
19/12/2012;;67;59;162;17;6;;;;
18/12/2012;0,22;48;59;133;10;6;;;;
17/12/2012;0,28;43;64;130;16;5;;;;
16/12/2012;0,17;6;29;38;45;4;;;;
15/12/2012;0,19;8;35;46;46;4;;;;
14/12/2012;0,2;10;45;61;38;5;;;;
13/12/2012;0,17;12;37;56;33;6;;;;
12/12/2012;0,29;28;49;93;15;7;;;;
11/12/2012;0,27;41;53;117;13;7;;;;
10/12/2012;0,39;77;49;168;8;8;;;;
09/12/2012;0,28;21;41;73;17;6;;;;
08/12/2012;0,18;6;30;40;48;6;;;;
07/12/2012;0,2;33;53;105;28;5;;;;
06/12/2012;0,18;20;50;81;22;6;;;;
05/12/2012;0,11;6;35;45;49;6;;;;
04/12/2012;0,11;6;34;43;47;6;;;;
03/12/2012;0,23;45;55;125;23;7;;;;
02/12/2012;0,28;19;41;70;24;7;;;;
01/12/2012;0,29;18;39;66;26;6;;;;
30/11/2012;0,2;15;50;73;29;6;;;;
29/11/2012
28/11/2012
27/11/2012;0,12;6;35;44;26;4;;;;
26/11/2012;0,2;22;42;76;19;5;;;;
25/11/2012;0,27;7;31;42;33;6;;;;
24/11/2012;0,18;6;22;31;47;6;;;;
23/11/2012;0,14;10;38;54;39;6;;;;
22/11/2012;0,2;38;56;114;18;6;;;;
21/11/2012;0,14;18;44;72;34;5;;;;
20/11/2012;0,17;37;60;118;17;5;;;;
19/11/2012;0,25;47;52;124;14;4;;;;
18/11/2012;0,17;9;28;42;40;2;;;;
17/11/2012;0,22;24;45;83;18;4;;;;
16/11/2012;0,24;29;52;97;16;4;;;;
15/11/2012;;42;59;124;13;5;;;;
14/11/2012;0,39;78;64;184;11;6;;;;
13/11/2012;0,28;48;46;120;13;6;;;;
12/11/2012;0,32;47;56;128;13;5;;;;
11/11/2012;0,17;9;31;45;49;3;;;;
10/11/2012;0,16;9;32;46;39;4;;;;
09/11/2012;0,25;18;45;72;19;4;;;;
08/11/2012;0,2;24;50;87;20;6;;;;
07/11/2012;0,25;47;51;123;12;6;;;;
