Date;O3 (µg/m3);SO2 (µg/m3)
31/12/2012;66;4
30/12/2012;58;4
29/12/2012;66;4
28/12/2012;63;4
27/12/2012;51;4
26/12/2012;48;4
25/12/2012;58;4
24/12/2012;64;4
23/12/2012;64;4
22/12/2012;59;4
21/12/2012;59;4
20/12/2012;50;6
19/12/2012;54;4
18/12/2012;50;5
17/12/2012;59;5
16/12/2012;66;4
15/12/2012;63;4
14/12/2012;67;5
13/12/2012;59;4
12/12/2012;38;5
11/12/2012;36;5
10/12/2012;23;6
09/12/2012;36;4
08/12/2012;70;12
07/12/2012;65;8
06/12/2012;60;3
05/12/2012;74;3
04/12/2012;74;4
29/11/2012;68;10
28/11/2012;60;8
27/11/2012;73;3
26/11/2012;61;4
25/11/2012;49;6
24/11/2012;69;6
23/11/2012;72;
22/11/2012;59;
21/11/2012;63;
20/11/2012;65;
19/11/2012;47;
18/11/2012;64;
17/11/2012;39;
16/11/2012;52;
15/11/2012;51;
14/11/2012;41;
13/11/2012;26;
12/11/2012;36;7
11/11/2012;71;3
10/11/2012;63;2
09/11/2012;41;3
08/11/2012;50;2
07/11/2012;29;6
06/11/2012;57;
05/11/2012;55;
04/11/2012;56;
03/11/2012;67;
02/11/2012;59;
01/11/2012;67;
31/10/2012;47;
30/10/2012;46;
29/10/2012;42;
28/10/2012;64;
27/10/2012;68;
26/10/2012;53;
25/10/2012;54;
24/10/2012;50;
23/10/2012;26;
22/10/2012;24;
21/10/2012;43;
20/10/2012;30;
17/10/2012;75;
16/10/2012;63;
15/10/2012;48;
14/10/2012;62;
13/10/2012;49;
12/10/2012;55;
11/10/2012;46;
10/10/2012;35;
09/10/2012;47;
08/10/2012;48;
07/10/2012;53;
06/10/2012;78;
05/10/2012;74;
04/10/2012;52;
03/10/2012;44;
02/10/2012;47;
01/10/2012;53;
30/09/2012;51;
29/09/2012;66;
28/09/2012;46;
27/09/2012;61;
26/09/2012;59;
25/09/2012;67;
24/09/2012;71;
23/09/2012;72;
22/09/2012;74;
21/09/2012;80;
20/09/2012;53;
19/09/2012;54;
18/09/2012;53;
17/09/2012;55;
16/09/2012;49;
15/09/2012;53;
14/09/2012;58;
13/09/2012;61;
12/09/2012;55;
11/09/2012;68;
10/09/2012;74;
09/09/2012;90;
08/09/2012;103;
07/09/2012;85;
06/09/2012;90;
05/09/2012;75;
04/09/2012;62;
03/09/2012;68;
02/09/2012;69;
01/09/2012;70;
31/08/2012;54;
30/08/2012;54;
29/08/2012;48;
28/08/2012;66;
27/08/2012;69;
26/08/2012;55;
25/08/2012;62;
24/08/2012;64;
14/08/2012;60;
13/08/2012;60;
12/08/2012;59;
11/08/2012;64;
10/08/2012;88;
09/08/2012;83;
08/08/2012;74;
07/08/2012;56;
06/08/2012;57;
05/08/2012;51;
04/08/2012;51;
03/08/2012;51;
02/08/2012;59;
01/08/2012;71;
31/07/2012;65;
30/07/2012;51;
29/07/2012;51;
28/07/2012;71;
27/07/2012;102;
26/07/2012;107;
25/07/2012;88;
24/07/2012;82;
23/07/2012;71;
22/07/2012;46;
21/07/2012;43;
20/07/2012;45;
19/07/2012;52;8
18/07/2012;62;9
17/07/2012;64;14
16/07/2012;55;9
15/07/2012;50;8
14/07/2012;61;9
13/07/2012;71;9
12/07/2012;59;9
11/07/2012;59;8
10/07/2012;63;8
09/07/2012;62;11
08/07/2012;65;8
07/07/2012;59;9
06/07/2012;53;8
05/07/2012;57;8
18/06/2012;53;8
17/06/2012;50;6
16/06/2012;46;4
15/06/2012;53;4
14/06/2012;65;5
13/06/2012;69;6
12/06/2012;52;4
11/06/2012;46;4
10/06/2012;35;4
09/06/2012;44;5
08/06/2012;58;4
07/06/2012;59;5
06/06/2012;45;7
05/06/2012;52;8
04/06/2012;45;5
03/06/2012;60;4
02/06/2012;65;4
01/06/2012;52;5
31/05/2012;48;6
30/05/2012;52;7
29/05/2012;49;7
28/05/2012;44;10
27/05/2012;60;5
26/05/2012;61;5
25/05/2012;62;4
24/05/2012;36;5
23/05/2012;29;6
22/05/2012;42;4
21/05/2012;73;3
20/05/2012;70;2
19/05/2012;66;3
18/05/2012;65;4
17/05/2012;78;5
16/05/2012;70;10
15/05/2012;73;4
14/05/2012;68;8
13/05/2012;59;8
12/05/2012;67;4
11/05/2012;45;6
10/05/2012;66;10
09/05/2012;61;4
08/05/2012;51;4
07/05/2012;59;4
06/05/2012;57;4
05/05/2012;68;3
04/05/2012;78;3
03/05/2012;70;4
02/05/2012;69;5
01/05/2012;72;3
30/04/2012;67;3
29/04/2012;70;3
28/04/2012;69;4
27/04/2012;63;3
26/04/2012;88;3
25/04/2012;77;3
24/04/2012;72;3
23/04/2012;72;3
22/04/2012;71;4
21/04/2012;64;3
20/04/2012;71;3
19/04/2012;78;3
18/04/2012;74;3
17/04/2012;67;3
16/04/2012;80;14
15/04/2012;78;2
14/04/2012;68;3
13/04/2012;68;2
12/04/2012;64;4
11/04/2012;65;3
10/04/2012;60;4
09/04/2012;46;5
08/04/2012;67;2
07/04/2012;74;3
06/04/2012;46;2
05/04/2012;60;2
04/04/2012;54;3
03/04/2012;63;3
02/04/2012;56;3
01/04/2012;54;2
31/03/2012;54;3
30/03/2012;55;4
29/03/2012;65;4
28/03/2012;61;8
27/03/2012;81;4
26/03/2012;52;6
25/03/2012;70;5
24/03/2012;77;5
23/03/2012;31;7
22/03/2012;;4
21/03/2012;;5
20/03/2012;;5
19/03/2012;;5
18/03/2012;70;3
17/03/2012;51;5
16/03/2012;45;13
15/03/2012;41;8
14/03/2012;30;7
13/03/2012;30;4
12/03/2012;43;3
11/03/2012;54;3
10/03/2012;52;5
09/03/2012;51;5
08/03/2012;63;6
07/03/2012;54;3
06/03/2012;65;3
05/03/2012;65;4
04/03/2012;61;5
03/03/2012;50;5
02/03/2012;31;6
01/03/2012;34;15
29/02/2012;30;15
28/02/2012;31;8
26/02/2012;37;3
25/02/2012;33;4
24/02/2012;45;8
23/02/2012;33;27
22/02/2012;33;14
21/02/2012;37;5
20/02/2012;43;6
19/02/2012;58;8
18/02/2012;47;8
17/02/2012;36;4
16/02/2012;54;17
14/02/2012;63;9
13/02/2012;59;5
12/02/2012;75;6
11/02/2012;55;4
10/02/2012;38;6
09/02/2012;27;6
08/02/2012;58;4
07/02/2012;58;5
06/02/2012;49;14
05/02/2012;64;41
04/02/2012;66;35
03/02/2012;67;6
02/02/2012;66;11
01/02/2012;55;12
31/01/2012;41;4
30/01/2012;39;3
29/01/2012;61;8
28/01/2012;58;5
26/01/2012;42;4
25/01/2012;15;5
24/01/2012;44;6
23/01/2012;49;4
22/01/2012;47;4
21/01/2012;56;4
20/01/2012;58;4
19/01/2012;34;4
18/01/2012;17;14
17/01/2012;37;4
16/01/2012;42;3
15/01/2012;43;5
14/01/2012;34;5
13/01/2012;20;6
12/01/2012;9;7
11/01/2012;11;4
10/01/2012;19;4
09/01/2012;45;3
08/01/2012;42;3
07/01/2012;44;3
06/01/2012;55;3
05/01/2012;52;3
04/01/2012;49;3
03/01/2012;52;2
02/01/2012;59;3
01/01/2012;46;2
