Date;Benceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);Ortoxileno (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2013;0,39;4;13;19;78;0,16;6;0,34
30/12/2013;0,44;4;10;15;80;0,1;7;0,26
29/12/2013;0,6;7;26;36;63;0,73;10;1,03
28/12/2013;0,49;4;15;21;75;0,27;15;0,4
27/12/2013;0,32;3;9;14;66;0,07;5;0,22
26/12/2013;0,61;9;23;37;69;1,23;10;1,12
25/12/2013;0,45;3;10;16;82;0,15;2;0,35
24/12/2013;0,36;4;11;17;75;0,15;3;0,28
23/12/2013;0,39;4;9;14;75;0,12;4;0,26
22/12/2013;0,51;3;12;18;65;0,29;5;0,59
21/12/2013;0,88;12;32;51;40;1,69;4;1,97
20/12/2013;0,92;23;41;76;49;2,98;7;2,67
19/12/2013;0,64;9;29;43;66;1,56;8;2,22
18/12/2013;0,45;4;14;20;70;0,49;6;0,7
17/12/2013;0,48;4;17;23;60;1,04;11;1,13
16/12/2013;0,57;5;22;30;58;1,2;11;1,36
15/12/2013;0,82;8;42;53;43;1,47;12;2,08
14/12/2013;0,99;21;43;75;38;3,51;10;5,83
13/12/2013;1,53;85;71;202;14;12,3;16;10,29
12/12/2013;0,85;30;60;106;27;4,9;12;4,98
11/12/2013;0,43;5;22;30;57;0,68;10;1,14
10/12/2013;0,71;25;45;84;34;3,07;11;4,41
09/12/2013;0,99;17;48;75;23;2,45;12;7,73
08/12/2013;1,74;29;45;90;16;2,71;20;4,96
07/12/2013;1,09;18;48;75;27;2,95;11;4
06/12/2013;0,86;10;39;55;38;3,79;10;4,47
05/12/2013;0,85;20;51;82;28;3,23;12;3,41
04/12/2013;1,57;80;55;178;12;11,45;17;23,05
03/12/2013;1,48;53;61;143;7;8,46;18;12,72
02/12/2013;0,67;16;32;56;44;2,09;9;3,12
01/12/2013;0,42;3;12;17;66;0,22;7;0,46
30/11/2013;0,66;3;11;16;76;1,11;10;1,14
29/11/2013;1,91;70;62;169;12;13,13;17;14,74
28/11/2013;1,45;50;59;137;10;6,73;11;8,19
27/11/2013;0,74;14;45;66;35;1,95;11;2,46
26/11/2013;0,48;6;29;38;64;0,85;7;1,03
25/11/2013;0,5;7;24;36;71;0,78;6;1,17
24/11/2013;0,56;3;12;17;73;0,09;5;0,35
23/11/2013;0,56;3;11;16;70;0,47;6;0,53
22/11/2013;0,54;5;19;27;61;0,46;7;0,66
21/11/2013;0,53;4;14;20;77;0,3;13;0,31
20/11/2013;0,46;4;14;20;77;0,95;7;0,37
19/11/2013;0,75;6;20;29;69;;8;1,14
18/11/2013;0,71;4;13;20;56;0,48;5;0,74
17/11/2013;0,77;4;18;24;39;0,52;5;0,95
16/11/2013;0,61;7;24;35;44;1,69;6;2,35
15/11/2013;0,34;4;14;19;78;0,23;5;0,38
14/11/2013;0,4;4;14;19;78;0,46;6;0,39
13/11/2013;0,45;4;14;19;55;0,4;6;0,38
12/11/2013;0,49;4;21;27;61;0,83;7;0,67
11/11/2013;0,67;4;18;24;70;1,21;7;0,8
10/11/2013;0,62;4;21;28;71;1,03;20;0,58
09/11/2013;0,44;4;14;20;65;1,69;9;0,59
08/11/2013;0,51;4;16;22;69;;7;0,85
07/11/2013;;16;21;45;40;;6;
06/11/2013;0,28;9;27;40;24;0,41;6;0,97
05/11/2013;0,28;4;17;23;57;0,11;22;0,21
04/11/2013;0,24;4;16;21;69;0,14;9;0,3
03/11/2013;0,29;4;23;29;64;0,19;8;0,43
02/11/2013;0,2;3;12;17;54;0,08;5;0,18
01/11/2013;0,16;3;12;17;62;0,08;8;0,27
31/10/2013;0,55;43;55;121;17;1,35;9;3,76
30/10/2013;0,38;17;38;64;43;0,58;5;1,6
29/10/2013;;;17;23;70;;7;
27/10/2013;0,07;3;7;11;85;0,02;7;0,16
26/10/2013;0,07;3;8;12;85;0,03;6;0,2
25/10/2013;0,08;3;10;15;75;0,08;6;0,3
24/10/2013;0,14;4;15;21;68;0,1;7;0,43
23/10/2013;0,12;3;13;18;78;0,17;7;0,33
22/10/2013;0,11;3;11;16;84;0,09;7;0,19
21/10/2013;0,11;4;11;17;78;0,13;7;0,28
20/10/2013;0,09;3;7;12;84;0,03;7;0,1
19/10/2013;0,09;3;10;14;75;0,08;6;0,14
18/10/2013;0,3;9;39;53;47;0,84;6;1,49
17/10/2013;0,3;24;44;80;30;1,05;6;2,29
16/10/2013;0,25;15;28;50;39;0,67;7;1,3
15/10/2013;0,29;13;35;55;32;0,76;6;1,41
14/10/2013;0,51;32;50;99;26;1,05;12;2,36
13/10/2013;0,38;12;41;60;32;0,5;8;1,38
12/10/2013;0,21;4;20;26;55;0,19;12;0,39
11/10/2013;0,23;13;39;60;41;0,44;6;0,9
10/10/2013;0,29;18;37;64;41;1,1;8;2,03
09/10/2013;0,44;17;35;62;49;0,92;8;1,74
08/10/2013;0,34;28;42;85;38;1,37;8;2,56
07/10/2013;0,22;23;35;70;39;0,89;5;2,25
06/10/2013;0,21;4;26;33;44;0,27;6;0,73
05/10/2013;0,18;8;23;36;45;0,24;6;0,86
04/10/2013;0,17;11;36;53;39;0,56;7;1,3
03/10/2013;0,16;6;17;25;62;0,38;7;0,86
02/10/2013;0,18;12;26;44;37;0,56;5;1,99
01/10/2013;0,1;4;11;17;44;0,06;5;0,2
30/09/2013;0,16;6;30;39;45;0,27;7;0,99
29/09/2013;0,16;4;24;31;56;0,25;10;0,67
28/09/2013;0,08;3;10;15;77;0,05;6;0,12
27/09/2013;0,37;13;48;69;45;0,8;13;1,62
26/09/2013;0,43;15;50;73;51;0,8;12;2,43
25/09/2013;0,2;6;30;39;69;0,28;5;0,88
24/09/2013;0,44;6;23;33;72;0,36;7;1,08
23/09/2013;0,33;9;33;46;61;0,62;10;1,87
22/09/2013;0,57;7;27;38;39;0,51;10;1,31
21/09/2013;0,25;8;22;33;35;0,85;9;2,17
20/09/2013;0,21;11;19;36;34;0,65;7;1,9
19/09/2013;0,13;3;13;17;70;0,11;8;0,24
18/09/2013;0,24;5;16;24;43;0,51;22;0,98
17/09/2013;0,15;3;14;18;65;0,12;9;0,27
16/09/2013;0,24;10;20;36;45;0,57;11;1,04
15/09/2013;0,1;2;11;14;76;0,07;7;0,23
14/09/2013;0,22;6;16;25;44;0,29;10;0,9
13/09/2013;0,22;9;24;38;37;0,47;8;1,64
12/09/2013;0,16;6;18;27;55;0,4;8;2,44
11/09/2013;0,17;5;19;26;62;0,26;6;0,59
10/09/2013;0,23;3;12;17;58;0,35;5;0,73
09/09/2013;0,2;15;19;42;41;0,54;6;1,82
08/09/2013;0,13;3;15;19;58;0,21;5;0,57
07/09/2013;0,18;2;9;12;76;0,15;4;0,29
06/09/2013;0,22;5;20;27;63;0,61;5;1,39
05/09/2013;0,4;7;21;32;86;0,5;5;1,19
04/09/2013;0,39;6;27;37;93;0,57;7;1,47
03/09/2013;0,2;12;28;47;73;0,65;7;1,86
02/09/2013;0,16;8;20;32;64;0,38;7;1,2
01/09/2013;0,21;2;12;16;70;0,31;5;0,68
31/08/2013;0,26;3;17;21;88;0,36;7;0,89
30/08/2013;0,39;6;21;30;93;0,65;8;1,42
29/08/2013;0,32;7;18;30;97;0,5;10;1,08
28/08/2013;0,17;2;14;17;110;0,28;9;0,79
27/08/2013;0,2;3;12;16;97;0,24;8;0,48
26/08/2013;0,17;2;12;15;71;0,1;9;0,19
25/08/2013;0,16;2;8;11;79;0,12;11;0,21
24/08/2013;0,19;2;8;11;82;0,17;9;0,31
23/08/2013;0,25;2;16;20;109;0,24;10;0,59
22/08/2013;0,53;6;21;30;89;0,78;10;1,71
21/08/2013;0,38;7;26;37;77;0,57;11;1,05
20/08/2013;0,17;6;17;27;63;0,31;9;0,73
19/08/2013;0,14;2;11;14;62;0,1;9;0,25
18/08/2013;0,22;3;15;21;73;0,24;14;0,67
17/08/2013;0,3;3;13;18;79;0,28;10;0,66
16/08/2013;0,52;4;16;23;81;1,9;12;2,26
15/08/2013;0,15;3;16;21;79;0,29;10;0,74
14/08/2013;0,37;10;19;34;72;1,21;9;2,07
13/08/2013;0,12;4;13;19;62;0,17;7;0,36
12/08/2013;0,16;3;12;16;63;0,18;6;0,36
11/08/2013;0,11;3;12;17;63;0,16;7;0,5
10/08/2013;0,13;3;14;19;49;0,31;9;0,76
09/08/2013;0,15;9;19;33;55;0,56;14;1,14
08/08/2013;0,15;2;12;15;64;0,22;9;0,45
07/08/2013;0,15;3;17;22;61;0,18;10;0,44
06/08/2013;0,16;3;17;22;58;0,22;9;0,51
05/08/2013;0,18;2;12;16;70;0,19;13;0,35
04/08/2013;0,16;2;11;15;67;0,19;9;0,44
03/08/2013;0,11;2;8;11;69;0,08;7;0,23
02/08/2013;0,11;4;12;18;67;0,15;6;0,28
01/08/2013;0,27;4;15;22;78;0,3;6;0,71
31/07/2013;0,21;4;20;27;87;0,56;8;1,13
30/07/2013;0,16;8;20;33;64;0,5;10;1,29
29/07/2013;0,13;9;15;28;56;0,27;8;0,63
28/07/2013;0,1;2;8;11;68;0,06;8;0,17
27/07/2013;0,13;3;11;16;52;0,21;6;0,49
26/07/2013;0,15;3;14;19;55;0,12;7;0,24
25/07/2013;0,15;2;10;13;62;0,21;6;0,32
24/07/2013;0,2;7;16;27;53;0,35;6;0,77
