Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2013;0,17;9;7;21;72;12;5
30/12/2013;0,14;9;12;26;64;8;5
29/12/2013;0,25;10;17;32;58;24;6
28/12/2013;0,22;8;6;19;74;38;5
27/12/2013;0,21;8;6;19;58;17;5
26/12/2013;0,23;10;15;31;64;38;6
25/12/2013;0,18;8;5;17;76;36;5
24/12/2013;0,2;8;6;18;69;20;5
23/12/2013;0,23;8;8;21;65;10;5
22/12/2013;0,25;11;20;36;48;38;6
21/12/2013;0,24;9;25;39;37;13;6
20/12/2013;0,29;12;24;42;54;38;6
19/12/2013;0,25;10;17;33;64;24;6
18/12/2013;0,25;10;15;31;55;20;6
17/12/2013;0,25;9;16;29;54;24;6
16/12/2013;0,22;9;20;34;51;16;6
15/12/2013;0,27;9;17;30;56;11;6
14/12/2013;0,44;13;30;50;36;27;7
13/12/2013;0,37;26;39;79;25;25;8
12/12/2013;0,26;12;34;52;32;16;7
11/12/2013;0,2;8;15;27;54;19;6
10/12/2013;0,27;11;33;51;;20;8
09/12/2013;0,4;12;36;55;;22;8
08/12/2013;0,67;22;37;71;10;29;10
07/12/2013;0,52;13;33;53;21;22;7
06/12/2013;0,48;13;34;55;21;20;7
05/12/2013;0,35;20;33;63;24;20;7
04/12/2013;0,62;55;40;124;13;43;11
03/12/2013;0,43;29;39;83;15;28;8
02/12/2013;0,28;7;20;30;36;18;5
01/12/2013;0,19;4;8;15;51;13;5
30/11/2013;0,2;5;7;15;58;15;5
29/11/2013;0,78;85;60;190;6;48;13
28/11/2013;0,47;27;42;84;14;29;8
27/11/2013;0,33;18;37;64;29;17;7
26/11/2013;0,21;5;14;22;58;13;5
25/11/2013;0,21;7;18;29;57;14;5
24/11/2013;0,25;4;6;12;59;12;4
23/11/2013;0,23;4;6;12;58;11;4
22/11/2013;0,22;5;7;14;57;13;5
21/11/2013;0,16;4;4;11;69;16;5
