Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3);O3 (µg/m3)
31/12/2013;10;9;25;10;5;
30/12/2013;9;6;20;7;5;50
29/12/2013;9;11;26;11;5;43
28/12/2013;9;11;25;15;5;58
27/12/2013;8;6;19;4;5;55
26/12/2013;9;11;25;9;5;60
25/12/2013;10;7;22;6;5;62
24/12/2013;10;7;22;7;4;61
23/12/2013;10;7;22;6;5;63
22/12/2013;10;7;22;8;5;56
21/12/2013;9;11;25;9;6;43
20/12/2013;13;24;44;16;7;35
19/12/2013;10;16;31;12;5;58
18/12/2013;12;13;32;13;5;53
17/12/2013;11;12;29;18;5;53
16/12/2013;8;12;25;8;6;52
15/12/2013;9;17;31;11;6;43
14/12/2013;10;16;32;15;5;33
13/12/2013;11;21;39;20;6;33
12/12/2013;10;17;33;13;5;41
11/12/2013;9;10;24;15;5;53
10/12/2013;9;16;30;18;5;41
09/12/2013;9;15;29;16;5;38
08/12/2013;15;20;43;16;6;13
07/12/2013;13;19;39;15;6;21
06/12/2013;9;17;31;14;6;22
05/12/2013;20;25;55;22;6;7
04/12/2013;42;24;88;29;6;7
03/12/2013;18;22;50;19;5;14
02/12/2013;10;24;39;18;6;20
01/12/2013;7;14;24;11;6;33
30/11/2013;6;14;24;13;6;42
29/11/2013;25;29;66;26;6;7
28/11/2013;14;24;44;18;6;18
27/11/2013;15;24;46;22;5;19
26/11/2013;6;18;27;13;5;43
25/11/2013;6;22;32;13;5;34
24/11/2013;5;13;21;12;5;38
23/11/2013;5;15;24;12;5;37
22/11/2013;6;19;28;10;5;41
21/11/2013;5;10;17;13;5;66
20/11/2013;5;13;20;9;5;60
19/11/2013;5;15;23;12;5;49
18/11/2013;5;13;20;10;6;42
17/11/2013;5;17;25;16;5;26
16/11/2013;7;15;26;12;5;32
15/11/2013;5;18;26;15;5;51
14/11/2013;5;11;18;19;6;55
13/11/2013;5;17;25;11;5;35
12/11/2013;6;19;28;16;5;32
11/11/2013;6;14;23;12;4;52
10/11/2013;5;5;12;13;4;71
09/11/2013;5;8;16;8;4;46
08/11/2013;6;15;24;9;5;50
07/11/2013;7;12;23;9;5;35
06/11/2013;10;15;31;15;5;18
05/11/2013;4;7;14;9;4;53
04/11/2013;4;8;14;13;4;60
03/11/2013;4;11;17;19;5;51
02/11/2013;4;12;18;7;4;38
01/11/2013;3;8;13;8;4;51
31/10/2013;6;17;27;12;5;26
30/10/2013;6;18;27;13;5;28
29/10/2013;4;12;18;10;4;46
28/10/2013;4;11;17;13;4;48
27/10/2013;2;4;8;7;4;76
26/10/2013;2;9;13;6;4;62
25/10/2013;2;8;12;6;4;56
24/10/2013;2;8;12;11;4;62
23/10/2013;3;12;16;11;4;61
22/10/2013;2;7;10;10;4;73
21/10/2013;2;9;12;12;4;66
20/10/2013;2;9;13;9;4;60
19/10/2013;2;11;15;12;4;56
18/10/2013;5;24;32;21;5;37
17/10/2013;9;28;42;20;6;19
16/10/2013;5;15;23;12;5;31
15/10/2013;4;16;23;13;5;36
14/10/2013;7;23;34;19;5;23
13/10/2013;3;15;20;16;5;31
12/10/2013;3;10;14;12;5;42
11/10/2013;3;15;20;14;4;35
10/10/2013;3;15;19;14;5;35
09/10/2013;5;19;26;18;5;29
08/10/2013;5;20;28;16;4;25
07/10/2013;5;13;20;14;4;30
06/10/2013;7;12;23;16;4;27
05/10/2013;6;11;20;12;5;30
04/10/2013;7;15;26;15;5;33
03/10/2013;4;13;20;13;4;47
02/10/2013;6;18;27;13;5;27
01/10/2013;3;8;12;6;4;37
30/09/2013;3;17;21;11;4;37
29/09/2013;2;10;13;10;6;49
28/09/2013;1;6;8;6;4;68
27/09/2013;5;20;27;29;5;46
26/09/2013;4;30;36;37;6;36
25/09/2013;3;30;35;42;5;40
24/09/2013;6;26;36;37;5;55
23/09/2013;2;18;22;21;4;51
22/09/2013;3;16;20;18;4;35
21/09/2013;3;14;20;17;5;28
20/09/2013;5;18;26;18;4;19
19/09/2013;2;14;17;19;5;46
18/09/2013;3;10;14;16;4;34
17/09/2013;3;13;17;16;4;39
16/09/2013;3;13;17;14;4;34
15/09/2013;2;8;11;13;4;45
14/09/2013;4;12;18;19;6;35
13/09/2013;4;18;25;16;5;26
12/09/2013;4;17;24;19;5;32
11/09/2013;4;14;19;15;4;40
10/09/2013;9;12;26;12;4;27
09/09/2013;10;16;31;18;6;31
08/09/2013;6;9;18;10;4;41
07/09/2013;7;9;19;9;4;52
06/09/2013;11;15;34;19;4;40
05/09/2013;11;21;39;35;5;61
04/09/2013;14;25;47;38;6;68
03/09/2013;14;24;45;27;7;57
02/09/2013;12;14;33;20;4;45
01/09/2013;11;9;25;18;4;44
31/08/2013;12;10;29;23;3;64
30/08/2013;11;12;29;26;3;70
29/08/2013;11;14;31;26;4;61
28/08/2013;;;;26;4;49
27/08/2013;9;16;29;15;4;49
26/08/2013;5;13;21;15;5;42
25/08/2013;6;9;19;16;4;50
24/08/2013;6;9;18;22;4;56
23/08/2013;5;17;24;44;4;67
22/08/2013;6;20;29;41;4;64
21/08/2013;5;20;28;27;4;65
20/08/2013;5;13;21;19;3;44
19/08/2013;3;14;19;24;4;37
18/08/2013;3;11;16;29;5;55
17/08/2013;5;10;18;18;4;56
16/08/2013;5;13;21;18;4;58
15/08/2013;4;11;17;20;4;66
14/08/2013;5;13;22;19;4;51
13/08/2013;5;11;19;25;3;43
12/08/2013;7;15;25;26;4;40
11/08/2013;5;13;21;19;4;47
10/08/2013;4;10;16;16;4;40
09/08/2013;5;13;21;17;5;45
08/08/2013;4;11;17;13;4;40
07/08/2013;3;17;22;16;5;38
06/08/2013;3;16;20;18;4;38
05/08/2013;3;15;20;26;5;40
04/08/2013;2;11;14;20;4;51
03/08/2013;2;7;10;18;3;52
02/08/2013;4;15;20;26;4;52
01/08/2013;4;20;26;40;5;60
31/07/2013;2;13;17;25;4;69
30/07/2013;3;17;22;19;4;53
29/07/2013;3;11;15;13;3;44
28/07/2013;2;7;10;13;3;48
27/07/2013;3;10;14;14;4;37
26/07/2013;4;19;26;17;4;31
25/07/2013;2;12;15;24;4;40
24/07/2013;5;18;25;22;4;42
23/07/2013;3;19;24;21;4;40
22/07/2013;4;16;22;41;3;70
21/07/2013;3;13;17;36;3;63
20/07/2013;3;13;18;35;4;69
19/07/2013;3;18;23;38;3;76
18/07/2013;4;18;24;38;3;60
17/07/2013;4;17;24;40;4;46
16/07/2013;;;;39;3;46
15/07/2013;103;21;179;35;4;67
14/07/2013;2;13;17;33;4;69
13/07/2013;3;16;20;40;4;63
12/07/2013;3;23;27;41;5;72
11/07/2013;4;27;34;47;7;67
10/07/2013;5;27;34;46;7;61
09/07/2013;4;29;35;41;7;69
08/07/2013;3;21;26;31;6;70
07/07/2013;3;14;19;23;6;65
06/07/2013;3;11;16;25;5;54
05/07/2013;4;18;25;23;5;43
04/07/2013;7;20;31;12;6;20
03/07/2013;6;20;29;23;7;17
02/07/2013;6;23;32;31;6;24
01/07/2013;4;21;27;24;5;38
30/06/2013;3;10;14;14;5;33
29/06/2013;4;14;20;22;8;41
28/06/2013;4;17;23;22;6;55
27/06/2013;4;17;23;24;6;66
26/06/2013;6;14;24;22;5;56
25/06/2013;11;13;29;23;5;44
24/06/2013;13;11;31;27;4;47
23/06/2013;12;7;25;28;7;61
22/06/2013;14;11;32;19;7;51
21/06/2013;10;20;36;21;5;38
20/06/2013;10;16;31;23;5;44
19/06/2013;11;9;26;7;5;53
18/06/2013;8;14;26;12;6;49
17/06/2013;8;17;30;18;9;55
16/06/2013;6;15;26;27;11;51
15/06/2013;7;11;22;18;9;50
14/06/2013;8;20;32;25;9;46
13/06/2013;4;19;25;;6;40
12/06/2013;4;20;26;28;7;53
11/06/2013;3;18;23;21;5;43
10/06/2013;3;20;25;22;5;61
09/06/2013;5;10;18;;4;84
08/06/2013;5;10;18;12;5;65
07/06/2013;7;27;37;30;6;54
06/06/2013;6;27;36;34;8;49
05/06/2013;7;28;39;30;10;56
04/06/2013;6;17;26;22;7;58
03/06/2013;6;15;24;21;5;56
02/06/2013;3;9;13;17;5;58
01/06/2013;2;10;14;16;7;66
31/05/2013;2;7;11;22;4;93
30/05/2013;2;6;9;16;4;94
29/05/2013;2;7;10;9;4;73
28/05/2013;2;7;11;11;4;71
27/05/2013;3;15;19;19;6;74
26/05/2013;3;11;15;;5;62
25/05/2013;2;8;12;21;5;75
24/05/2013;3;12;17;24;7;77
23/05/2013;2;10;13;21;6;76
22/05/2013;3;17;22;13;6;62
21/05/2013;3;13;17;13;4;54
20/05/2013;3;12;17;16;4;61
19/05/2013;2;8;10;12;4;89
18/05/2013;2;7;9;6;4;75
17/05/2013;3;13;18;12;4;54
16/05/2013;3;12;16;13;5;66
15/05/2013;2;12;15;13;6;74
14/05/2013;6;19;29;22;7;49
13/05/2013;4;13;20;16;5;54
12/05/2013;2;9;13;14;5;60
11/05/2013;2;9;13;17;6;62
10/05/2013;3;16;21;18;5;56
09/05/2013;4;21;28;13;5;43
08/05/2013;3;16;21;13;5;58
07/05/2013;8;28;41;25;8;44
06/05/2013;6;30;39;33;9;50
05/05/2013;2;12;15;18;4;67
04/05/2013;3;13;17;17;5;61
03/05/2013;4;20;25;23;4;54
02/05/2013;2;11;15;11;4;74
01/05/2013;3;10;15;7;5;55
30/04/2013;3;18;22;9;4;65
29/04/2013;3;13;17;18;4;88
28/04/2013;2;8;12;11;4;84
27/04/2013;2;8;12;10;6;80
26/04/2013;3;13;18;24;5;78
25/04/2013;3;22;27;31;5;93
24/04/2013;4;15;21;17;4;68
23/04/2013;5;14;21;19;4;56
22/04/2013;4;15;20;17;4;67
21/04/2013;3;9;14;13;4;73
20/04/2013;4;11;17;15;4;59
19/04/2013;3;12;17;21;4;75
