Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2013;0,23;6;16;24;58;17;4
30/12/2013;0,17;6;16;26;53;6;4
29/12/2013;0,36;8;26;38;44;10;5
28/12/2013;0,18;7;21;31;53;12;6
27/12/2013;0,15;7;15;25;45;5;3
26/12/2013;0,2;11;25;41;48;8;4
25/12/2013;0,17;6;13;22;58;7;3
24/12/2013;0,24;7;12;22;56;7;3
23/12/2013;0,17;7;12;22;52;5;3
22/12/2013;0,15;7;13;23;45;7;4
21/12/2013;0,13;9;22;35;28;11;6
20/12/2013;0,23;17;34;59;30;23;11
19/12/2013;0,19;12;27;45;42;13;5
18/12/2013;0,18;11;19;36;43;12;3
17/12/2013;0,28;22;24;58;34;15;4
16/12/2013;0,21;37;31;86;27;11;5
15/12/2013;0,16;34;26;77;33;10;9
14/12/2013;0,29;47;38;109;17;22;6
13/12/2013;0,35;63;43;138;14;28;12
12/12/2013;0,21;40;32;93;24;18;8
11/12/2013;0,21;35;24;78;37;13;5
10/12/2013;0,23;;;;20;19;6
09/12/2013;;;;;20;20;11
08/12/2013;;;;;9;22;15
07/12/2013;;;;;16;18;11
06/12/2013;;;;;18;17;11
05/12/2013;;;;;8;23;10
04/12/2013;;;;;7;42;12
03/12/2013
02/12/2013
01/12/2013;;;;;;;6
30/11/2013;;;;;;;7
29/11/2013;;;;;;;11
28/11/2013;;;;;;;9
27/11/2013;;;;;;;9
26/11/2013;;;;;;;5
25/11/2013;;;;;;;4
24/11/2013;;;;;;;4
23/11/2013;;;;;;;4
22/11/2013;;;;;;;4
21/11/2013;;;;;;;4
20/11/2013;;;;;;;5
19/11/2013;;;;;;;5
18/11/2013;;;;;;;4
17/11/2013;;;;;;;4
16/11/2013;;;;;;;5
15/11/2013;;;;;;;4
14/11/2013;;;;;;;4
13/11/2013;;;;;;;3
12/11/2013;;;;;;;4
11/11/2013;;;;;;;4
10/11/2013;;;;;;;7
09/11/2013;;;;;;;4
08/11/2013;;;;;;;4
07/11/2013;;;;;;;4
06/11/2013;;;;;;;5
05/11/2013;;;;;;;5
04/11/2013;;;;;;;3
03/11/2013;;;;;;;5
02/11/2013;;;;;;;3
01/11/2013;;;;;;;5
31/10/2013;;;;;;;8
30/10/2013;;;;;;;6
29/10/2013;;;;;;;8
28/10/2013;;;;;;;7
27/10/2013;;;;;;;6
26/10/2013;;;;;;;7
25/10/2013;;;;;;;6
24/10/2013;;;;;;;8
23/10/2013;;;;;;;7
22/10/2013;;;;;;;7
21/10/2013;;;;;;;7
20/10/2013;;;;;;;6
19/10/2013;;;;;;;6
18/10/2013;;;;;;;10
17/10/2013;;;;;;;8
16/10/2013;;;;;;;7
15/10/2013;;;;;;;6
14/10/2013;;;;;;;13
13/10/2013;;;;;;;14
12/10/2013;;;;;;;12
11/10/2013;;;;;;;5
10/10/2013;;;;;;;9
09/10/2013;;;;;;;6
08/10/2013;;;;;;;8
07/10/2013;;;;;;;6
06/10/2013;;;;;;;5
05/10/2013;;;;;;;9
04/10/2013;;;;;;;7
03/10/2013;;;;;;;4
02/10/2013;;;;;;;4
01/10/2013;;;;;;;4
30/09/2013;;;;;;;6
29/09/2013;;;;;;;6
28/09/2013;;;;;;;3
27/09/2013;;;;;;;6
26/09/2013;;;;;;;7
25/09/2013;;;;;;;3
24/09/2013;;;;;;;5
23/09/2013;;;;;;;9
22/09/2013;;;;;;;8
21/09/2013;;;;;;;7
20/09/2013;;;;;;;4
19/09/2013;;;;;;;4
18/09/2013;;;;;;;8
17/09/2013;;;;;;;6
16/09/2013;;;;;;;5
15/09/2013;;;;;;;3
14/09/2013;;;;;;;6
13/09/2013;;;;;;;5
12/09/2013;;;;;;;10
11/09/2013;;;;;;;7
10/09/2013;;;;;;;6
09/09/2013;;;;;;;10
08/09/2013;;;;;;;6
07/09/2013;;;;;;;5
06/09/2013;;;;;;;6
05/09/2013;;;;;;;7
04/09/2013;;;;;;;13
03/09/2013;;;;;;;19
02/09/2013;;;;;;;7
01/09/2013;;;;;;;8
31/08/2013;;;;;;;8
30/08/2013;;;;;;;7
29/08/2013;;;;;;;7
28/08/2013;;;;;;;7
27/08/2013;;;;;;;8
26/08/2013;;;;;;;9
25/08/2013;;;;;;;9
24/08/2013;;;;;;;9
23/08/2013;;;;;;;8
22/08/2013;;;;;;;9
21/08/2013;;;;;;;9
20/08/2013;;;;;;;9
19/08/2013;;;;;;;8
18/08/2013;;;;;;;8
17/08/2013;;;;;;;8
16/08/2013;;;;;;;8
15/08/2013;;;;;;;7
14/08/2013;;;;;;;7
13/08/2013;;;;;;;7
12/08/2013;;;;;;;7
11/08/2013;;;;;;;6
10/08/2013;;;;;;;6
09/08/2013;;;;;;;6
08/08/2013;;;;;;;6
07/08/2013;;;;;;;5
06/08/2013;;;;;;;5
05/08/2013;;;;;;;5
04/08/2013;;;;;;;5
03/08/2013;;;;;;;4
02/08/2013
01/08/2013
31/07/2013
30/07/2013
29/07/2013
28/07/2013
27/07/2013
26/07/2013
25/07/2013
24/07/2013
23/07/2013
22/07/2013
21/07/2013
20/07/2013
19/07/2013
18/07/2013
17/07/2013
16/07/2013
15/07/2013
14/07/2013
13/07/2013
12/07/2013
11/07/2013
10/07/2013
09/07/2013
08/07/2013
07/07/2013
06/07/2013
05/07/2013
04/07/2013
03/07/2013
02/07/2013
01/07/2013
30/06/2013
29/06/2013
28/06/2013
27/06/2013
26/06/2013
25/06/2013
24/06/2013
23/06/2013
22/06/2013
21/06/2013
20/06/2013
19/06/2013
18/06/2013
17/06/2013
16/06/2013
15/06/2013
14/06/2013
13/06/2013
12/06/2013;;;;;;;12
11/06/2013;;;;;;;12
10/06/2013;;;;;;;11
09/06/2013;;;;;;;11
08/06/2013;;;;;;;10
07/06/2013;;;;;;;10
06/06/2013;;;;;;;10
05/06/2013;;;;;;;11
04/06/2013;;;;;;;11
03/06/2013;;;;;;;9
02/06/2013;;;;;;;9
01/06/2013;;;;;;;8
31/05/2013;;;;;;;8
30/05/2013
29/05/2013;;;;;;;6
28/05/2013;;;;;;;6
27/05/2013;;;;;;;6
26/05/2013;;;;;;;6
25/05/2013;;;;;;;6
24/05/2013;;;;;;;6
23/05/2013;;;;;;;6
22/05/2013;;;;;;;6
21/05/2013;;;;;;;6
20/05/2013;;;;;;;6
19/05/2013;;;;;;;6
18/05/2013;;;;;;;5
17/05/2013;;;;;;;6
16/05/2013;;;;;;;5
15/05/2013;;;;;;;6
14/05/2013;;;;;;;6
13/05/2013;;;;;;;6
12/05/2013;;;;;;;5
11/05/2013;;;;;;;6
10/05/2013;;;;;;;5
09/05/2013;;;;;;;5
08/05/2013;;;;;;;5
07/05/2013;;;;;;;5
06/05/2013;;;;;;;7
05/05/2013;;;;;;;6
04/05/2013;;;;;;;6
03/05/2013;;;;;;;6
02/05/2013;;;;;;;6
01/05/2013;;;;;;;6
30/04/2013;;;;;;;6
29/04/2013;;;;;;;5
28/04/2013;;;;;;;5
27/04/2013;;;;;;;5
26/04/2013;;;;;;;5
25/04/2013;;;;;;;6
24/04/2013;;;;;;;6
23/04/2013;;;;;;;6
22/04/2013;;;;;;;6
21/04/2013;;;;;;;6
20/04/2013;;;;;;;5
19/04/2013;;;;;;;5
18/04/2013;;;;;;;5
17/04/2013;;;;;;;5
16/04/2013;;;;;;;5
15/04/2013;;;;;;;5
14/04/2013;;;;;;;5
13/04/2013;;;;;;;5
12/04/2013;;;;;;;5
11/04/2013;;;;;;;5
10/04/2013;;;;;;;5
09/04/2013;;;;;;;5
08/04/2013;;;;;;;5
07/04/2013;;;;;;;5
06/04/2013;;;;;;;5
05/04/2013;;;;;;;5
