Date;CO (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);SO2 (µg/m3);PM2,5 (µg/m3);PM10 (µg/m3)
31/12/2013;0,26;3;6;18;3;;
30/12/2013;0,26;3;6;20;4;;
29/12/2013;0,63;3;9;28;5;;
28/12/2013;0,2;4;6;21;6;;
27/12/2013;0,18;5;6;15;4;;
26/12/2013;0,34;3;16;33;4;;
25/12/2013;0,32;4;5;17;3;;
24/12/2013;0,18;5;4;14;3;;
23/12/2013;0,18;4;6;18;4;;
22/12/2013;0,18;4;5;17;4;;
21/12/2013;0,3;3;8;32;5;;
20/12/2013;0,32;4;31;56;7;;
19/12/2013;0,2;6;18;38;3;;
18/12/2013;0,24;5;17;30;3;;
17/12/2013;0,2;5;19;41;4;;
16/12/2013;0,19;5;13;45;4;;
15/12/2013;0,17;4;7;31;4;;
14/12/2013;0,49;6;29;54;3;;
13/12/2013;0,47;3;72;65;5;;
12/12/2013;0,17;3;19;49;3;;
11/12/2013;0,15;3;10;33;4;;
10/12/2013;0,28;2;27;54;4;;
09/12/2013;0,33;3;25;49;5;;
08/12/2013;0,64;2;47;44;9;;
07/12/2013;0,36;3;33;45;7;;
06/12/2013;0,39;3;24;46;6;;
05/12/2013;0,37;2;98;64;6;;
04/12/2013;0,72;1;144;64;6;;
03/12/2013;0,7;1;90;63;5;;
02/12/2013;0,32;2;32;49;3;;
01/12/2013;0,22;3;8;28;3;;
30/11/2013;0,24;3;17;23;4;;
29/11/2013;0,71;0;182;71;7;;
28/11/2013;0,49;1;73;59;5;;
27/11/2013;0,61;2;96;71;5;;
26/11/2013;0,19;2;12;39;3;;
25/11/2013;0,25;3;28;50;4;;
24/11/2013;0,24;3;7;28;4;;
23/11/2013;0,26;3;8;26;3;;
22/11/2013;0,21;3;19;43;4;;
21/11/2013;0,18;3;7;22;5;;
20/11/2013;0,18;1;9;30;4;;
19/11/2013;0,14;2;18;33;4;;
18/11/2013;0,32;2;9;28;3;;
17/11/2013;0,31;2;7;23;4;;
16/11/2013;0,31;1;15;38;4;;
15/11/2013;0,32;1;15;43;4;;
14/11/2013;0,26;1;8;24;4;;
13/11/2013;0,3;3;10;25;4;;
12/11/2013;0,29;3;13;39;5;;
11/11/2013;0,31;3;11;38;5;;
10/11/2013;0,24;3;5;15;7;;
09/11/2013;0,24;2;6;22;5;;
08/11/2013;0,2;3;8;27;5;;
07/11/2013;0,57;2;55;35;6;;
06/11/2013;0,42;4;32;38;6;;
05/11/2013;0,19;5;8;21;7;;
04/11/2013;0,19;4;7;25;6;;
03/11/2013;0,19;4;8;26;8;;
02/11/2013;0,18;6;7;19;6;;
01/11/2013;0,17;3;6;21;7;;
31/10/2013;0,54;1;52;58;7;;
30/10/2013;0,38;2;54;57;6;;
29/10/2013;0,22;3;14;37;6;;
28/10/2013;0,17;3;14;35;5;;
27/10/2013;0,12;3;4;11;5;;
26/10/2013;0,52;5;7;27;5;;
25/10/2013;0,25;5;8;27;6;;
24/10/2013;0,2;4;10;32;6;;
23/10/2013;0,38;3;10;33;5;;
22/10/2013;0,13;3;7;21;5;;
21/10/2013;0,12;4;7;26;7;;
20/10/2013;0,13;3;7;24;6;;
19/10/2013;0,43;3;30;42;6;;
18/10/2013;0,65;4;49;62;7;;
17/10/2013;0,41;5;42;50;6;;
16/10/2013;0,3;6;31;31;6;;
15/10/2013;0,9;6;19;41;5;;
14/10/2013;0,62;4;50;48;8;;
13/10/2013;0,49;3;15;40;8;;
12/10/2013;0,22;2;10;34;8;;
11/10/2013;0,33;2;30;49;6;;
10/10/2013;0,54;2;33;48;8;;
09/10/2013;0,37;2;42;49;9;;
08/10/2013;0,34;;42;50;15;;
07/10/2013;0,46;2;41;40;10;;
06/10/2013;0,4;3;15;29;8;;
05/10/2013;0,34;3;16;31;9;;
04/10/2013;0,37;3;20;45;7;;
03/10/2013;0,27;4;14;34;6;;
02/10/2013;0,44;3;27;39;7;;
01/10/2013;;3;9;22;7;;
30/09/2013;0,38;3;11;35;9;;
29/09/2013;;2;8;25;9;;
28/09/2013;;3;5;18;7;;
27/09/2013;0,27;4;29;58;13;;
26/09/2013;0,29;3;27;58;11;;
25/09/2013;0,31;2;14;39;7;;
24/09/2013;0,27;3;14;32;8;;
23/09/2013;0,27;2;18;55;10;;
22/09/2013;0,25;2;14;36;9;;
21/09/2013;0,28;3;15;29;9;;
20/09/2013;0,31;;;;7;;
19/09/2013;0,15;3;9;29;6;;
18/09/2013;0,26;3;24;30;10;;
17/09/2013;0,23;3;17;38;10;;
16/09/2013;0,34;2;29;38;8;;
15/09/2013;0,15;3;6;21;7;;
14/09/2013;0,25;4;14;21;8;;
13/09/2013;0,24;3;23;38;11;;
12/09/2013;0,32;3;23;35;9;;
11/09/2013;0,26;4;27;41;7;;
10/09/2013;0,17;4;21;34;12;;
09/09/2013;0,2;2;27;35;11;;
08/09/2013;0,16;4;8;22;8;;
07/09/2013;0,18;5;5;15;7;;
06/09/2013;0,26;5;22;38;10;;
05/09/2013;0,36;5;17;36;9;;
