Date;Benceno (µg/m3);CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2013;0,18;;6;20;30;76;0,49;7;3;0,58
30/12/2013;0,31;;13;46;66;45;1,65;8;5;1,51
29/12/2013;0,33;;11;36;53;48;0,94;9;3;1,22
28/12/2013;0,3;;6;27;36;66;0,59;10;3;0,84
27/12/2013;0,16;;9;24;38;57;0,84;4;3;0,96
26/12/2013;0,29;;16;41;66;58;1,24;8;5;1,61
25/12/2013;0,21;;6;22;31;71;0,42;5;3;0,64
24/12/2013;0,17;;7;23;34;71;0,57;5;3;0,71
23/12/2013;0,22;;9;30;44;57;0,96;6;5;1,19
22/12/2013;0,34;;13;46;66;35;1,4;8;6;1,73
21/12/2013;0,38;;18;52;80;20;2,06;12;7;2,15
20/12/2013;0,52;;39;61;121;32;3,22;17;8;4,04
19/12/2013;0,33;;17;49;75;51;1,96;11;5;2,78
18/12/2013;0,34;;19;42;72;46;2,29;10;5;2,51
17/12/2013;0,37;;18;46;74;39;2,26;14;6;3,84
16/12/2013;0,39;;26;60;101;27;3,12;11;6;3,46
15/12/2013;0,42;;20;55;86;27;3,68;11;5;2,6
14/12/2013;0,62;;36;61;116;16;3,73;21;6;3,79
13/12/2013;0,77;;66;67;168;14;5,08;25;8;5,93
12/12/2013;0,54;;42;67;132;17;4,48;18;8;4,73
11/12/2013;0,33;;15;47;70;33;1,91;14;5;2,23
10/12/2013;0,52;;35;62;115;14;3,7;21;8;4,91
09/12/2013;0,75;;52;65;144;10;3,48;25;9;4,38
08/12/2013;0,98;;56;49;135;11;2,9;31;19;3,31
07/12/2013;0,59;;42;51;116;18;2,56;28;9;2,71
06/12/2013;0,61;;22;52;86;17;3,08;22;7;3,13
05/12/2013;0,83;;56;63;149;10;5,16;22;4;6,69
04/12/2013;1,46;;108;65;232;8;10,94;41;9;13,25
03/12/2013;1,35;;106;67;230;8;7,21;31;9;9,46
02/12/2013;0,86;;19;42;71;29;1,94;;7;2,61
01/12/2013;0,43;;7;25;35;46;0,72;9;7;0,96
30/11/2013;0,33;;18;28;55;46;1,53;15;7;2,11
29/11/2013;1,6;;148;71;300;8;10,28;46;14;16,13
28/11/2013
27/11/2013
26/11/2013;0,32;;6;31;41;57;1,02;10;;1,16
25/11/2013;0,47;;14;41;63;46;1,98;11;;2,73
24/11/2013;0,67;;6;27;35;50;1,17;8;;1,2
23/11/2013;0,57;;8;30;42;49;0,96;7;;1,34
22/11/2013;0,47;;14;44;65;39;1,59;8;;2,47
21/11/2013;0,18;;7;31;42;61;1;12;7;1,96
20/11/2013;0,24;;9;34;47;;0,91;8;7;1,38
19/11/2013;0,36;;10;34;50;44;1,19;10;8;2,29
18/11/2013;0,48;;7;33;45;37;1,37;10;8;2,13
17/11/2013;0,78;;7;26;37;31;1,09;13;6;1,43
16/11/2013;0,52;;15;44;67;26;1,64;14;8;2
15/11/2013;0,27;;12;43;60;49;1,54;11;6;2,56
14/11/2013;0,37;;6;26;36;62;1;15;4;1,23
13/11/2013;0,43;;8;26;39;42;1,46;10;1;1,69
12/11/2013;0,3;;12;47;66;32;2,56;16;5;3,02
11/11/2013;0,29;;9;43;57;43;1,8;14;6;2,11
10/11/2013;0,12;;4;17;24;68;0,51;13;4;0,71
09/11/2013;0,22;;13;38;57;34;1,35;11;4;1,53
08/11/2013;0,2;;7;31;42;47;1,48;8;2;1,88
07/11/2013;0,53;;43;43;109;20;6,16;15;6;7,2
06/11/2013;0,51;;40;43;104;12;4,73;19;5;5,68
05/11/2013;0,08;;5;22;30;50;0,91;10;6;1,59
04/11/2013;0,19;;7;34;44;47;1,45;;6;1,87
03/11/2013;0,26;;8;27;39;53;0,94;;7;1,26
02/11/2013;0,17;;7;21;32;41;0,79;;5;0,98
01/11/2013;0,28;;17;37;63;30;2,37;16;9;2,5
31/10/2013;0,59;;54;57;140;12;6,07;31;12;6,32
30/10/2013;0,44;;38;55;113;16;4,04;21;9;5,14
29/10/2013;0,19;;10;38;54;40;1,88;11;7;2,57
28/10/2013;0,23;;12;34;52;47;1,94;14;6;2,43
27/10/2013;0,12;;5;19;27;67;0,78;8;5;1,19
26/10/2013;0,24;;11;42;59;36;1,91;20;6;2,62
25/10/2013;0,18;;10;34;50;41;1,57;10;6;2,3
24/10/2013;0,23;;13;39;59;43;2,41;13;6;3,87
23/10/2013;0,25;;11;42;59;50;2,33;15;7;3,01
22/10/2013;0,16;;10;36;51;54;1,58;;6;2,16
21/10/2013;0,25;;13;40;60;45;2,14;14;7;2,94
20/10/2013;0,21;;7;32;43;53;1,52;10;7;2,02
19/10/2013;0,55;;18;45;73;43;2,75;16;6;3,83
18/10/2013;0,84;;45;74;144;22;6,4;;9;9,04
17/10/2013;0,62;;26;49;89;24;4,94;19;7;5,98
16/10/2013;0,58;;33;34;84;32;4,1;18;7;6,12
15/10/2013;0,41;;22;46;81;21;3,75;15;7;5,06
14/10/2013;0,9;;39;50;110;20;4,07;28;10;5,75
13/10/2013;0,54;;21;42;73;24;2,24;25;12;2,85
12/10/2013;0,39;;18;40;68;27;2,21;21;10;2,44
11/10/2013;0,36;;26;50;90;22;3,31;20;5;4,02
10/10/2013;0,46;;34;50;102;25;4,22;25;9;5,64
09/10/2013;0,47;;30;48;95;25;5,1;28;7;6,74
08/10/2013;0,52;;36;53;109;17;4,81;30;10;5,85
07/10/2013;0,28;;25;38;77;25;2,68;20;6;3,38
06/10/2013;0,23;;11;31;48;28;1,83;15;4;2,49
05/10/2013;0,25;;16;34;59;29;2,52;20;6;2,73
04/10/2013;0,36;;17;42;68;30;2,8;17;5;4,09
