Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3)
31/12/2013;4;12;20;69;9
30/12/2013;4;16;24;61;7
29/12/2013;9;25;40;48;11
28/12/2013;5;21;29;59;14
27/12/2013;4;11;19;55;3
26/12/2013;9;27;42;54;10
25/12/2013;4;15;23;62;6
24/12/2013;4;12;19;65;7
23/12/2013;5;15;24;60;7
22/12/2013;4;20;28;49;8
21/12/2013;7;30;41;34;13
20/12/2013;32;51;101;30;26
19/12/2013;11;34;52;50;15
18/12/2013;21;26;59;50;17
17/12/2013;5;23;33;48;20
16/12/2013;8;31;44;42;11
15/12/2013;6;25;36;45;11
14/12/2013;17;40;68;21;22
13/12/2013;39;54;116;15;38
12/12/2013;14;43;66;26;20
11/12/2013;6;25;35;47;19
10/12/2013;13;38;59;28;24
09/12/2013;32;41;90;23;28
08/12/2013;39;37;97;13;28
07/12/2013;30;37;85;20;22
06/12/2013;18;37;66;19;19
05/12/2013;67;55;160;5;41
04/12/2013;118;53;234;6;51
03/12/2013;90;55;195;10;42
02/12/2013;21;39;73;20;23
01/12/2013;7;25;37;36;13
30/11/2013;20;19;52;51;17
29/11/2013;136;59;269;5;61
28/11/2013;63;53;151;12;37
27/11/2013;73;57;170;13;30
26/11/2013;17;37;64;43;19
25/11/2013;22;38;73;42;15
24/11/2013;5;21;30;43;9
23/11/2013;6;21;32;48;9
22/11/2013;12;35;55;37;13
21/11/2013;5;14;23;67;12
20/11/2013;6;27;37;56;
19/11/2013;12;24;44;51;22
18/11/2013;5;17;25;43;14
17/11/2013;6;20;30;27;20
16/11/2013;10;29;45;26;15
15/11/2013;8;29;43;48;16
14/11/2013;5;16;24;63;
13/11/2013;6;18;29;37;9
12/11/2013;9;39;54;27;21
11/11/2013;7;35;47;42;16
10/11/2013;4;13;20;68;26
09/11/2013;5;21;30;46;17
08/11/2013;5;24;33;52;19
07/11/2013;33;28;80;31;
06/11/2013;30;34;82;14;30
05/11/2013;5;17;25;49;18
04/11/2013;5;21;29;52;18
03/11/2013;6;23;34;51;21
02/11/2013;4;14;23;43;21
01/11/2013;5;22;31;41;15
31/10/2013;39;47;107;17;31
30/10/2013;42;46;112;18;21
29/10/2013;11;36;53;39;16
28/10/2013;14;31;53;43;16
