Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3);Ortoxileno (µg/m3)
31/12/2014;1;2,62;28;50;94;12;27;15;3,63;
30/12/2014;1,05;3,28;49;56;132;12;41;12;4,79;
29/12/2014;0,64;0,7;9;31;44;40;18;11;1,64;
28/12/2014;0,26;0,02;2;5;8;79;16;5;0,1;
27/12/2014;0,38;0,27;3;16;21;59;26;20;0,35;
26/12/2014;0,49;0,82;10;25;40;41;11;4;1,4;
25/12/2014;0,55;1,31;7;24;34;46;17;6;1,77;
24/12/2014;0,86;3,69;33;46;96;8;28;11;4,74;
23/12/2014;0,98;5,33;61;60;154;6;42;13;6,29;
22/12/2014;1,01;2,9;45;49;119;6;30;9;4,26;
21/12/2014;0,61;1,49;8;25;38;41;18;4;2,1;
20/12/2014;0,59;0,92;5;17;24;38;12;6;1,06;
19/12/2014;0,3;0,59;11;20;38;43;14;8;0,83;
18/12/2014;0,44;0,56;4;20;26;56;12;10;0,78;
17/12/2014;0,56;0,39;3;16;20;64;10;17;0,49;
16/12/2014;0,42;0,53;3;12;16;64;14;4;0,79;
15/12/2014;0,76;2,5;18;31;58;39;15;6;7,31;
14/12/2014;0,77;1,58;6;26;36;32;19;4;2,55;
13/12/2014;0,57;1,64;10;27;42;42;17;5;1,98;
12/12/2014;0,25;0,25;3;8;12;62;11;4;0,47;
11/12/2014;0,62;2,18;10;29;43;50;25;6;3,93;
10/12/2014;0,61;3,41;17;29;55;39;14;9;5,36;
09/12/2014;0,38;0,69;4;20;27;63;13;4;1,48;
08/12/2014;0,38;0,2;2;8;11;73;10;5;0,32;
07/12/2014;0,69;0,47;2;12;15;68;8;8;0,65;
06/12/2014;0,32;0,13;2;7;10;77;12;4;0,24;
05/12/2014;0,6;0,54;4;16;22;56;9;4;0,78;
04/12/2014;0,96;2,12;14;25;47;25;13;5;3,12;
03/12/2014;1,04;2,04;21;35;67;13;18;7;4,73;
02/12/2014;0,54;0,42;4;18;23;43;17;3;0,62;
01/12/2014;0,37;0,09;3;11;16;53;23;2;0,42;
30/11/2014;0,4;0,39;2;9;12;50;22;1;0,8;
29/11/2014;0,73;1,02;4;20;25;43;16;2;1,37;
28/11/2014;0,28;0,53;4;17;22;61;13;4;1,77;
27/11/2014;0,46;1,54;8;25;37;38;20;3;2,83;
26/11/2014;1,01;5,13;22;41;75;23;23;3;7,58;
25/11/2014;0,51;1,91;20;27;58;31;18;3;3,43;
24/11/2014;0,62;0,62;4;24;31;33;16;2;1,19;
23/11/2014;1,16;0,82;4;20;27;33;45;4;2;
22/11/2014;0,25;0,35;3;11;15;50;29;4;0,74;
21/11/2014;0,26;0,55;3;11;16;58;25;6;0,98;
20/11/2014;0,34;1,41;3;15;21;59;18;5;1,77;
19/11/2014;0,62;4,73;34;47;99;28;33;7;5,29;
18/11/2014;0,25;0,26;3;12;17;62;9;4;0,5;
17/11/2014;0,27;0,61;3;9;14;70;7;4;0,73;
16/11/2014;0,43;0,18;2;10;13;65;7;6;0,46;
15/11/2014;0,24;0,09;2;7;10;65;5;4;0,3;
14/11/2014;0,25;0,91;7;16;26;64;10;3;2,27;
13/11/2014;0,2;0,1;3;7;12;69;7;4;0,29;
12/11/2014;0,41;2,31;11;25;42;58;11;6;2,06;
11/11/2014;0,24;0,23;3;11;16;68;7;6;0,5;
10/11/2014;0,38;0,59;11;16;33;61;14;5;0,87;
09/11/2014;0,29;0,08;2;8;12;75;8;6;0,25;
08/11/2014;0,4;1,09;4;14;21;64;14;4;1,98;
07/11/2014;0,59;2,04;14;29;51;56;21;11;2,93;
06/11/2014;0,32;1,51;18;22;50;50;12;3;2,35;
05/11/2014;;;3;12;16;71;5;4;;
04/11/2014;;;3;15;20;66;8;5;;
03/11/2014;0,26;0,32;3;12;16;71;14;5;0,87;
02/11/2014;0,53;0,88;4;26;32;45;23;8;1,56;
01/11/2014;0,32;0,39;3;12;16;58;29;8;0,94;
31/10/2014;0,38;1,26;4;20;27;50;38;8;2,66;
30/10/2014;0,75;4,29;17;49;74;31;50;10;7,11;
29/10/2014;0,71;3,89;17;49;75;32;47;9;5,4;
28/10/2014;0,55;1,86;7;27;38;51;38;7;6,69;
