Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);CO 8h (mg/m3)
31/12/2014;0,25;18;44;72;22;23;17;7;
30/12/2014;;13;40;59;24;20;15;5;
29/12/2014;0,23;13;29;50;43;20;11;5;
28/12/2014;0,09;4;5;11;79;21;5;4;
27/12/2014;0,15;3;7;11;69;32;9;4;
26/12/2014;0,34;6;25;35;41;12;5;4;
25/12/2014;0,27;4;19;25;49;20;9;4;
24/12/2014;0,38;22;46;81;9;21;15;5;
23/12/2014;0,35;21;39;71;18;24;11;5;
22/12/2014;0,35;20;37;68;13;;11;4;
21/12/2014;0,31;6;20;29;44;;7;4;
20/12/2014;0,26;5;24;32;37;;9;4;
19/12/2014;0,29;10;28;44;43;40;9;5;
18/12/2014;0,22;3;10;14;68;39;6;4;
17/12/2014;0,2;2;6;9;76;26;4;4;
16/12/2014;0,25;1;10;12;67;17;5;4;
15/12/2014;0,38;19;36;65;38;30;9;6;
14/12/2014;0,27;5;23;31;35;18;12;4;
13/12/2014;0,32;5;29;36;41;27;13;4;
12/12/2014;0,2;4;18;24;51;31;8;4;
11/12/2014;0,28;13;26;46;53;73;18;4;
10/12/2014;0,28;12;29;48;42;22;8;5;
09/12/2014;0,23;4;16;23;65;19;5;4;
08/12/2014;0,2;3;7;12;78;20;4;4;
07/12/2014;0,22;4;9;14;73;17;3;4;
06/12/2014;0,18;3;6;11;78;18;4;4;
05/12/2014;0,22;4;15;21;57;16;4;8;
04/12/2014;0,37;12;24;43;22;19;7;7;
03/12/2014;0,35;13;29;48;18;16;7;4;
02/12/2014;0,23;2;10;14;47;16;8;3;
01/12/2014;0,22;2;8;11;55;22;8;3;
30/11/2014;0,23;2;7;11;49;24;7;3;
29/11/2014;0,23;2;11;15;49;21;6;3;
28/11/2014;0,18;3;15;19;63;9;6;3;
27/11/2014;0,23;5;21;28;38;13;9;4;
26/11/2014;0,32;9;30;44;26;20;9;4;
25/11/2014;0,27;7;18;29;38;19;6;3;
24/11/2014;0,29;2;10;13;44;27;6;3;
23/11/2014;0,3;3;14;19;37;39;16;3;
22/11/2014;0,27;3;17;22;44;30;16;4;
21/11/2014;0,28;3;14;18;58;26;17;4;
20/11/2014;0,25;4;25;31;50;20;11;5;
19/11/2014;0,3;6;33;41;38;19;11;5;
18/11/2014;0,24;6;24;32;50;19;8;5;
17/11/2014;0,2;4;11;16;73;24;5;5;
16/11/2014;0,16;3;10;15;68;24;4;4;
15/11/2014;0,15;3;10;14;64;15;4;4;
14/11/2014;0,2;4;14;19;67;20;4;3;
13/11/2014;0,24;3;11;15;64;12;4;4;
12/11/2014;0,21;6;22;31;54;25;6;4;
11/11/2014;0,21;5;15;22;57;11;5;4;
10/11/2014;0,26;7;20;30;49;18;8;5;
09/11/2014;0,17;5;10;17;72;23;5;6;
08/11/2014;0,28;5;16;24;57;26;8;5;
07/11/2014;0,23;9;21;34;57;32;8;5;
06/11/2014;0,23;9;26;40;40;17;8;6;
05/11/2014;0,18;5;14;23;63;29;4;7;
04/11/2014;0,18;4;13;19;65;25;5;6;
03/11/2014;0,22;3;14;20;59;21;7;4;
02/11/2014;0,26;3;16;21;43;24;12;3;
01/11/2014;0,25;4;15;22;50;28;17;5;
31/10/2014;0,28;5;24;31;43;34;19;5;
30/10/2014;0,28;7;31;41;39;46;19;5;
29/10/2014;0,24;6;31;40;42;49;22;6;
28/10/2014;0,23;5;19;26;52;48;18;4;
27/10/2014;0,35;12;34;53;31;71;23;7;
