Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3);CO 8h (mg/m3)
31/12/2014;0,36;43;59;124;8;25;14;
30/12/2014;0,35;39;50;109;11;21;8;
29/12/2014;0,24;19;37;65;31;16;6;
28/12/2014;0,14;3;9;13;74;12;4;
27/12/2014;0,19;3;16;21;57;21;5;
26/12/2014;0,27;14;46;66;20;;7;
25/12/2014;0,34;11;40;57;18;16;9;
24/12/2014;0,28;26;41;82;5;17;14;
23/12/2014;0,38;39;48;107;8;17;10;
22/12/2014;0,38;59;50;140;6;20;9;
21/12/2014;0,29;8;23;36;36;11;5;
20/12/2014;0,24;14;34;55;23;15;7;
19/12/2014;0,22;15;39;62;22;15;9;
18/12/2014;0,26;18;39;66;34;18;9;
17/12/2014;0,2;5;23;30;54;15;7;
16/12/2014;0,21;4;21;26;53;14;6;
15/12/2014;0,27;27;42;83;20;18;9;
14/12/2014;0,28;13;32;52;19;16;7;
13/12/2014;0,33;17;38;64;31;15;6;
12/12/2014;0,16;6;20;29;46;8;6;
11/12/2014;0,24;12;35;53;36;27;7;
10/12/2014;0,22;12;36;54;29;13;8;
09/12/2014;0,22;10;31;47;47;17;5;
08/12/2014;0,16;3;16;21;63;10;6;
07/12/2014;0,21;5;25;33;50;9;7;
06/12/2014;0,17;3;17;22;63;13;5;
05/12/2014;0,33;18;43;71;26;15;6;
04/12/2014;0,35;21;37;70;10;12;6;
03/12/2014;0,35;22;33;66;12;17;6;
02/12/2014;0,26;5;24;31;31;16;4;
01/12/2014;0,21;4;19;25;42;26;5;
30/11/2014;0,2;3;15;19;41;20;4;
29/11/2014;0,23;7;31;41;28;19;5;
28/11/2014;0,19;4;25;31;48;10;6;
27/11/2014;0,2;11;33;49;23;15;7;
26/11/2014;0,28;33;47;96;11;22;10;
25/11/2014;0,26;24;31;67;25;19;8;
24/11/2014;0,25;5;31;38;24;18;6;
23/11/2014;0,31;8;28;39;23;40;7;
22/11/2014;0,2;6;28;37;31;27;6;
21/11/2014;0,17;4;20;26;49;21;6;
20/11/2014;0,26;13;45;64;27;17;9;
19/11/2014;0,28;27;43;84;26;20;8;
18/11/2014;0,19;7;27;37;41;11;7;
17/11/2014;0,2;5;29;36;49;10;6;
16/11/2014;0,17;3;14;19;61;7;6;
15/11/2014;0,13;4;13;18;60;5;5;
14/11/2014;0,18;8;25;37;55;12;5;
13/11/2014;0,13;4;17;22;57;6;5;
12/11/2014;0,23;14;32;53;43;11;6;
11/11/2014;0,18;6;22;31;48;7;7;
10/11/2014;0,16;12;24;43;41;12;9;
09/11/2014;0,18;4;18;23;58;8;8;
08/11/2014;0,16;7;23;34;44;12;8;
07/11/2014;0,22;13;32;52;40;20;9;
06/11/2014;0,17;10;29;44;34;10;7;
