Date;CO (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);CO 8h (mg/m3)
31/12/2014;0,62;5;43;63;25;17;9;
30/12/2014;0,6;4;51;57;20;15;6;
29/12/2014;0,39;3;30;40;17;11;6;
28/12/2014;0,15;4;3;8;10;3;4;
27/12/2014;0,15;6;4;17;19;8;7;
26/12/2014;0,33;5;23;53;12;7;5;
25/12/2014;0,48;7;15;43;18;9;6;
24/12/2014;0,37;5;33;47;17;14;9;
23/12/2014;0,57;5;57;56;23;16;7;
22/12/2014;0,89;4;47;49;24;14;5;
21/12/2014;0,32;5;13;30;13;6;4;
20/12/2014;0,19;5;16;36;14;6;5;
19/12/2014;0,18;4;18;44;13;7;7;
18/12/2014;0,2;5;15;38;15;8;6;
17/12/2014;0,16;6;8;29;11;5;4;
16/12/2014;0,17;6;5;25;11;5;5;
15/12/2014;0,27;5;33;50;18;10;10;
14/12/2014;0,33;7;20;41;19;11;5;
13/12/2014;0,3;6;27;47;16;11;5;
12/12/2014;0,23;9;9;23;;6;5;
11/12/2014;0,18;5;20;42;;10;6;
10/12/2014;0,23;7;16;36;16;10;5;
09/12/2014
08/12/2014
07/12/2014
06/12/2014
05/12/2014;0,43;5;30;51;17;10;6;
04/12/2014;0,51;4;31;43;15;8;5;
03/12/2014;0,43;4;34;43;20;11;5;
02/12/2014;0,25;5;7;26;14;8;4;
01/12/2014;0,21;6;7;26;15;9;4;
30/11/2014;0,21;6;3;15;14;6;4;
29/11/2014;0,28;7;9;37;17;8;4;
28/11/2014;0,22;6;5;26;9;5;4;
27/11/2014;0,27;6;13;36;16;9;5;
26/11/2014;0,44;5;50;57;22;15;5;
25/11/2014;0,29;5;36;36;21;10;5;
24/11/2014;0,26;7;11;36;16;8;5;
23/11/2014;0,33;9;10;30;33;14;5;
22/11/2014;0,24;7;7;32;24;13;5;
21/11/2014;0,23;7;6;27;20;14;5;
20/11/2014;0,32;6;19;50;16;11;6;
19/11/2014;0,34;4;38;52;20;12;6;
18/11/2014;0,22;5;10;31;12;7;5;
17/11/2014;0,24;4;9;30;11;5;5;
16/11/2014;0,18;5;2;14;;3;5;
15/11/2014;0,16;5;3;13;;2;4;
14/11/2014;0,2;5;12;28;12;5;4;
13/11/2014;0,17;7;6;21;7;3;5;
12/11/2014;0,34;4;21;34;12;6;5;
11/11/2014;0,21;5;8;25;10;5;5;
10/11/2014;0,24;4;16;28;13;9;6;
09/11/2014;0,26;5;5;22;9;5;8;
08/11/2014;0,2;5;7;23;12;6;7;
07/11/2014;0,24;5;19;36;19;9;7;
06/11/2014;0,2;4;16;33;10;6;5;
05/11/2014;0,22;5;8;32;9;5;6;
04/11/2014;0,18;5;10;36;10;5;7;
03/11/2014;0,19;6;8;25;13;6;5;
02/11/2014;0,34;8;7;27;16;10;5;
01/11/2014;0,21;9;5;16;25;12;4;
31/10/2014;0,21;7;9;31;25;16;5;
30/10/2014;0,24;7;18;43;31;18;6;
29/10/2014;0,28;7;18;42;30;18;6;
28/10/2014;0,21;8;15;34;23;15;6;
27/10/2014;0,39;9;42;54;46;22;9;
26/10/2014;0,52;10;26;46;48;23;8;
25/10/2014;0,83;13;34;45;64;31;9;
24/10/2014;0,57;9;47;69;49;22;13;
23/10/2014;0,45;4;51;66;38;18;10;
22/10/2014;0,24;6;25;42;30;11;6;
21/10/2014;0,56;10;43;35;38;18;7;
20/10/2014;0,78;15;29;37;53;24;6;
19/10/2014;0,46;19;17;17;33;15;13;
18/10/2014;0,25;16;17;14;17;7;6;
17/10/2014;0,31;14;10;14;9;5;5;0,33
16/10/2014;0,26;14;8;11;;6;4;
15/10/2014;0,19;13;8;10;11;2;5;
14/10/2014;0,38;15;19;27;16;9;5;
13/10/2014
12/10/2014
11/10/2014
10/10/2014
09/10/2014
08/10/2014;0,29;8;10;24;16;5;5;
07/10/2014;0,53;8;36;47;23;10;6;
