Date;Benceno (µg/m3);CO (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3);CO 8h (mg/m3)
31/12/2014;1,11;0,44;0,81;53;60;141;8;3,8;29;17;4,74;
30/12/2014;0,71;0,38;0,57;41;49;112;13;2,77;23;12;4,02;
29/12/2014;0,55;0,32;0,29;18;33;61;34;1,51;17;10;2,09;
28/12/2014;0,23;0,19;0;3;8;12;77;0,03;12;6;0,34;
27/12/2014;0,14;0,18;0,07;4;19;26;57;0,7;21;6;1,04;
26/12/2014;0,44;0,31;0,47;22;53;86;13;2,4;17;7;3,18;
25/12/2014;0,59;0,35;0,35;16;40;64;21;1,97;17;8;2,6;
24/12/2014;0,71;0,38;0,79;46;46;117;6;3,78;22;11;4,6;
23/12/2014;0,87;0,41;1,44;67;54;157;6;5,84;22;10;7,44;
22/12/2014;0,77;0,4;1,19;62;52;148;7;5,02;22;9;7,01;
21/12/2014;0,36;0,26;0,18;10;28;43;36;1,25;12;5;1,81;
20/12/2014;0,49;0,35;0,53;26;49;90;9;2,72;21;9;3,26;
19/12/2014;0,38;0,29;0,61;28;49;92;15;2,73;20;8;3,9;
18/12/2014;0,4;0,31;0,69;27;44;85;29;3,17;20;8;5,62;
17/12/2014;0,21;0,22;0,26;9;35;49;45;1,53;13;7;3,17;
16/12/2014;0,31;0,26;0,19;8;35;46;44;1,28;14;7;1,93;
15/12/2014;0,64;;0,74;44;49;116;17;3,48;25;11;4,73;
14/12/2014;0,46;;0,36;23;39;74;19;1,97;20;7;2,51;
13/12/2014;0,46;;0,44;22;46;80;27;2,25;16;7;2,68;
12/12/2014;0,32;0,23;0,44;14;40;61;36;2,25;14;7;2,68;
11/12/2014;0,47;0,28;0,71;29;47;91;31;3,11;25;8;4,86;
10/12/2014;0,56;0,38;1,11;48;61;135;13;5,02;24;12;6,96;
09/12/2014;0,41;0,32;0,24;10;35;51;45;1,32;14;7;2,02;
08/12/2014;0,25;0,24;0,2;11;31;47;46;1,27;15;7;1,78;
07/12/2014;0,55;0,35;0,47;18;50;78;23;2,37;17;8;3,63;
06/12/2014;0,34;0,27;0,07;4;20;26;62;0,63;11;6;0,96;
05/12/2014;0,49;0,29;0,41;13;45;65;26;2,03;10;;4,56;
