Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3)
31/12/2014;12;35;53;13;16;5;9
30/12/2014;7;23;34;26;14;5;6
29/12/2014;5;19;27;37;14;5;11
28/12/2014;4;12;19;70;17;5;16
27/12/2014;2;6;10;64;20;4;5
26/12/2014;3;8;13;47;6;4;5
25/12/2014;3;9;13;46;13;4;5
24/12/2014;4;14;20;26;11;4;6
23/12/2014;17;30;56;20;15;5;9
22/12/2014;25;37;76;7;19;5;7
21/12/2014;3;13;17;37;11;4;6
20/12/2014;3;8;12;34;9;4;5
19/12/2014;3;8;12;39;11;4;5
18/12/2014;3;13;18;49;14;3;5
17/12/2014;3;10;14;64;10;3;5
16/12/2014;3;11;16;57;13;3;7
15/12/2014;3;11;16;34;11;3;5
14/12/2014;3;10;14;31;11;3;5
13/12/2014;3;10;14;41;13;3;5
12/12/2014;2;6;9;53;6;3;5
11/12/2014;3;12;17;43;16;3;5
10/12/2014;3;9;13;46;8;3;5
09/12/2014;5;17;24;56;13;4;8
08/12/2014;3;8;13;62;10;3;7
07/12/2014;2;7;11;57;8;3;5
06/12/2014;4;12;18;64;16;4;8
05/12/2014;3;11;16;44;9;3;5
04/12/2014;4;15;21;20;8;3;5
03/12/2014;4;19;26;12;8;3;8
02/12/2014;6;20;28;32;14;4;9
01/12/2014;6;19;28;39;21;4;12
30/11/2014;4;15;21;34;21;4;10
29/11/2014;3;13;18;23;14;3;6
28/11/2014;2;7;11;55;8;3;5
27/11/2014;2;9;13;37;8;3;5
26/11/2014;4;22;28;18;14;3;6
25/11/2014;6;17;26;20;10;3;6
24/11/2014;4;16;22;21;12;3;6
23/11/2014;3;14;18;25;36;3;6
22/11/2014;2;7;10;40;24;3;5
21/11/2014;2;7;11;47;19;3;6
20/11/2014;3;8;12;46;13;3;6
19/11/2014;6;24;33;32;17;3;6
18/11/2014;2;6;10;49;8;2;5
17/11/2014;2;8;11;56;8;2;5
16/11/2014;2;6;10;51;5;2;5
15/11/2014;2;6;9;53;6;2;5
14/11/2014;3;8;13;52;8;3;5
13/11/2014;2;6;9;55;6;2;5
12/11/2014;3;11;16;45;9;2;6
11/11/2014;3;8;12;49;6;2;5
10/11/2014;2;6;10;50;8;2;5
09/11/2014;2;7;10;53;9;2;6
08/11/2014;3;10;15;48;10;3;5
07/11/2014;3;13;18;47;14;3;5
06/11/2014;3;7;10;41;7;3;5
05/11/2014;3;8;12;51;6;2;5
04/11/2014;3;9;13;52;6;2;7
03/11/2014;2;7;10;56;6;2;5
02/11/2014;3;9;14;37;11;3;6
01/11/2014;3;10;15;45;19;3;6
31/10/2014;3;8;12;48;23;4;5
30/10/2014;3;19;24;43;29;4;6
29/10/2014;3;16;21;45;24;3;6
28/10/2014;3;13;17;45;25;3;6
27/10/2014;8;30;42;26;30;3;7
26/10/2014;6;28;38;22;34;4;12
25/10/2014;9;28;42;21;37;4;10
24/10/2014;10;39;55;18;35;4;10
23/10/2014;17;40;65;17;28;4;10
22/10/2014;4;15;21;39;22;3;7
21/10/2014;5;18;26;35;22;3;7
20/10/2014;7;22;33;16;23;4;7
19/10/2014;4;13;19;34;20;4;7
18/10/2014;3;9;13;36;12;5;5
17/10/2014;2;8;12;37;5;5;5
16/10/2014;6;13;22;25;8;5;5
15/10/2014;3;6;10;41;6;4;5
14/10/2014;3;10;14;45;8;3;6
13/10/2014;5;18;25;27;10;5;7
12/10/2014;2;7;10;39;4;4;5
11/10/2014;6;18;28;15;13;5;6
10/10/2014;6;14;24;27;18;5;6
09/10/2014;4;12;18;32;14;5;7
08/10/2014;3;10;15;32;11;5;5
07/10/2014;5;18;25;33;13;4;7
06/10/2014;4;14;20;35;11;3;6
05/10/2014;3;9;13;34;10;4;5
04/10/2014;3;14;19;46;20;5;6
03/10/2014;9;25;38;38;24;4;7
02/10/2014;4;14;20;35;16;4;6
01/10/2014;4;15;21;37;15;4;7
30/09/2014;3;14;20;41;14;4;6
29/09/2014;3;14;19;42;19;4;6
28/09/2014;3;12;16;57;24;4;7
27/09/2014;4;17;23;44;26;4;7
26/09/2014;6;19;28;34;24;4;9
25/09/2014;3;12;18;37;26;4;7
24/09/2014;3;11;16;52;36;3;9
23/09/2014;4;13;19;36;23;4;7
22/09/2014;5;21;28;25;18;4;6
21/09/2014;3;12;17;42;13;5;7
20/09/2014;3;11;16;44;10;6;6
19/09/2014;3;11;16;48;9;6;5
18/09/2014;3;8;12;52;8;5;5
17/09/2014;3;10;14;48;9;6;5
16/09/2014;3;21;26;41;16;6;6
15/09/2014;4;17;23;41;11;6;7
14/09/2014;4;16;22;51;17;6;12
13/09/2014;5;21;28;43;24;6;13
12/09/2014;4;21;28;46;29;6;8
11/09/2014;3;15;20;51;24;6;5
10/09/2014;10;27;42;37;26;6;7
09/09/2014;7;18;29;37;22;5;6
08/09/2014;7;19;30;39;17;5;6
07/09/2014;3;18;23;58;24;6;7
06/09/2014;4;17;24;49;21;6;7
05/09/2014;4;15;21;56;17;5;8
04/09/2014;4;13;19;57;17;5;7
03/09/2014;6;20;29;50;21;5;8
02/09/2014;8;21;33;44;19;6;7
01/09/2014;4;14;20;43;16;6;6
31/08/2014;3;10;14;47;16;5;6
30/08/2014;3;10;15;42;13;5;7
29/08/2014;4;10;15;38;9;5;5
28/08/2014;3;12;17;38;10;5;5
27/08/2014;4;10;16;34;9;5;6
26/08/2014;8;16;29;33;18;5;8
25/08/2014;5;20;29;44;14;5;12
24/08/2014;3;13;19;47;9;5;10
23/08/2014;3;9;13;51;6;5;7
22/08/2014;3;10;15;44;7;5;6
21/08/2014;4;13;19;47;8;5;6
20/08/2014;3;12;17;45;8;5;6
19/08/2014;5;14;22;48;9;4;8
18/08/2014;3;14;19;45;12;4;8
17/08/2014;4;11;18;53;8;4;10
16/08/2014;3;8;13;56;7;5;7
15/08/2014;3;7;11;64;8;5;5
14/08/2014;3;8;13;57;10;5;5
13/08/2014;3;8;12;66;10;5;5
12/08/2014;4;11;17;55;11;5;7
11/08/2014;3;11;16;51;9;5;6
10/08/2014;3;9;14;56;12;5;6
09/08/2014;3;10;15;54;11;5;7
08/08/2014;4;12;17;48;9;5;7
07/08/2014;4;15;21;48;11;5;9
06/08/2014;4;13;19;55;13;5;7
05/08/2014;4;13;19;49;11;5;6
04/08/2014;4;12;17;49;10;5;5
03/08/2014;3;8;13;51;9;5;6
02/08/2014;3;8;12;61;10;5;5
01/08/2014;3;11;16;57;11;5;5
31/07/2014;4;12;17;59;12;5;6
30/07/2014;4;11;17;55;11;5;5
29/07/2014;3;11;16;58;12;5;6
28/07/2014;4;13;20;70;14;5;7
27/07/2014;3;13;18;88;18;5;7
26/07/2014;3;9;13;94;18;5;4
25/07/2014;3;9;13;93;16;4;4
24/07/2014;3;11;15;85;17;4;5
23/07/2014;5;16;23;75;18;4;5
22/07/2014;5;12;20;43;12;4;6
21/07/2014;4;9;15;48;11;4;5
20/07/2014;3;6;10;56;11;4;5
19/07/2014;3;9;14;53;12;4;5
18/07/2014;4;15;21;63;23;4;5
17/07/2014;3;12;17;80;24;4;5
16/07/2014;4;15;21;64;21;4;6
15/07/2014;5;12;19;38;14;4;6
14/07/2014;3;9;15;35;8;4;5
13/07/2014;3;9;14;42;14;4;6
12/07/2014;3;7;12;37;9;4;6
11/07/2014;3;9;14;35;9;4;5
10/07/2014;4;9;15;45;15;4;8
09/07/2014;4;10;17;49;15;4;11
08/07/2014;3;8;13;43;12;4;5
07/07/2014;3;9;14;43;12;4;5
06/07/2014;3;10;14;38;12;4;8
05/07/2014;4;17;24;40;20;5;9
04/07/2014;3;13;18;63;20;5;5
03/07/2014;4;13;19;42;15;4;7
02/07/2014;3;11;17;33;11;4;5
01/07/2014;3;10;15;42;11;5;4
30/06/2014;5;14;21;47;15;6;8
29/06/2014;2;6;10;47;12;6;4
28/06/2014;2;8;12;53;11;6;5
27/06/2014;5;14;22;55;16;6;6
26/06/2014;3;11;16;53;;6;5
25/06/2014;4;11;17;76;;6;4
24/06/2014;3;12;16;68;;6;5
23/06/2014;4;14;20;58;;5;6
22/06/2014;3;11;15;68;;6;6
21/06/2014;3;13;18;66;;5;5
20/06/2014;8;29;40;65;31;6;6
