Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2014;36;50;105;14;27;20
30/12/2014;45;43;113;19;24;16
29/12/2014;48;40;113;28;17;
28/12/2014;2;4;8;77;11;3
27/12/2014;2;13;16;60;20;6
26/12/2014;10;42;58;19;12;7
25/12/2014;9;30;44;22;19;12
24/12/2014;31;40;88;11;21;
23/12/2014;58;44;134;16;21;12
22/12/2014;61;43;137;12;21;12
21/12/2014;15;25;48;33;21;6
20/12/2014;19;41;70;16;28;11
19/12/2014;27;39;80;22;;10
18/12/2014;30;36;82;35;;11
17/12/2014;7;23;33;55;13;5
16/12/2014;3;16;21;59;12;4
15/12/2014;45;48;117;16;20;10
14/12/2014;11;30;47;22;19;11
13/12/2014;12;26;45;41;14;
12/12/2014;6;21;30;48;10;
11/12/2014;40;43;104;32;26;11
10/12/2014;17;43;68;25;22;10
09/12/2014;8;25;38;50;14;6
08/12/2014;4;17;23;54;13;4
07/12/2014;8;32;44;31;12;5
06/12/2014;2;10;14;67;10;3
05/12/2014;21;38;70;22;17;9
04/12/2014;22;34;67;11;18;8
03/12/2014;18;27;55;15;16;7
02/12/2014;6;18;28;33;18;8
01/12/2014;3;9;14;52;23;7
30/11/2014;2;7;11;48;20;6
29/11/2014;7;26;37;30;17;7
28/11/2014;3;12;16;62;10;4
27/11/2014;5;17;24;43;13;6
26/11/2014;27;38;80;16;22;12
25/11/2014;17;27;52;24;20;8
24/11/2014;10;30;45;22;16;7
23/11/2014;5;22;30;25;38;15
22/11/2014;3;17;22;43;30;14
21/11/2014;4;17;23;53;27;14
20/11/2014;5;27;35;45;19;10
19/11/2014;28;37;79;31;23;12
18/11/2014;13;30;51;39;18;8
17/11/2014;11;34;51;41;20;7
16/11/2014;2;12;16;60;8;3
15/11/2014;2;7;11;64;4;2
14/11/2014;7;17;28;58;11;3
13/11/2014;2;10;14;61;7;2
12/11/2014;19;30;59;42;13;6
11/11/2014;4;16;21;51;9;4
10/11/2014;14;20;42;45;14;7
09/11/2014;4;17;23;49;9;5
08/11/2014;4;17;24;52;14;5
07/11/2014;19;30;60;41;19;9
06/11/2014;13;32;51;29;15;7
05/11/2014;6;34;42;38;8;
04/11/2014;9;33;47;35;12;5
03/11/2014;5;18;25;51;13;5
02/11/2014;5;22;29;32;20;8
01/11/2014;4;17;23;44;29;13
31/10/2014;5;26;35;37;32;15
30/10/2014;23;45;80;24;37;19
29/10/2014;10;40;55;27;36;18
28/10/2014;14;31;54;38;36;17
27/10/2014;33;44;94;22;;13
26/10/2014;15;33;57;26;;19
25/10/2014;21;35;67;24;46;18
24/10/2014;29;51;95;17;42;17
23/10/2014;46;54;124;17;40;15
22/10/2014;20;30;61;35;31;8
21/10/2014;26;22;61;40;34;13
20/10/2014;40;36;98;23;47;18
19/10/2014;8;25;37;38;30;12
18/10/2014;5;22;29;47;18;10
17/10/2014;5;21;29;47;15;6
16/10/2014;14;17;39;40;13;5
15/10/2014;3;11;16;54;9;2
14/10/2014;12;31;49;39;18;7
13/10/2014;28;31;74;33;23;8
12/10/2014;3;18;24;48;8;3
11/10/2014;8;23;35;25;21;10
10/10/2014;25;26;65;30;32;13
09/10/2014;9;28;42;37;22;7
08/10/2014;4;15;21;40;12;4
07/10/2014;15;30;54;34;24;7
06/10/2014;28;36;79;28;24;8
05/10/2014;3;16;21;41;15;5
04/10/2014;7;21;32;52;30;16
03/10/2014;21;37;69;38;35;15
02/10/2014;16;29;54;35;24;11
01/10/2014;19;24;53;42;24;11
30/09/2014;17;33;59;38;25;12
29/09/2014;12;25;43;48;32;16
28/09/2014;2;18;22;64;28;17
27/09/2014;7;22;33;56;29;18
26/09/2014;18;27;55;37;39;20
25/09/2014;28;33;76;24;53;27
24/09/2014;18;30;58;32;60;31
23/09/2014;19;25;54;31;42;17
22/09/2014;20;35;67;14;36;12
21/09/2014;7;18;29;39;27;8
20/09/2014;7;24;35;36;21;5
19/09/2014;4;19;25;56;20;5
18/09/2014;12;33;51;39;28;11
17/09/2014;3;16;21;51;24;5
16/09/2014;6;22;31;49;33;10
15/09/2014;10;36;51;33;31;11
14/09/2014;3;22;27;54;37;18
13/09/2014;5;26;34;48;39;20
12/09/2014;15;26;48;49;49;23
11/09/2014;8;23;35;57;43;20
10/09/2014;12;25;44;56;40;16
09/09/2014;14;27;49;38;38;16
08/09/2014;15;25;48;34;30;11
07/09/2014;3;19;24;42;35;15
06/09/2014;4;22;28;53;29;14
05/09/2014;10;26;41;49;29;12
04/09/2014;13;26;46;52;31;12
03/09/2014;11;30;47;48;32;11
02/09/2014;11;22;39;46;26;9
01/09/2014;10;18;33;46;21;7
