Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Benceno (µg/m3);M-P-XILENO (µg/m3);Tolueno (µg/m3);O3 (µg/m3)
31/12/2015;20;46;76;11;5;;;;
30/12/2015;2;6;10;4;4;;;;
29/12/2015;3;7;11;3;4;;;;
28/12/2015;3;9;14;11;4;;;;
27/12/2015;3;10;14;5;6;;;;
26/12/2015;3;10;15;5;5;;;;
25/12/2015;2;6;10;2;4;;;;
24/12/2015;2;7;11;5;4;;;;
23/12/2015;5;24;31;6;5;;;;
22/12/2015;3;7;10;4;4;;;;
21/12/2015;7;23;33;12;5;;;;
20/12/2015;3;23;28;15;4;;;;
19/12/2015;2;7;11;24;3;;;;
18/12/2015;3;10;15;16;4;;;;
17/12/2015;2;8;12;28;4;;;;
16/12/2015;3;11;16;28;3;;;;
15/12/2015;3;7;10;21;3;;;;
14/12/2015;3;7;11;14;3;;;;
13/12/2015;3;17;22;9;4;;;;
12/12/2015;8;36;49;12;5;;;;
11/12/2015;26;38;78;19;5;;;;
10/12/2015;19;43;72;16;7;;;;
09/12/2015;33;49;99;19;6;;;;
08/12/2015;4;19;25;12;6;;;;
07/12/2015;2;8;12;16;6;;;;
06/12/2015;3;15;20;21;6;;;;
05/12/2015;33;44;94;29;9;;;;
04/12/2015;52;49;130;24;8;;;;
03/12/2015;3;12;17;12;5;;;;
02/12/2015;61;65;158;27;9;;;;
01/12/2015;57;50;136;29;10;;;;
30/11/2015;55;50;135;36;15;;;;
29/11/2015;7;22;33;12;7;;;;
28/11/2015;2;14;18;8;5;;;;
27/11/2015;5;25;33;5;5;;;;
26/11/2015;2;9;13;19;5;;;;
25/11/2015;3;14;19;14;29;;;;
24/11/2015;10;30;46;7;9;;;;
23/11/2015;37;41;99;11;5;;;;
22/11/2015;3;22;27;5;5;;;;
21/11/2015;2;7;10;14;4;;;;
20/11/2015;11;24;41;27;5;;;;
19/11/2015;23;35;70;24;11;;;;
