Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2015;15;17;39;29;33;10;3
30/12/2015;7;6;17;66;68;8;3
29/12/2015;4;8;14;63;62;6;3
28/12/2015;19;9;37;60;59;16;3
27/12/2015;13;8;28;51;52;7;3
26/12/2015;11;7;23;52;53;7;3
25/12/2015;7;5;16;65;67;5;3
24/12/2015;7;7;18;60;59;8;3
23/12/2015;4;13;19;57;59;9;3
22/12/2015;1;6;8;76;74;7;4
21/12/2015;2;11;14;48;40;7;4
20/12/2015;5;20;28;31;35;26;4
19/12/2015;2;9;12;55;58;31;4
18/12/2015;6;9;18;55;56;25;4
17/12/2015;6;9;18;55;54;38;4
16/12/2015;4;8;15;55;55;36;4
15/12/2015;4;7;13;55;56;29;4
14/12/2015;5;7;15;61;60;16;4
13/12/2015;13;10;30;51;48;8;4
12/12/2015;11;12;28;33;30;7;4
11/12/2015;14;17;37;19;18;11;4
10/12/2015;19;24;54;14;14;17;4
09/12/2015;15;23;45;18;22;15;4
08/12/2015;7;13;24;49;54;16;4
07/12/2015;5;8;15;60;59;17;4
06/12/2015;3;9;13;51;41;21;4
05/12/2015;11;23;40;14;14;17;4
04/12/2015;30;29;75;12;22;24;4
03/12/2015;9;10;23;56;48;12;4
02/12/2015;20;25;56;17;15;14;4
01/12/2015;26;24;63;9;9;15;4
30/11/2015;27;24;65;9;10;15;4
29/11/2015;13;12;32;28;32;9;4
28/11/2015;9;13;27;46;49;9;4
27/11/2015;10;19;35;37;37;7;3
26/11/2015;9;11;24;65;69;25;3
25/11/2015;9;5;18;70;66;14;3
24/11/2015;10;15;31;33;26;7;3
23/11/2015;11;26;42;17;19;9;3
22/11/2015;3;10;15;46;51;5;3
21/11/2015;2;7;10;57;52;15;4
20/11/2015;4;13;19;17;14;24;4
19/11/2015;10;21;36;9;9;20;4
18/11/2015;13;19;39;11;13;14;4
17/11/2015;3;13;18;22;22;12;4
16/11/2015;13;25;45;9;8;20;5
15/11/2015;7;17;27;14;15;10;4
14/11/2015;6;15;24;20;22;12;4
13/11/2015;6;24;34;13;11;15;5
12/11/2015;11;30;47;14;16;24;6
11/11/2015;9;36;49;12;13;23;6
10/11/2015;15;33;56;10;9;24;8
09/11/2015;9;27;40;19;22;18;3
08/11/2015;2;12;15;36;33;9;3
07/11/2015;4;16;22;37;37;9;4
06/11/2015;4;16;23;38;41;10;3
05/11/2015;2;7;11;61;62;4;3
04/11/2015;2;9;13;52;45;6;3
03/11/2015;3;14;18;57;65;6;4
02/11/2015;3;16;21;62;58;12;4
01/11/2015;2;13;17;57;57;14;4
31/10/2015;3;12;16;57;57;11;4
30/10/2015;3;12;16;54;56;9;4
29/10/2015;2;7;10;64;61;3;4
28/10/2015;4;15;21;56;56;5;4
27/10/2015;4;21;27;48;48;10;4
26/10/2015;2;10;14;56;51;12;4
25/10/2015;4;17;23;30;28;15;4
24/10/2015;8;26;38;26;27;19;5
23/10/2015;9;25;38;23;21;19;5
22/10/2015;6;19;28;33;34;15;5
21/10/2015;6;21;30;23;28;14;4
20/10/2015;3;16;21;45;42;14;4
19/10/2015;24;25;62;8;8;20;5
18/10/2015;3;18;22;42;46;18;4
17/10/2015;4;20;26;37;36;15;4
16/10/2015;5;22;30;29;32;13;5
15/10/2015;4;18;23;36;37;10;4
14/10/2015;4;19;25;41;44;16;4
13/10/2015;3;15;19;45;44;18;4
12/10/2015;2;13;16;31;31;17;4
11/10/2015;3;18;22;46;52;21;4
10/10/2015;2;15;19;46;43;16;4
09/10/2015;6;20;29;29;33;14;5
08/10/2015;4;16;22;33;34;12;5
07/10/2015;4;12;18;38;45;13;5
06/10/2015;3;9;13;62;63;9;5
05/10/2015;2;5;9;66;61;15;5
04/10/2015;2;11;15;45;43;12;5
03/10/2015;2;10;14;52;57;14;5
02/10/2015;2;11;15;63;64;13;5
01/10/2015;5;15;23;57;50;20;6
30/09/2015;6;25;34;29;35;24;6
29/09/2015;4;17;23;40;38;20;5
28/09/2015;4;16;21;42;45;17;5
27/09/2015;3;11;15;43;41;12;5
26/09/2015;4;14;19;38;38;15;5
25/09/2015;5;20;28;34;30;16;5
24/09/2015;5;18;25;29;31;13;5
23/09/2015;3;16;20;41;46;8;5
22/09/2015;2;7;11;62;65;9;5
21/09/2015;4;17;24;51;50;15;6
20/09/2015;3;14;18;47;56;11;6
19/09/2015;3;10;15;49;49;9;5
18/09/2015;3;14;19;45;44;11;5
17/09/2015;2;9;13;55;59;9;4
16/09/2015;2;8;11;62;64;10;4
15/09/2015;3;11;15;47;43;10;5
14/09/2015;3;12;16;45;48;14;5
13/09/2015;3;9;14;36;35;18;5
12/09/2015;3;12;16;45;53;14;5
11/09/2015;4;13;19;54;48;16;5
10/09/2015;3;15;20;48;51;18;5
09/09/2015;4;18;24;50;47;19;5
08/09/2015;4;18;24;46;47;15;5
07/09/2015;4;14;20;41;42;13;5
06/09/2015;3;9;14;42;42;10;4
05/09/2015;3;9;15;41;42;9;5
04/09/2015;4;14;19;42;43;10;5
03/09/2015;4;11;16;47;51;10;5
02/09/2015;4;13;19;45;42;14;5
01/09/2015;3;12;17;50;55;11;5
31/08/2015;4;13;18;58;57;26;5
30/08/2015;4;15;20;57;60;28;5
29/08/2015;3;11;17;47;46;19;5
28/08/2015;5;19;27;33;38;17;5
27/08/2015;3;14;19;45;41;12;6
26/08/2015;5;24;31;38;39;15;8
25/08/2015;3;12;17;43;45;11;6
24/08/2015;3;10;16;50;54;29;6
23/08/2015;3;6;10;57;57;6;6
22/08/2015;4;14;19;47;50;26;6
21/08/2015;4;17;22;57;;25;7
20/08/2015;5;21;29;50;51;16;8
19/08/2015;4;14;20;43;46;11;6
18/08/2015;4;12;18;50;51;14;6
17/08/2015;4;11;17;48;46;16;5
16/08/2015;4;11;18;30;29;12;7
15/08/2015;3;7;12;35;39;11;5
14/08/2015;3;6;11;63;67;11;5
13/08/2015;4;10;15;54;52;12;5
12/08/2015;5;20;28;51;54;32;5
11/08/2015;6;19;29;56;55;32;5
10/08/2015;4;14;20;60;58;16;5
09/08/2015;3;8;13;56;56;12;5
08/08/2015;3;9;13;50;52;11;6
07/08/2015;4;12;17;43;46;13;5
06/08/2015;4;13;19;59;59;21;5
05/08/2015;4;13;20;48;47;18;5
04/08/2015;4;16;22;33;37;12;5
03/08/2015;4;17;23;49;56;20;5
02/08/2015;3;13;17;73;81;15;5
01/08/2015;3;9;13;65;73;16;5
31/07/2015;3;11;16;53;51;12;5
30/07/2015;4;12;19;40;40;14;5
29/07/2015;4;16;22;35;36;13;5
28/07/2015;4;12;18;59;62;13;6
27/07/2015;3;10;15;44;43;17;5
26/07/2015;3;9;14;56;57;12;6
25/07/2015;3;6;11;67;71;15;5
24/07/2015;5;13;20;43;39;13;5
23/07/2015;5;15;22;36;37;15;5
22/07/2015;4;12;18;26;25;17;5
21/07/2015;5;15;23;23;25;19;5
20/07/2015;4;14;21;49;49;17;5
19/07/2015;4;11;16;39;37;18;5
18/07/2015;4;13;19;35;38;20;5
17/07/2015;5;20;27;42;39;24;6
16/07/2015;5;19;26;37;40;20;5
15/07/2015;4;12;18;46;47;21;5
14/07/2015;4;13;20;46;43;17;5
13/07/2015;5;11;19;39;40;12;5
12/07/2015;3;8;12;43;46;10;4
11/07/2015;2;8;12;58;63;19;5
