Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3);O3 (µg/m3)
31/12/2015;0,25;0,24;15;37;60;12;8;
30/12/2015;0,19;0,18;4;11;16;6;4;
29/12/2015;0,18;0,19;4;16;23;6;4;
28/12/2015;0,2;0,19;5;22;29;14;5;
27/12/2015;0,19;0,2;5;19;26;5;6;
26/12/2015;0,18;0,19;5;20;27;4;5;
25/12/2015;0,19;0,17;4;14;19;3;4;
24/12/2015;0,17;0,18;4;12;18;5;4;
23/12/2015;0,25;0,25;11;37;53;10;6;
22/12/2015;0,19;0,19;4;15;20;4;4;
21/12/2015;0,24;0,25;13;28;47;9;7;
20/12/2015;0,26;0,24;4;26;32;24;5;
19/12/2015;0,17;0,17;4;14;19;32;4;
18/12/2015;0,22;0,21;5;17;23;24;4;
17/12/2015;0,16;0,19;4;14;20;37;4;
16/12/2015;0,2;0,18;6;25;33;38;4;
15/12/2015;0,18;0,18;4;10;16;29;4;
14/12/2015;0,19;0,22;4;11;17;13;4;
13/12/2015;0,29;0,27;5;21;29;6;5;
12/12/2015;0,24;0,24;8;25;36;6;6;
11/12/2015;0,25;0,26;15;30;52;11;7;
10/12/2015;0,29;0,29;37;48;103;20;9;
09/12/2015;0,28;0,28;32;47;95;17;7;
08/12/2015;0,23;0,23;5;25;33;13;5;
07/12/2015;0,21;0,2;4;15;21;13;4;
06/12/2015;0,22;0,26;5;17;25;18;5;
05/12/2015;0,41;0,41;33;42;92;28;10;
04/12/2015;0,4;0,35;54;55;137;31;7;
03/12/2015;0,23;0,27;6;23;32;11;7;
02/12/2015;0,59;0,6;97;67;215;39;16;
01/12/2015;0,43;0,44;71;47;156;34;13;
30/11/2015;0,39;0,37;54;44;126;28;15;
29/11/2015;0,27;0,25;11;26;42;15;11;
28/11/2015;0,23;0,22;8;28;39;14;8;
27/11/2015;0,26;0,26;15;38;61;14;7;
26/11/2015;0,22;0,21;4;18;23;36;6;
25/11/2015;0,22;0,22;4;11;17;27;7;
24/11/2015;0,36;0,41;35;49;102;16;11;
23/11/2015;0,43;0,38;43;54;119;18;9;
22/11/2015;0,22;0,22;5;23;30;6;7;
21/11/2015;0,19;0,18;4;10;15;22;6;
20/11/2015;0,24;0,27;17;26;51;34;10;
19/11/2015;0,37;0,37;29;37;82;35;11;
18/11/2015;0,34;0,32;47;41;113;34;14;
17/11/2015;0,27;0,28;20;35;64;19;9;
16/11/2015;0,37;0,37;39;43;102;34;17;
15/11/2015;0,31;0,31;24;36;73;19;14;
14/11/2015;0,3;0,28;15;27;49;13;6;
13/11/2015;0,33;0,35;32;39;88;26;13;
12/11/2015;0,29;0,26;23;40;74;27;9;
11/11/2015;0,29;0,29;13;37;57;20;11;
10/11/2015;0,27;0,28;23;34;68;29;13;
09/11/2015;0,38;0,37;28;46;88;30;8;
08/11/2015;0,21;0,23;5;24;32;10;7;
07/11/2015;0,26;0,26;12;30;47;13;9;
06/11/2015;0,28;0,24;20;34;64;15;6;
05/11/2015;0,18;0,17;4;14;20;4;4;
04/11/2015;0,41;0,43;8;23;36;10;5;
03/11/2015;0,24;0,21;8;27;39;8;4;
02/11/2015;0,27;0,28;7;33;42;14;6;
01/11/2015;0,23;0,22;4;22;28;15;10;
31/10/2015;0,22;0,22;5;24;32;12;5;
30/10/2015;0,19;0,19;5;20;28;9;4;
29/10/2015;0,21;0,25;5;15;22;4;4;
28/10/2015;0,28;;10;24;39;8;4;
27/10/2015;0,22;0,21;8;24;36;;4;
26/10/2015;0,19;0,22;9;29;42;15;6;
25/10/2015;0,34;0,33;8;24;36;14;4;
24/10/2015;0,37;0,39;17;34;60;22;7;
23/10/2015;0,35;0,33;31;49;95;27;9;
22/10/2015;0,35;0,36;32;42;91;29;7;
21/10/2015;0,41;0,39;29;39;84;23;5;
20/10/2015;0,29;0,29;6;16;25;17;4;
19/10/2015;0,5;0,57;44;36;103;35;5;
18/10/2015;0,39;0,35;10;26;41;27;5;
17/10/2015;0,39;0,37;20;39;69;29;11;
16/10/2015;0,31;0,31;26;47;86;21;9;
15/10/2015;0,3;0,28;20;44;74;16;6;
14/10/2015;0,24;0,24;9;32;46;18;4;
13/10/2015;0,25;0,25;5;16;24;23;4;
12/10/2015;0,27;0,27;6;22;32;24;5;
11/10/2015;0,29;0,29;6;29;38;32;9;
10/10/2015;0,29;0,29;12;43;60;22;11;
09/10/2015;0,25;0,24;26;42;81;24;7;
08/10/2015;0,2;0,19;18;30;57;15;4;
07/10/2015;0,22;0,21;14;29;51;18;6;
06/10/2015;0,15;0,15;5;14;22;13;4;
05/10/2015;0,18;0,18;6;14;22;13;3;
04/10/2015;0,21;0,23;8;27;38;17;7;
03/10/2015;0,24;0,22;7;29;39;20;6;
02/10/2015;0,34;0,34;7;34;44;18;5;
01/10/2015;0,27;0,28;14;34;55;36;7;
30/09/2015;0,32;0,31;19;47;76;32;6;
29/09/2015;0,3;0,31;18;31;59;32;6;
28/09/2015;0,29;0,28;11;32;48;;5;
27/09/2015;0,26;0,27;7;21;32;;5;
26/09/2015;0,34;0,34;10;24;40;;4;
25/09/2015;0,3;0,3;19;29;58;;7;
24/09/2015;0,32;0,31;15;29;51;;4;
23/09/2015;0,26;0,25;7;28;38;13;3;
22/09/2015;0,23;0,23;5;17;25;19;5;
21/09/2015;0,25;0,25;15;24;47;21;10;
20/09/2015;0,24;0,24;7;24;35;15;10;
19/09/2015;0,25;0,25;8;21;32;13;8;
18/09/2015;0,22;0,22;12;26;43;15;10;
17/09/2015;0,21;0,21;6;21;29;12;5;
16/09/2015;0,16;0,15;5;11;19;12;5;
15/09/2015;0,18;0,2;15;23;45;15;7;
14/09/2015;0,21;0,2;5;18;26;20;5;
13/09/2015;0,3;0,31;7;17;27;12;5;
12/09/2015;0,26;0,25;5;16;23;17;5;
11/09/2015;0,37;0,38;16;25;49;21;7;
10/09/2015;0,28;0,28;11;30;47;21;6;
09/09/2015;0,27;0,27;13;33;53;30;10;
08/09/2015;0,25;0,24;12;34;53;23;11;
07/09/2015;0,21;0,22;10;24;39;17;6;
06/09/2015;0,22;0,23;6;17;26;11;6;
05/09/2015;0,22;0,21;5;17;25;9;5;
04/09/2015;0,24;0,26;5;18;25;8;5;
03/09/2015;0,29;0,28;8;26;38;14;5;
02/09/2015;0,36;0,35;9;20;34;16;5;
01/09/2015;0,29;0,3;5;20;27;17;5;
31/08/2015;0,33;0,33;8;21;33;38;5;
30/08/2015;0,35;0,35;5;18;25;55;5;
29/08/2015;0,28;0,28;7;14;24;34;5;
28/08/2015;0,35;0,36;11;17;34;24;6;
27/08/2015;0,32;0,31;9;21;35;;6;
26/08/2015;0,29;0,29;9;32;45;;11;
25/08/2015;0,22;0,21;7;19;28;14;9;
24/08/2015;0,26;0,26;5;14;22;15;6;
23/08/2015;0,2;0,2;4;9;15;5;5;
22/08/2015;0,35;0,37;5;15;21;28;5;
21/08/2015;0,36;0,34;8;25;37;34;7;
20/08/2015;0,27;0,26;10;26;41;24;11;
19/08/2015;0,26;0,29;10;19;34;12;8;
18/08/2015;0,28;0,26;8;18;30;18;6;
17/08/2015;0,27;0,25;7;15;26;17;6;
16/08/2015;0,2;0,21;6;14;24;15;7;
15/08/2015;0,24;0,23;5;11;19;12;6;
14/08/2015;0,19;0,19;5;11;18;14;7;
13/08/2015;0,27;0,27;6;16;25;17;7;
12/08/2015;0,34;0,34;11;31;48;34;6;
11/08/2015;0,34;0,35;11;24;41;34;7;
10/08/2015;0,32;0,29;9;20;33;19;7;
09/08/2015;0,2;0,19;5;11;19;13;7;
08/08/2015;0,2;0,2;5;13;20;11;7;
07/08/2015;0,29;0,29;7;17;27;11;5;
06/08/2015;0,33;0,34;12;20;38;25;7;
05/08/2015;0,3;0,29;9;21;35;20;6;
04/08/2015;0,24;0,24;6;20;28;10;5;
03/08/2015;0,25;0,26;8;21;32;18;6;
02/08/2015;0,22;0,22;5;20;27;17;6;
01/08/2015;0,18;0,16;5;15;22;12;6;
31/07/2015;0,19;0,2;5;19;26;14;5;
30/07/2015;0,24;0,24;9;21;34;13;5;
29/07/2015;0,27;0,26;8;20;32;15;6;
28/07/2015;0,24;0,23;8;21;32;15;7;
27/07/2015;0,19;0,19;5;14;22;19;6;
26/07/2015;0,21;0,21;6;18;27;17;9;
25/07/2015;0,17;0,17;5;10;17;13;7;
24/07/2015;0,27;0,28;13;22;42;;7;
23/07/2015;0,34;0,34;10;19;35;;5;
22/07/2015;0,26;0,26;6;18;26;19;4;
21/07/2015;0,28;0,28;11;21;39;25;4;
20/07/2015;0,32;0,32;10;21;37;18;5;
19/07/2015;0,29;0,3;9;15;28;20;4;
18/07/2015;0,28;0,27;7;16;27;22;4;
17/07/2015;0,29;0,3;10;22;37;21;5;
16/07/2015;0,3;0,29;6;18;27;18;4;
15/07/2015;0,45;0,48;8;19;31;30;4;
14/07/2015;0,28;0,24;8;16;29;14;5;
13/07/2015;0,23;0,24;11;16;32;11;5;
12/07/2015;0,26;0,25;4;10;17;7;4;
11/07/2015;0,22;0,22;5;9;16;16;5;
10/07/2015;0,26;0,26;11;25;41;31;7;
09/07/2015;0,22;0,21;7;17;27;13;4;
08/07/2015;0,2;0,21;5;11;19;9;;
07/07/2015;0,25;0,26;7;17;27;19;;
06/07/2015;0,36;0,36;8;22;35;27;5;
05/07/2015;0,23;0,21;5;11;19;12;4;
04/07/2015;0,23;0,24;5;12;21;17;6;
03/07/2015;0,31;0,3;11;25;42;32;6;
02/07/2015;0,23;0,23;6;19;27;18;5;
01/07/2015;0,26;0,27;6;15;24;27;6;
30/06/2015;0,35;0,36;9;29;42;37;6;
29/06/2015;0,31;0,29;7;25;35;47;5;
28/06/2015;0,22;0,22;6;12;21;11;6;
27/06/2015;0,22;0,23;5;13;22;20;6;
26/06/2015;0,36;0,36;7;23;34;32;6;
25/06/2015;0,28;0,28;11;28;44;37;8;
24/06/2015;0,27;0,27;7;16;27;16;7;
23/06/2015;0,27;0,26;10;16;31;18;7;
22/06/2015;0,28;0,29;11;21;38;25;7;
21/06/2015;0,29;0,28;6;17;25;19;8;
20/06/2015;0,25;0,24;7;17;28;18;7;
19/06/2015;0,23;0,23;8;22;34;17;7;
18/06/2015;0,25;0,25;7;19;30;22;7;
17/06/2015;0,24;0,23;5;16;24;18;6;
16/06/2015;0,22;0,22;5;14;21;17;6;
15/06/2015;0,23;0,23;5;17;25;20;5;
14/06/2015;0,25;0,26;5;14;21;29;8;
13/06/2015;0,31;0,29;5;17;24;13;5;
12/06/2015;0,39;0,39;9;20;33;18;5;
11/06/2015;0,41;0,46;7;28;39;;5;
10/06/2015;0,45;0,39;12;40;58;19;6;
09/06/2015;0,27;0,28;6;21;31;16;5;
08/06/2015;0,3;0,31;6;18;28;;6;
07/06/2015;0,29;0,27;4;10;16;;5;
06/06/2015;0,22;0,21;4;10;16;;5;
05/06/2015;0,25;0,3;10;24;39;;7;
04/06/2015;0,39;0,34;11;29;45;;8;
03/06/2015;0,27;0,26;4;14;21;16;7;
02/06/2015;0,18;0,19;8;18;30;25;7;
01/06/2015;0,23;0,23;8;19;30;20;7;
31/05/2015;0,21;0,21;7;16;26;19;11;
30/05/2015;0,21;0,21;8;19;31;15;10;
29/05/2015;0,18;0,18;4;13;19;10;6;
28/05/2015;;;8;17;29;17;7;
27/05/2015;;;5;17;25;19;8;
26/05/2015;;;6;15;24;22;7;
25/05/2015;0,16;0,16;5;12;19;14;6;
24/05/2015;0,21;0,2;4;11;18;13;7;
23/05/2015;0,19;0,19;4;13;20;;8;
22/05/2015;0,23;0,22;5;17;25;17;7;
21/05/2015;0,19;0,19;7;20;30;16;7;
20/05/2015;0,18;0,18;5;17;25;16;8;
19/05/2015;0,18;0,17;5;16;23;17;8;
18/05/2015;0,25;0,25;13;18;38;17;9;
17/05/2015;0,17;0,17;4;11;17;13;6;
16/05/2015;0,17;0,17;4;13;19;14;8;
15/05/2015;0,18;0,19;5;12;19;13;9;
14/05/2015;0,19;0,19;5;15;22;32;10;
13/05/2015;0,3;0,3;7;22;33;38;10;
12/05/2015;0,25;0,25;7;20;30;38;15;
11/05/2015;0,27;0,29;5;15;23;35;8;
10/05/2015;0,28;0,29;6;22;32;33;11;
09/05/2015;0,38;0,36;5;20;28;14;7;
08/05/2015;0,25;0,27;8;23;35;22;9;
07/05/2015;0,31;0,29;12;41;59;30;12;
06/05/2015;0,19;0,19;7;19;29;16;6;
05/05/2015;0,2;0,19;5;16;23;16;6;
04/05/2015;0,27;0,31;14;22;43;18;6;
03/05/2015;0,21;0,19;4;14;21;15;6;
02/05/2015;0,26;0,23;9;17;30;17;6;
01/05/2015;0,16;0,17;4;7;13;8;6;
30/04/2015;0,26;0,26;8;31;43;29;16;
29/04/2015;0,29;0,28;17;30;56;23;11;
28/04/2015;0,2;0,19;9;20;33;17;7;
27/04/2015;0,21;0,21;5;15;22;15;8;
26/04/2015;0,24;0,23;4;14;20;10;6;
25/04/2015;0,4;0,42;7;18;28;19;7;
24/04/2015;0,35;0,34;18;36;63;40;12;
23/04/2015;0,27;0,27;10;28;43;16;8;
22/04/2015;0,24;0,25;6;30;39;18;8;
21/04/2015;0,33;0,33;19;39;67;30;12;
20/04/2015;0,24;0,22;11;26;43;21;13;
19/04/2015;0,24;0,26;5;20;28;15;9;
18/04/2015;0,29;0,3;6;22;32;19;8;
17/04/2015;0,39;0,35;17;31;57;30;8;
16/04/2015;0,28;0,29;14;39;60;39;10;
15/04/2015;0,23;0,22;5;30;38;27;8;
14/04/2015;0,25;0,26;7;36;47;34;12;
13/04/2015;0,31;0,3;6;36;45;36;9;
12/04/2015;0,28;0,28;9;31;44;27;12;
11/04/2015;0,3;0,29;7;23;34;14;7;
10/04/2015;0,28;0,27;5;28;36;20;8;
09/04/2015;0,23;0,25;5;29;37;21;8;
08/04/2015;0,23;0,23;5;23;31;14;7;
07/04/2015;0,34;0,33;17;37;63;22;12;
06/04/2015;0,24;0,24;8;22;34;14;7;
05/04/2015;0,22;0,2;4;14;20;9;5;
04/04/2015;0,18;0,18;4;12;18;9;6;
03/04/2015;0,27;0,28;9;22;34;20;14;
02/04/2015;0,3;0,28;8;27;39;27;12;
01/04/2015;0,18;0,18;4;15;21;32;5;
31/03/2015;0,22;0,22;5;16;23;19;9;
30/03/2015;0,28;0,32;7;28;39;34;14;
29/03/2015;0,35;0,33;10;34;49;24;10;
28/03/2015;0,26;0,23;9;27;41;23;7;
27/03/2015;0,23;0,24;10;31;46;13;10;
26/03/2015;0,23;0,23;8;26;38;12;8;
25/03/2015;0,25;0,25;6;19;27;21;7;
24/03/2015;0,27;0,29;10;33;49;15;6;
23/03/2015;0,31;0,3;21;49;82;12;6;
22/03/2015;0,23;0,26;5;13;20;16;5;
21/03/2015;0,33;0,31;6;27;36;23;6;
20/03/2015;0,31;0,31;5;17;24;46;5;
19/03/2015;0,36;0,36;9;28;41;25;8;
18/03/2015;0,35;0,34;15;50;72;29;10;
17/03/2015;0,29;0,31;11;46;63;22;8;
16/03/2015;0,38;0,36;;;;32;8;
15/03/2015;0,28;0,27;;;;28;7;
14/03/2015;0,25;0,23;4;12;18;22;7;
13/03/2015;0,24;0,25;5;19;26;31;7;
12/03/2015;0,34;0,34;15;33;56;51;9;
11/03/2015;0,36;0,36;17;40;66;45;12;
10/03/2015;0,35;0,34;21;44;76;39;21;
09/03/2015;0,32;0,33;17;48;74;33;15;
08/03/2015;0,38;0,42;12;32;50;37;15;
07/03/2015;0,41;0,39;25;42;80;35;18;
06/03/2015;0,36;0,33;32;49;97;40;15;
05/03/2015;0,25;0,23;10;28;44;16;5;
04/03/2015;0,19;0,19;5;17;24;17;5;
03/03/2015;0,26;0,27;15;29;51;17;7;
02/03/2015;0,35;0,35;;;;21;6;
01/03/2015;0,28;0,33;9;24;38;14;8;
28/02/2015;0,34;0,29;19;38;67;15;9;
27/02/2015;0,2;0,19;4;21;27;26;7;
26/02/2015;0,2;0,2;3;15;21;7;6;
25/02/2015;0,28;0,29;3;15;19;23;10;
24/02/2015;0,22;0,21;4;17;22;13;7;
23/02/2015;0,23;0,24;9;28;42;15;9;
22/02/2015;0,24;0,22;4;23;29;14;7;
21/02/2015;0,2;0,21;3;11;15;12;5;
20/02/2015;0,27;0,29;8;28;40;15;10;
19/02/2015;0,33;0,31;31;50;96;34;16;
18/02/2015;0,29;0,27;12;37;56;17;5;
17/02/2015;0,19;0,18;3;14;18;21;4;
16/02/2015;0,2;0,2;;;;14;7;
15/02/2015;0,24;0,26;;;;10;5;
14/02/2015;0,22;0,22;4;22;27;5;5;
13/02/2015;0,26;0,29;7;27;37;14;6;
12/02/2015;0,32;0,3;8;35;47;19;6;
11/02/2015;0,3;0,31;14;41;62;28;11;
10/02/2015;0,34;0,33;14;38;59;30;11;
09/02/2015;0,25;0,24;6;18;27;28;7;
08/02/2015;0,36;0,38;5;16;23;19;7;
07/02/2015;0,43;0,43;8;21;33;22;6;
06/02/2015;0,36;0,33;9;21;36;12;6;
05/02/2015;0,24;0,24;3;13;17;13;5;
04/02/2015;0,27;0,28;4;16;22;11;5;
03/02/2015;0,27;0,26;9;32;45;10;5;
02/02/2015;0,24;0,24;7;29;39;5;5;
01/02/2015;0,23;0,23;4;17;22;13;7;
31/01/2015;0,23;0,24;3;16;21;9;7;
30/01/2015;0,24;0,22;7;28;38;11;5;
29/01/2015;0,2;0,21;6;25;34;10;6;
28/01/2015;0,24;0,25;12;41;59;12;8;
27/01/2015;0,27;0,28;7;41;51;19;8;
26/01/2015;0,35;0,39;38;53;111;30;11;
25/01/2015;0,43;0,37;11;37;54;26;6;
24/01/2015;0,3;0,33;15;33;57;19;9;
23/01/2015;0,34;0,33;26;46;86;17;6;
22/01/2015;0,26;0,24;7;32;42;15;7;46
21/01/2015;0,24;0,23;6;28;37;8;7;56
20/01/2015;0,25;0,25;12;38;56;8;7;27
19/01/2015;0,22;0,21;5;26;33;16;7;53
18/01/2015;0,18;0,21;3;17;22;4;5;53
17/01/2015;0,28;0,26;8;32;43;13;9;41
16/01/2015;0,24;0,26;5;30;37;8;6;50
15/01/2015;0,25;0,22;4;20;26;9;5;58
14/01/2015;0,22;0,23;16;29;53;11;7;40
13/01/2015;0,22;0,2;4;18;24;8;5;51
12/01/2015;0,22;0,23;8;32;44;8;7;39
11/01/2015;0,24;0,24;6;28;37;18;7;39
10/01/2015;0,34;0,39;28;41;84;29;16;10
09/01/2015;0,42;0,39;65;60;159;33;13;6
08/01/2015;0,4;0,39;67;64;167;31;11;4
07/01/2015;0,35;0,34;37;50;106;24;9;7
06/01/2015;0,35;0,37;22;42;74;23;9;6
05/01/2015;0,37;0,35;51;54;132;26;13;7
04/01/2015;0,38;0,4;18;43;70;21;8;7
03/01/2015;0,45;0,45;46;56;126;28;14;7
02/01/2015;0,43;0,41;63;65;162;;14;4
01/01/2015;0,38;0,4;31;51;99;;13;6
