Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2015;8;29;41;12;7
30/12/2015;2;14;18;12;7
29/12/2015;7;25;36;8;7
28/12/2015
27/12/2015
26/12/2015
25/12/2015;2;14;17;8;6
24/12/2015;3;17;21;11;6
23/12/2015;13;41;61;21;7
22/12/2015;5;28;36;14;7
21/12/2015;18;36;64;12;6
20/12/2015;6;29;38;32;5
19/12/2015;3;20;24;42;7
18/12/2015;8;34;46;37;8
17/12/2015;6;32;42;54;9
16/12/2015;15;42;65;59;9
15/12/2015;4;24;30;55;7
14/12/2015;4;21;27;37;7
13/12/2015;5;25;32;20;6
12/12/2015;7;27;39;16;5
11/12/2015;21;33;65;25;7
10/12/2015;51;44;122;38;9
09/12/2015;27;38;79;24;7
08/12/2015;2;24;29;22;7
07/12/2015;3;20;25;31;8
06/12/2015;4;21;27;37;8
05/12/2015;31;37;85;38;7
04/12/2015;79;55;176;61;8
03/12/2015;16;43;68;35;9
02/12/2015;83;52;178;49;11
01/12/2015;79;39;160;53;10
30/11/2015;75;41;155;39;11
29/11/2015;14;33;54;25;12
28/11/2015;4;30;36;14;9
27/11/2015;14;43;65;13;8
26/11/2015;2;19;22;37;8
25/11/2015;2;18;21;25;7
24/11/2015;40;51;112;26;8
23/11/2015
22/11/2015;2;21;25;5;6
21/11/2015;1;11;13;13;6
20/11/2015;25;27;66;47;10
19/11/2015;49;40;116;50;10
18/11/2015;67;43;145;45;10
17/11/2015;37;37;94;39;10
16/11/2015;58;44;132;50;11
15/11/2015;24;33;70;24;9
14/11/2015;8;26;39;15;5
13/11/2015;39;44;103;36;10
12/11/2015;25;43;82;38;7
11/11/2015;24;46;82;35;7
10/11/2015;46;42;113;50;8
09/11/2015;35;45;99;41;7
08/11/2015;8;28;40;28;8
07/11/2015;9;30;44;19;6
06/11/2015;13;34;55;16;6
05/11/2015;9;34;49;20;6
04/11/2015;9;32;46;18;5
03/11/2015;5;31;39;9;5
02/11/2015;5;24;32;19;5
01/11/2015;4;24;30;26;9
31/10/2015;3;17;22;13;5
30/10/2015;6;25;36;13;5
29/10/2015;6;29;39;8;4
28/10/2015;17;33;59;11;5
27/10/2015;8;33;46;11;3
26/10/2015;11;30;47;27;6
25/10/2015;7;30;41;17;4
24/10/2015;19;39;68;22;7
23/10/2015;30;40;86;24;7
22/10/2015;27;37;78;19;5
21/10/2015;22;38;71;23;4
20/10/2015;4;22;29;11;4
19/10/2015;53;42;123;26;4
18/10/2015;7;32;42;21;4
17/10/2015;16;35;59;25;7
16/10/2015;25;39;77;22;7
15/10/2015;25;38;77;19;5
14/10/2015;24;42;79;20;4
13/10/2015;16;30;54;21;4
12/10/2015;8;26;39;25;4
11/10/2015;9;42;55;31;7
10/10/2015;9;36;50;22;6
09/10/2015;18;35;62;20;5
08/10/2015;11;30;48;16;4
07/10/2015;11;29;47;13;4
06/10/2015;3;16;22;8;4
05/10/2015;2;11;15;11;4
04/10/2015;4;21;27;18;4
03/10/2015;6;31;40;18;5
02/10/2015;5;38;47;16;4
01/10/2015;24;35;71;28;4
30/09/2015;20;47;78;26;4
29/09/2015;25;34;71;30;4
28/09/2015;14;36;58;;4
27/09/2015;9;23;36;;4
26/09/2015;9;25;39;;4
25/09/2015;20;29;60;22;4
24/09/2015;9;28;42;11;4
23/09/2015;6;39;48;10;5
22/09/2015;4;23;29;12;5
21/09/2015;19;27;56;18;6
20/09/2015;5;22;30;11;6
19/09/2015;6;22;32;13;6
18/09/2015;12;30;49;16;7
17/09/2015
16/09/2015
15/09/2015;15;27;50;20;4
14/09/2015;5;28;36;15;4
13/09/2015;6;19;27;14;4
12/09/2015;3;17;22;14;3
11/09/2015;13;28;48;19;7
10/09/2015;8;34;45;21;6
09/09/2015;18;35;63;27;8
08/09/2015;15;37;60;23;9
07/09/2015;16;33;58;21;
06/09/2015;5;20;28;14;
05/09/2015;4;22;29;14;
04/09/2015;5;26;34;10;
03/09/2015;5;28;36;12;8
02/09/2015;14;27;48;21;8
01/09/2015;4;28;35;11;6
31/08/2015;8;25;38;30;6
30/08/2015;4;17;24;34;9
29/08/2015;8;20;31;31;8
28/08/2015;11;27;44;24;8
27/08/2015;11;27;43;14;9
26/08/2015;19;39;69;32;12
25/08/2015;8;23;35;15;10
24/08/2015;5;17;25;11;8
23/08/2015;3;11;15;5;7
22/08/2015;4;18;23;22;7
21/08/2015;10;26;42;31;8
20/08/2015;10;32;48;20;8
19/08/2015;11;24;41;11;6
18/08/2015;7;20;31;13;6
17/08/2015;6;18;28;14;6
16/08/2015;6;16;26;12;7
15/08/2015;4;15;20;10;7
14/08/2015;3;15;19;13;7
13/08/2015;4;17;24;12;7
12/08/2015;9;29;43;28;7
11/08/2015;11;27;44;27;7
10/08/2015;10;20;35;16;6
09/08/2015;3;15;20;11;6
08/08/2015;3;16;21;9;6
07/08/2015;4;24;30;12;6
06/08/2015;15;25;48;25;6
05/08/2015;9;20;34;17;5
04/08/2015;5;26;33;11;5
03/08/2015;7;25;36;19;5
02/08/2015;4;17;24;15;5
01/08/2015;4;18;24;13;5
