Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2015;0,33;0,3;3;17;44;13;8;4
30/12/2015;0,17;0,16;4;4;12;6;3;3
29/12/2015;0,18;0,19;3;7;20;3;3;4
28/12/2015;0,17;0,16;4;7;21;17;7;3
27/12/2015;0,2;0,19;3;6;22;5;5;3
26/12/2015;0,18;0,21;3;6;22;3;;3
25/12/2015;0,19;0,16;4;5;16;3;3;4
24/12/2015;0,17;0,18;4;5;14;5;5;3
23/12/2015;0,23;0,22;3;18;44;10;7;4
22/12/2015;0,14;0,14;3;7;19;5;3;3
21/12/2015;0,25;0,28;4;25;36;12;9;5
20/12/2015;0,22;0,2;5;9;31;28;12;4
19/12/2015;0,14;0,13;4;5;15;29;11;3
18/12/2015;0,17;0,16;4;9;23;26;10;4
17/12/2015;0,15;0,23;4;9;24;41;14;4
16/12/2015;0,24;0,15;3;10;28;41;15;4
15/12/2015;0,15;0,15;4;7;16;28;11;3
14/12/2015;0,16;0,23;4;6;15;15;7;3
13/12/2015;0,28;0,21;4;6;24;7;7;4
12/12/2015;0,18;0,19;4;9;31;7;7;4
11/12/2015;0,24;0,27;5;21;38;10;9;5
10/12/2015;0,33;0,33;4;56;56;20;13;6
09/12/2015;0,34;0,33;4;48;55;18;11;5
08/12/2015;0,22;0,18;5;6;29;15;8;4
07/12/2015;0,12;0,12;5;6;17;14;12;3
06/12/2015;0,18;0,28;6;7;18;17;14;5
05/12/2015;0,4;0,38;6;39;44;25;15;7
04/12/2015;0,35;0,27;5;70;61;33;13;7
03/12/2015;0,26;0,33;7;11;30;14;9;5
02/12/2015;1,06;1,09;5;141;81;56;29;17
01/12/2015;0,44;0,44;4;102;59;41;24;13
30/11/2015;0,51;0,44;3;104;60;38;22;15
29/11/2015;0,19;0,19;3;14;34;10;8;5
28/11/2015;0,23;;4;9;33;13;6;4
27/11/2015
26/11/2015
25/11/2015;0,19;0,19;;5;20;24;13;4
24/11/2015
23/11/2015;0,62;0,48;1;61;64;24;15;7
22/11/2015;0,24;0,22;2;5;28;6;4;5
21/11/2015;0,13;0,12;4;2;10;17;5;3
20/11/2015;0,25;0,35;5;19;31;32;16;6
19/11/2015;0,36;0,35;6;40;45;34;17;10
18/11/2015;0,38;0,31;4;60;50;34;19;10
17/11/2015;0,21;0,29;5;16;38;15;13;5
16/11/2015;0,52;0,59;4;61;52;35;22;13
15/11/2015;0,45;0,31;4;26;43;19;13;11
14/11/2015;0,3;0,28;5;13;32;12;8;3
13/11/2015;0,46;0,58;4;49;49;31;15;10
12/11/2015;0,41;0,33;4;34;48;32;21;6
11/11/2015;0,29;0,27;4;21;45;21;17;9
10/11/2015;0,28;0,32;4;39;39;30;22;14
09/11/2015;0,44;0,38;4;53;60;37;20;13
08/11/2015;0,19;0,22;5;6;27;11;9;9
07/11/2015;0,26;0,37;5;13;33;10;7;8
06/11/2015;0,5;0,33;4;25;40;14;8;5
05/11/2015;0,16;0,15;6;6;21;3;2;3
04/11/2015;;;;13;33;19;8;3
03/11/2015;;;5;17;38;10;5;3
02/11/2015;0,25;0,27;6;9;37;17;9;3
01/11/2015;0,27;0,24;6;4;26;15;10;4
31/10/2015;0,24;0,24;6;4;24;11;8;3
30/10/2015;0,2;0,21;5;8;27;8;5;3
29/10/2015;0,17;;5;7;23;4;2;3
28/10/2015
27/10/2015;0,36;;5;9;28;;7;3
26/10/2015;0,22;0,26;5;11;32;17;12;4
25/10/2015;0,36;0,34;7;45;38;16;12;3
24/10/2015;0,4;0,43;6;20;37;26;11;6
23/10/2015;0,4;0,4;5;37;54;37;17;9
22/10/2015;0,69;0,82;5;49;48;39;18;6
21/10/2015;0,61;0,46;4;41;46;26;15;4
20/10/2015;0,29;0,28;5;7;20;12;8;3
19/10/2015;0,53;0,59;6;56;43;33;19;4
18/10/2015;0,39;0,39;6;9;29;21;12;4
17/10/2015;0,37;0,33;4;16;42;23;13;9
16/10/2015;0,35;0,37;3;32;53;24;12;9
15/10/2015;0,37;0,32;2;31;50;21;12;6
14/10/2015;0,32;0,32;3;22;44;19;11;5
13/10/2015;0,37;0,37;4;8;21;18;13;3
12/10/2015;0,25;0,26;4;9;21;21;15;9
11/10/2015;0,3;0,3;5;8;30;29;15;9
10/10/2015;0,38;0,37;4;13;45;20;11;9
09/10/2015;0,43;0,43;3;37;48;27;14;6
08/10/2015;0,24;0,24;3;25;37;19;9;4
07/10/2015;0,22;0,22;2;19;33;16;6;5
06/10/2015;0,17;0,17;3;5;16;11;4;3
05/10/2015;0,14;0,16;5;5;14;13;5;3
04/10/2015;0,26;0,26;4;7;25;20;9;6
03/10/2015;0,24;;3;8;34;18;13;5
02/10/2015;0,22;0,21;4;9;42;13;10;5
01/10/2015;0,54;0,54;7;21;39;39;18;6
30/09/2015;0,39;0,43;5;36;55;41;19;6
29/09/2015;0,51;0,49;5;35;41;42;21;7
28/09/2015;0,34;0,32;5;20;49;30;15;5
27/09/2015;0,55;0,56;6;13;27;25;13;4
26/09/2015;0,39;0,38;6;14;33;22;12;7
25/09/2015;0,41;0,44;5;26;40;27;13;6
24/09/2015;0,35;0,32;4;26;41;;11;4
23/09/2015;0,23;0,21;3;10;35;;5;3
22/09/2015;0,17;0,17;4;5;22;12;5;4
21/09/2015;0,4;0,45;4;33;31;25;14;5
20/09/2015;0,32;0,29;4;7;31;13;7;5
19/09/2015;0,28;0,26;4;11;34;16;7;6
18/09/2015;0,2;0,19;3;16;34;13;6;6
17/09/2015;0,18;;3;5;26;9;4;5
16/09/2015;0,14;0,13;5;3;12;10;3;3
15/09/2015;0,16;0,17;4;20;31;18;8;5
14/09/2015;0,15;0,15;5;6;25;17;6;5
13/09/2015;0,4;0,42;5;6;20;9;6;5
12/09/2015;0,24;0,23;5;4;21;14;8;6
11/09/2015;0,48;0,56;5;23;34;26;14;8
10/09/2015;0,33;0,28;5;15;39;23;14;7
09/09/2015;0,32;0,33;4;20;43;38;16;9
08/09/2015;0,33;0,32;4;24;52;28;12;11
07/09/2015;0,27;0,27;4;25;40;21;10;7
06/09/2015;0,23;0,24;4;7;29;11;6;6
05/09/2015;0,22;0,21;3;7;25;8;4;6
04/09/2015;0,21;0,22;4;9;29;8;5;5
03/09/2015;0,23;0,23;4;8;32;13;7;6
02/09/2015;0,24;0,22;4;15;24;17;7;5
01/09/2015;0,19;0,19;4;6;22;9;6;5
31/08/2015;0,38;0,39;5;9;23;;10;5
30/08/2015;0,39;0,38;4;6;22;41;13;5
29/08/2015;0,24;0,24;4;8;18;22;12;7
28/08/2015;0,51;0,56;6;16;22;24;7;5
27/08/2015;0,53;0,44;4;12;26;17;6;5
26/08/2015;0,39;0,38;3;17;37;24;10;13
25/08/2015;0,24;0,25;3;10;25;10;5;7
24/08/2015;;;3;7;19;12;3;5
23/08/2015;0,16;0,18;4;4;10;;3;6
22/08/2015;0,32;0,33;4;5;18;23;15;5
21/08/2015;0,33;0,32;4;13;29;31;17;8
20/08/2015;0,27;0,23;3;10;30;23;10;11
19/08/2015;0,4;0,52;4;13;22;14;7;8
18/08/2015;0,4;0,32;3;12;25;17;7;6
17/08/2015;0,26;0,22;2;11;20;17;8;7
16/08/2015;0,21;0,22;2;5;17;13;5;6
15/08/2015;0,22;0,2;2;4;13;9;4;6
14/08/2015;0,16;0,15;3;4;13;15;5;10
13/08/2015;0,21;0,22;3;6;18;14;6;8
12/08/2015;0,44;0,45;3;15;36;;12;6
11/08/2015;0,46;0,5;4;16;26;31;13;6
10/08/2015;0,31;0,28;2;10;29;16;8;6
09/08/2015;0,16;0,13;2;3;12;11;5;7
08/08/2015;0,14;0,15;3;4;13;9;3;6
07/08/2015;0,23;0,21;3;6;22;9;5;5
06/08/2015;0,45;0,49;4;15;25;26;11;6
05/08/2015;0,27;0,23;3;10;22;18;9;7
04/08/2015;0,19;0,18;3;6;25;11;5;6
03/08/2015;0,28;0,28;4;11;26;19;8;7
02/08/2015;0,18;0,18;4;3;18;15;8;7
01/08/2015;0,16;0,16;3;4;17;10;6;8
31/07/2015;0,19;0,21;3;4;21;15;5;7
30/07/2015;0,21;0,22;3;10;30;11;7;7
29/07/2015;0,26;0,27;3;11;27;;8;7
28/07/2015;0,28;0,26;3;12;29;20;8;7
27/07/2015;0,19;0,2;3;7;19;15;;7
26/07/2015;0,22;0,22;3;4;19;18;7;8
25/07/2015;0,16;0,16;3;3;15;11;5;8
24/07/2015;0,31;0,32;3;19;30;28;12;8
23/07/2015;0,27;0,26;3;13;26;15;;7
22/07/2015;0,24;0,24;3;7;25;;6;6
21/07/2015;0,33;0,34;4;13;28;33;;6
20/07/2015;0,31;0,31;3;16;30;29;;12
19/07/2015;0,29;0,29;4;8;21;35;;7
18/07/2015;0,29;0,29;4;7;21;25;12;8
17/07/2015;0,34;0,35;4;16;30;35;22;7
16/07/2015;0,25;0,22;4;6;22;19;12;6
15/07/2015;;;4;11;24;30;12;6
14/07/2015;;;3;10;21;17;9;11
13/07/2015;0,26;0,26;3;19;23;26;15;7
12/07/2015;0,23;0,23;3;3;14;;4;6
11/07/2015;0,18;0,18;3;4;12;18;6;6
10/07/2015;0,23;0,24;3;10;28;28;14;9
09/07/2015;0,21;0,2;3;11;26;16;8;7
08/07/2015;0,17;0,17;4;6;19;;5;6
07/07/2015;0,22;0,22;4;10;21;;12;7
06/07/2015;0,32;0,32;3;10;25;32;;6
05/07/2015;0,22;0,2;3;4;11;;4;5
04/07/2015;0,28;0,34;4;6;17;37;11;9
03/07/2015;0,45;0,38;3;14;27;;17;6
02/07/2015;0,25;0,24;3;6;19;;6;5
01/07/2015;0,26;0,27;3;6;19;32;19;6
30/06/2015;0,45;0,46;3;11;32;;24;6
