Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3);O3 (µg/m3)
31/12/2015;;0,3;0,29;;15;42;64;;13;5;;
30/12/2015;;0,25;0,25;;4;21;28;;7;1;;
29/12/2015;;0,28;0,29;;12;40;59;;9;3;;
28/12/2015;;0,28;0,27;;8;33;45;;15;2;;
27/12/2015;;0,25;0,25;;9;35;48;;9;4;;
26/12/2015;;0,24;0,24;;6;29;37;;8;2;;
25/12/2015;;0,25;0,25;;4;27;33;;5;1;;
24/12/2015;;0,26;0,27;;6;25;34;;8;1;;
23/12/2015;;0,31;0,31;;17;50;76;;14;4;;
22/12/2015;;0,25;0,25;;12;45;63;;11;2;;
21/12/2015;;0,25;0,27;;23;52;87;;14;4;;
20/12/2015;;0,27;0,26;;4,95;32;40;;25;1;;
19/12/2015;;0,19;0,2;;4,79;24;31;;31;0;;
18/12/2015;;0,3;0,28;;10,85;38;55;;26;1;;
17/12/2015;;0,21;0,23;;9,33;34;48;;39;1;;
16/12/2015;;0,31;0,31;;33,96;58;110;;45;4;;
15/12/2015;;0,25;0,25;;5,24;25;33;;31;0;;
14/12/2015;;0,25;0,26;;5,5;23;32;;16;1;;
13/12/2015;;0,28;0,28;;13;44;64;;14;5;;
12/12/2015;;0,29;0,29;;21;41;72;;14;7;;
11/12/2015;;0,31;0,34;;32;41;89;;18;8;;
10/12/2015;;0,43;0,39;;65;53;152;;26;7;;
09/12/2015;0,37;0,32;0,31;0,28;32;49;97;1,46;21;5;2,75;
08/12/2015;0,12;0,25;0,24;0;5;33;40;0,28;15;3;0,92;
07/12/2015;0,16;0,26;0,26;0,05;9;32;46;0,51;20;2;1,48;
06/12/2015;0,32;0,28;0,33;0,05;10;36;51;0,64;24;3;1,6;
05/12/2015;0,86;0,46;0,47;0,6;49;51;126;2,74;33;10;4,8;
04/12/2015;0,74;0,57;0,51;0,87;;;;4,08;34;11;7,28;
03/12/2015;0,54;0,38;0,43;0,49;38;61;119;2,36;22;6;4,02;
02/12/2015;1,12;0,55;0,57;1,24;108;69;235;5,45;35;20;8,51;
01/12/2015;1,03;0,52;0,52;2,07;109;54;221;7,62;41;23;8,5;
30/11/2015;0,82;0,48;0,45;1,02;82;52;177;3,69;35;19;6,19;
29/11/2015;0,35;0,31;0,3;0,04;25;44;81;0,57;19;10;1,24;
28/11/2015;0,17;0,27;0,26;0,03;9;37;51;0,41;14;2;1,03;
27/11/2015;0,19;0,3;0,31;0,17;14;47;69;1,04;11;1;2,59;
26/11/2015;0,05;0,26;0,25;0,06;2;25;28;0,46;30;1;0,72;
25/11/2015;0,05;0,23;0,23;0,01;1;21;23;0,15;20;6;0,56;
24/11/2015;0,36;0,39;0,44;0,22;55;57;141;1,25;20;10;2,2;
23/11/2015;0,47;0,4;0,37;0,28;52;60;140;1,42;23;16;2,88;
22/11/2015;0,05;0,25;0,24;0;6;36;44;0,17;8;10;0,51;
21/11/2015;0,01;0,17;0,18;0;1;11;13;0,05;17;7;0,18;
20/11/2015;0,34;0,29;0,33;0,35;41;36;99;1,87;39;15;2,83;
19/11/2015;0,64;0,41;0,42;0,71;63;45;141;3,28;36;20;4,86;
18/11/2015;0,74;0,41;0,4;0,85;73;49;161;4,11;33;20;5,64;
17/11/2015;0,49;0,38;0,38;0,44;57;47;134;2,16;28;17;3,69;
16/11/2015;0,67;0,45;0,44;0,54;64;50;147;2,79;38;28;4,87;
15/11/2015;0,43;0,34;0,32;0,19;34;44;96;1,35;22;20;2,64;
14/11/2015;0,19;0,28;0,29;0,07;16;34;58;0,88;13;7;1,68;
13/11/2015;0,82;0,42;0,43;0,9;42;50;113;3,72;29;25;6,1;
12/11/2015;0,56;0,36;0,34;0,4;;;;1,89;30;12;4,05;
11/11/2015;0,56;0,39;0,4;0,49;;;;2,05;25;11;3,68;
10/11/2015;0,75;0,42;0,42;0,64;;;;2,81;37;23;5,56;
09/11/2015;0,59;0,4;0,38;0,48;;;;2,24;33;18;4,35;
08/11/2015;0,19;0,29;0,3;0,07;13;40;59;0,77;15;12;1,64;
07/11/2015;0,17;0,3;0,31;0,38;17;39;65;1,71;12;10;1,99;
06/11/2015;0,27;0,37;0,34;0,3;22;42;75;1,67;14;10;3,49;
05/11/2015;0,15;0,28;0,26;0,14;14;39;60;0,87;8;6;2,01;
04/11/2015;0,15;0,26;0,31;0,14;12;38;56;0,95;11;8;2,14;
03/11/2015;0,16;0,33;0,28;0,08;12;37;54;0,63;8;5;1,84;
02/11/2015;0,18;0,26;0,26;0,06;8;36;50;0,62;16;5;1,94;
01/11/2015;0,13;0,26;0,28;0,03;5;16;37;0,48;19;10;1,27;
31/10/2015;0,11;0,27;0,26;0,03;9;18;47;0,57;14;6;1,51;
30/10/2015;0,02;0,28;0,28;0,01;15;20;60;0,31;12;5;0,97;
29/10/2015;0,12;0,3;0,3;0,18;14;25;60;1,21;7;5;2,29;
28/10/2015;0,11;0,23;0,21;0,13;12;30;49;0,78;8;5;1,8;
27/10/2015;0,06;0,23;0,24;0,22;7;29;41;1,1;11;4;1,48;
26/10/2015;0,2;0,28;0,3;0,08;14;44;66;0,9;20;8;1,95;
25/10/2015;0,19;0,35;0,34;0,02;6;30;41;0,38;16;5;1,16;
24/10/2015;0,62;0,42;0,44;0,28;20;44;76;1,35;21;9;2,9;
23/10/2015;1,09;0,42;0,41;0,92;54;58;137;2,26;33;17;5,36;
22/10/2015;0,5;0,36;0,36;0,33;29;45;85;1,41;22;10;2,9;
21/10/2015;0,63;0,36;0,38;0,17;18;43;71;0,91;18;5;2,08;
20/10/2015;0,96;0,43;0,45;0,01;3;22;27;0,14;15;3;0,72;
19/10/2015;1,21;0,64;0,64;0,55;48;44;118;2,06;26;5;5,23;
18/10/2015;0,36;0,42;0,38;0,04;8;41;52;0,54;21;7;1,49;
17/10/2015;0,52;0,38;0,38;0,21;25;49;86;1,23;26;19;2,51;
16/10/2015;0,49;0,31;0,31;0,24;29;50;100;1,29;26;18;2,9;
15/10/2015;0,26;0,31;0,29;0,23;29;49;93;1,25;20;14;2,03;
14/10/2015;0,2;0,24;0,25;0,08;6;36;45;0,4;15;6;1,16;
13/10/2015;0,54;0,33;0,33;0,09;3;22;28;0,47;19;5;0,89;
12/10/2015;0,47;0,36;0,37;0,24;9;28;43;1,07;27;9;1,67;
11/10/2015;0,36;0,36;0,38;0,18;11;47;64;1,13;30;12;2,09;
10/10/2015;0,48;0,37;0,35;0,28;28;63;106;1,54;25;14;2,79;
09/10/2015;0,2;0,3;0,28;0,21;25;45;84;1,26;24;11;2,2;
08/10/2015;0,05;0,24;0,24;0,17;13;34;;0,94;15;5;2,08;
07/10/2015;0,08;0,23;0,22;0,14;13;31;;0,65;16;8;1,64;
06/10/2015;0,01;0,17;0,18;0,01;3;20;;0,16;10;4;0,55;
05/10/2015;0;0,22;0,23;0,02;4;22;29;0,32;12;4;1,05;
04/10/2015;0,07;0,29;0,3;0,06;8;33;;0,5;19;13;1,11;
03/10/2015;0,16;0,3;0,28;0,08;9;42;;0,58;21;13;1,21;
02/10/2015;0,16;0,29;0,31;0,14;9;48;;0,72;15;10;1,65;
01/10/2015;0,17;0,44;0,44;0,27;19;41;;1,02;28;14;1,84;
30/09/2015;0,46;0,38;0,37;0,54;16;57;79;2,25;32;14;4,09;
29/09/2015;0,33;0,33;0,33;0,37;25;39;76;1,57;31;14;2,56;
28/09/2015;0,25;0,27;0,28;0,19;16;46;70;1,06;23;12;2,32;
27/09/2015;0,22;0,26;0,25;0,06;13;30;49;0,47;18;11;1,17;
26/09/2015;0,18;0,26;0,25;0,13;16;33;57;0,71;19;12;1,54;
25/09/2015;0,28;0,27;0,28;0,21;29;40;84;1,02;22;11;2,45;
24/09/2015;0,15;0,24;0,25;0,11;19;40;70;0,77;13;7;1,78;
23/09/2015;0,14;0,24;0,23;0,1;10;39;55;0,63;9;6;1,54;
22/09/2015;0,05;0,18;0,18;0,02;6;23;33;0,26;12;7;1,48;
21/09/2015;0,34;0,29;0,32;0,32;25;31;69;1,06;25;13;2,39;
20/09/2015;0,27;0,26;0,25;0,06;11;31;48;0,44;17;13;1,16;
19/09/2015;0,15;0,24;0,23;0,12;13;30;49;0,62;16;12;1,2;
18/09/2015;0,12;0,22;0,22;0,11;18;35;63;0,77;17;13;1,42;
17/09/2015;;0,21;0,22;;8;31;43;;11;7;;
16/09/2015;;0,21;0,19;;7;20;31;;10;3;;
15/09/2015;;0,25;;;22;37;70;;19;6;;
14/09/2015;0,81;0,18;0,17;0,2;7;28;38;0,28;17;5;0,81;
13/09/2015;0,94;0,26;0,29;0,21;8;27;40;0,37;12;6;0,94;
12/09/2015;0,88;0,27;0,26;0,19;6;22;31;0,24;14;7;0,75;
11/09/2015;1,04;0,29;0,29;0,39;20;35;66;1,1;23;14;1,61;
10/09/2015;1,05;0,32;0,32;0,31;11;35;51;0,87;20;6;1,61;
09/09/2015;1,03;0,33;0,33;0,61;23;44;80;2,34;30;13;2,27;
08/09/2015;0,95;0,25;0,24;0,33;21;48;82;0,94;25;15;1,64;
07/09/2015;0,87;0,24;0,24;0,27;21;39;71;0,63;21;10;1,25;
06/09/2015;0,81;0,19;0,19;0,2;10;32;47;0,36;14;8;0,74;
05/09/2015;0,84;0,21;0,2;0,2;8;28;41;0,28;12;6;0,72;
04/09/2015;0,84;0,2;0,2;0,19;7;26;36;0,23;8;4;0,79;
03/09/2015;1,17;0,25;0,26;0,27;7;30;41;0,53;12;6;1,99;
02/09/2015;0,94;0,25;0,24;0,29;17;32;57;0,73;20;8;1,54;
01/09/2015;0,9;0,21;0,22;0,2;6;27;37;0,24;12;6;1,52;
31/08/2015;0,96;0,3;0,31;0,26;12;27;46;0,57;23;4;1;
30/08/2015;1,07;0,34;0,34;0,29;12;39;56;0,71;33;7;1,33;
29/08/2015;0,86;0,3;0,31;0,33;14;26;47;0,57;22;7;0,98;
28/08/2015;1,11;0,32;0,31;0,32;14;30;52;0,51;25;7;1,38;
27/08/2015;0,95;0,27;0,27;0,33;18;44;71;0,86;15;6;1,6;
26/08/2015;1,06;0,3;0,29;0,49;30;54;100;1,18;24;10;2,64;
25/08/2015;0,93;0,24;0,23;0,25;17;35;62;0,51;16;8;1,04;
24/08/2015;0,82;0,16;0,16;0,19;6;20;30;0,18;12;4;0,47;
23/08/2015;0,8;0,19;0,21;0,18;7;24;34;0,22;7;4;0,54;
22/08/2015;1,1;0,37;0,41;0,21;7;25;36;0,35;23;4;0,89;
21/08/2015;1,11;0,39;0,39;0,41;17;36;62;1,02;30;9;1,7;
20/08/2015;1,05;0,33;0,28;0,3;15;37;61;0,79;21;10;1,55;
19/08/2015;0,95;0,22;0,22;0,2;12;27;45;0,35;11;6;0,84;
18/08/2015;0,85;0,24;0,25;0,28;10;25;41;0,35;15;5;0,81;
17/08/2015;0,81;0,23;0,25;0,23;11;21;38;0,44;16;4;0,76;
16/08/2015;0,87;0,26;0,24;0,19;10;21;36;0,3;14;6;0,71;
15/08/2015;0,94;0,21;0,2;0,18;7;18;29;0,2;11;5;0,63;
14/08/2015;0,78;0,15;0,15;0,18;5;15;23;0,1;11;5;0,37;
13/08/2015;0,85;0,23;0,27;0,22;8;22;35;0,34;13;5;0,93;
12/08/2015;0,94;0,36;0,37;0,3;12;35;54;0,65;;6;1,36;
11/08/2015;0,92;0,36;0,35;0,32;12;30;49;0,74;32;7;1,44;
10/08/2015;0,83;0,26;0,24;0,26;13;30;50;0,56;20;6;1,32;
09/08/2015;0,8;0,19;0,17;0,19;5;17;24;0,15;17;6;0,41;
08/08/2015;0,81;0,16;0,15;0,18;5;18;26;0,1;14;8;0,45;
07/08/2015;0,44;0,21;0,26;0,19;6;24;33;0,28;14;9;0,9;
06/08/2015;0,28;0,35;0,36;0,27;17;31;57;0,7;28;11;1,56;
05/08/2015;0,24;0,32;0,29;0,31;13;25;44;0,82;21;5;1,74;
04/08/2015;0,24;0,28;0,3;0,22;7;30;41;0,49;14;5;1,23;
03/08/2015;0,24;0,31;0,36;0,26;10;27;43;0,58;22;6;2,1;
02/08/2015;0,21;0,32;0,25;0,17;7;26;36;0,28;20;6;0,9;
01/08/2015;0,17;0,22;0,21;0,18;6;25;34;0,33;16;5;0,88;
31/07/2015;0,23;0,24;0,23;0,19;5;24;32;0,4;16;4;1,06;
30/07/2015;0,23;0,24;0,24;0,21;8;24;36;0,31;13;4;0,97;
29/07/2015;0,25;0,27;0,3;0,31;13;30;50;0,81;;6;1,63;
28/07/2015;0,24;0,3;0,28;0,21;10;25;41;0,38;16;6;1,29;
27/07/2015;0,18;0,25;0,26;0,17;7;22;32;0,26;19;6;0,87;
26/07/2015;0,2;0,26;0,24;0,16;7;23;34;0,3;19;7;0,74;
25/07/2015;0,15;0,19;0,2;0,16;5;16;23;0,16;18;6;0,5;
24/07/2015;0,33;0,33;0,34;0,42;19;30;61;1,28;23;6;2,24;
23/07/2015;0,27;0,32;0,31;0,24;10;28;44;0,62;19;4;1,45;
22/07/2015;0,2;0,29;0,3;0,23;8;27;39;0,56;19;4;1,81;
21/07/2015;0,39;0,46;0,46;0,29;10;28;44;0,68;;5;2,22;
20/07/2015;0,32;0,41;0,42;0,29;16;31;56;0,76;37;5;1,61;
19/07/2015;0,25;0,38;0,39;0,21;10;21;36;0,42;;4;1;
18/07/2015;0,29;0,37;0,38;0,22;8;22;35;0,46;;4;1,07;
17/07/2015;0,46;0,48;0,48;0,43;16;32;56;1,07;35;5;1,89;
16/07/2015;0,37;0,41;0,38;0,2;7;22;32;0,41;;4;1,23;
15/07/2015;0,21;0,34;0,34;0,18;6;20;30;0,28;32;5;1,03;
14/07/2015;0,2;0,29;0,29;0,22;9;24;38;0,48;22;5;1,3;
13/07/2015;0,26;0,3;0,28;0,22;15;24;46;0,48;20;6;1,2;
12/07/2015;0,16;0,26;0,26;0,16;4;14;21;0,14;13;5;0,56;
11/07/2015;0,15;0,26;0,26;0,16;5;14;21;0,17;24;5;0,54;
10/07/2015;0,33;0,32;0,32;0,38;16;32;57;1,05;33;8;1,72;
09/07/2015;0,27;0,27;0,26;0,2;8;23;35;0,31;18;5;1,08;
08/07/2015;0,2;0,27;0,28;0,17;6;16;25;0,16;;4;0,66;
07/07/2015;0,24;0,31;0,31;0,27;7;18;29;0,67;;5;1,29;
06/07/2015
05/07/2015;0,36;0,4;0,39;0,18;5;14;21;0,36;;5;0,97;
04/07/2015;0,2;0,34;0,33;0,93;8;21;32;2,67;30;6;1,35;
