Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3)
31/12/2015;3;14;19;49;54;9;4;3
30/12/2015;1;5;7;72;71;7;3;3
29/12/2015;1;5;7;69;69;4;3;3
28/12/2015;1;7;10;63;62;15;4;3
27/12/2015;1;6;8;56;57;4;4;3
26/12/2015;1;6;8;58;58;4;3;3
25/12/2015;1;5;7;72;72;3;3;3
24/12/2015;1;7;9;65;64;6;3;3
23/12/2015;1;6;8;72;72;6;3;3
22/12/2015;1;5;7;82;81;4;3;3
21/12/2015;1;7;10;63;57;3;3;4
20/12/2015;2;12;14;55;56;20;3;4
19/12/2015;1;7;9;60;61;31;3;3
18/12/2015;1;7;10;60;60;23;3;3
17/12/2015;1;6;9;62;63;38;3;3
16/12/2015;1;6;8;61;61;38;3;3
15/12/2015;2;6;8;60;62;30;3;3
14/12/2015;2;6;8;67;66;16;2;2
13/12/2015;1;7;9;62;59;7;3;2
12/12/2015;2;11;15;40;37;5;3;2
11/12/2015;3;12;16;29;29;6;3;3
10/12/2015;4;19;25;34;34;10;3;4
09/12/2015;5;20;28;34;39;10;3;4
08/12/2015;2;8;11;64;67;12;3;3
07/12/2015;1;7;9;64;;15;3;3
06/12/2015;2;9;13;54;48;18;3;3
05/12/2015;9;25;38;20;21;18;3;6
04/12/2015;4;18;24;41;48;16;3;4
03/12/2015;2;6;9;68;60;11;3;3
02/12/2015;17;32;58;22;23;16;3;5
01/12/2015;31;34;81;8;8;25;3;7
30/11/2015;13;28;49;16;18;21;3;9
29/11/2015;3;13;18;41;46;10;3;4
28/11/2015;3;9;13;64;67;10;3;3
27/11/2015;3;15;20;56;57;5;2;4
26/11/2015;3;10;15;78;78;23;3;5
25/11/2015;3;7;11;81;79;16;2;2
24/11/2015;3;11;16;56;55;5;3;2
23/11/2015;7;17;27;38;36;7;3;3
22/11/2015;3;9;13;56;61;4;3;3
21/11/2015;3;8;12;74;68;;3;12
20/11/2015;3;13;18;26;23;26;3;3
19/11/2015;5;17;24;25;23;17;3;5
18/11/2015;11;23;39;17;20;18;3;6
17/11/2015;2;11;15;33;36;9;3;3
16/11/2015;7;21;32;28;24;17;3;8
15/11/2015;8;26;38;22;22;10;3;6
14/11/2015;5;17;24;33;36;8;3;3
13/11/2015;10;25;40;23;19;17;3;7
12/11/2015;6;22;31;31;34;22;3;7
11/11/2015;5;24;31;28;27;14;3;10
10/11/2015;10;24;39;20;18;19;4;18
09/11/2015;12;30;48;29;35;21;3;5
