Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);O3 (µg/m3)
31/12/2015;11;31;49;16;9;
30/12/2015;2;9;12;9;4;
29/12/2015;6;16;25;9;3;
28/12/2015;2;11;15;15;8;
27/12/2015;3;13;17;8;;
26/12/2015;3;12;16;8;5;
25/12/2015;2;13;17;7;4;
24/12/2015;2;12;15;10;5;
23/12/2015;11;35;51;14;8;
22/12/2015;3;18;22;9;4;
21/12/2015;21;39;72;14;7;
20/12/2015;5;22;30;23;12;
19/12/2015;3;12;17;30;12;
18/12/2015;3;16;20;23;11;
17/12/2015;4;21;28;36;15;
16/12/2015;17;42;68;41;20;
15/12/2015;2;12;15;31;13;
14/12/2015;2;9;13;23;6;
13/12/2015;4;24;31;19;7;
12/12/2015;6;26;35;19;7;
11/12/2015;12;30;49;24;10;
10/12/2015;63;46;142;31;14;
09/12/2015;28;42;86;24;10;
08/12/2015;3;22;26;21;9;
07/12/2015;2;10;14;24;13;
06/12/2015;5;17;24;30;14;
05/12/2015;32;35;84;27;13;
04/12/2015;66;52;153;34;15;
03/12/2015;9;31;44;23;10;
02/12/2015;109;58;224;39;22;
01/12/2015;119;50;233;41;25;
30/11/2015;79;43;164;33;19;
29/11/2015;17;32;59;19;9;
28/11/2015;5;28;35;16;7;
27/11/2015;14;39;60;14;5;
26/11/2015;3;14;19;28;8;
25/11/2015;3;13;17;23;6;
24/11/2015;28;43;86;22;11;
23/11/2015;26;47;87;22;11;
22/11/2015;5;21;29;10;5;
21/11/2015;2;6;9;18;6;
20/11/2015;16;23;48;31;15;
19/11/2015;47;39;112;32;17;
18/11/2015;69;44;149;36;20;
17/11/2015;17;35;61;27;15;
16/11/2015;64;39;137;33;20;
15/11/2015;21;30;63;17;10;
14/11/2015;13;22;41;15;7;
13/11/2015;37;36;92;27;14;
12/11/2015;30;35;81;31;18;
11/11/2015;19;38;66;27;17;
10/11/2015;38;28;86;34;20;
09/11/2015;48;44;118;29;17;
08/11/2015;5;19;26;13;7;
07/11/2015;8;23;35;12;6;
06/11/2015;18;31;59;15;6;
05/11/2015;9;19;33;9;4;
04/11/2015;8;18;30;10;5;
03/11/2015;8;21;33;9;4;
02/11/2015;9;20;35;18;9;
01/11/2015;3;15;20;20;11;
31/10/2015;3;11;16;13;7;
30/10/2015;5;16;23;14;5;
29/10/2015;4;13;19;8;;
28/10/2015;12;22;40;10;4;
27/10/2015;6;19;29;13;6;
26/10/2015;4;16;22;18;10;
25/10/2015;6;21;29;19;10;
24/10/2015;12;27;46;23;12;
23/10/2015;39;42;102;29;13;
22/10/2015;32;34;82;24;13;
21/10/2015;28;32;75;21;11;
20/10/2015;4;13;20;17;6;
19/10/2015;36;27;81;26;15;
18/10/2015;6;21;31;21;11;
17/10/2015;11;26;43;20;10;
16/10/2015;26;35;76;21;10;
15/10/2015;27;36;78;18;10;
14/10/2015;21;33;65;19;9;
13/10/2015;17;18;44;26;13;
12/10/2015;7;17;29;27;14;
11/10/2015;5;25;33;24;13;
10/10/2015;10;32;47;20;9;
09/10/2015;21;31;63;;9;
08/10/2015;13;28;48;;6;
07/10/2015;13;25;45;14;5;
06/10/2015;3;11;17;;5;
05/10/2015;3;7;13;;5;
04/10/2015;4;15;21;;8;
03/10/2015;6;25;34;;11;
02/10/2015;6;30;40;;11;
01/10/2015;22;27;61;30;17;
30/09/2015;21;39;71;22;13;
29/09/2015;24;29;65;27;15;
28/09/2015;15;29;52;22;12;
27/09/2015;11;19;35;18;10;
26/09/2015;10;22;36;19;10;
25/09/2015;19;24;53;25;10;
24/09/2015;13;27;48;19;8;
23/09/2015;6;24;34;12;6;
22/09/2015;4;16;22;15;5;
21/09/2015;17;20;47;19;9;
