Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2016;;;;;;1
30/12/2016;;;;34;29;4
29/12/2016;;;;29;19;1
28/12/2016;;;;40;16;2
27/12/2016;;;;26;15;2
26/12/2016;;;;14;9;1
25/12/2016;;;;13;8;1
24/12/2016;;;;23;14;1
23/12/2016;;;;25;16;0
22/12/2016;;;;28;12;0
21/12/2016;;;;37;21;1
20/12/2016;;;;29;18;1
19/12/2016;;;;31;20;1
18/12/2016;;;;45;26;1
17/12/2016;;;;38;26;1
16/12/2016;;;;38;20;1
15/12/2016;;;;30;16;1
14/12/2016;;;;21;11;1
13/12/2016;;;;25;14;1
12/12/2016;;;;42;25;3
11/12/2016;;;;28;16;1
10/12/2016;;;;27;11;1
09/12/2016;;;;16;9;1
08/12/2016;;;;13;9;1
07/12/2016;;;;24;15;1
06/12/2016;;;;26;15;0
05/12/2016;;;;24;10;0
04/12/2016;;;;17;8;0
03/12/2016;;;;22;13;2
02/12/2016;;;;30;16;1
01/12/2016;;;;19;10;2
30/11/2016
29/11/2016
28/11/2016
27/11/2016
26/11/2016;;;;14;10;
25/11/2016;;;;20;10;
24/11/2016
23/11/2016
22/11/2016;11;29;47;22;8;2
21/11/2016;11;33;49;13;5;5
20/11/2016;9;22;37;9;5;4
19/11/2016;5;15;22;19;9;2
18/11/2016;25;23;61;36;18;2
17/11/2016;;;;29;19;5
16/11/2016;;;;24;17;3
15/11/2016;;;;22;15;2
14/11/2016;6;14;23;17;9;1
13/11/2016;2;5;8;13;6;1
12/11/2016;2;16;20;16;10;1
11/11/2016;3;21;25;16;9;2
10/11/2016;3;18;22;18;8;0
09/11/2016;4;13;18;16;9;1
08/11/2016;4;22;28;14;7;1
07/11/2016;3;22;27;10;5;1
06/11/2016;2;7;10;7;3;2
05/11/2016;2;11;14;20;10;1
04/11/2016;22;27;61;33;20;3
03/11/2016;15;27;50;40;29;5
02/11/2016;10;25;41;34;25;3
01/11/2016;4;19;25;25;19;2
31/10/2016;11;29;46;24;13;2
30/10/2016;9;22;36;;;3
29/10/2016;9;21;35;24;15;1
28/10/2016;16;18;43;31;22;4
27/10/2016;2;13;16;24;17;2
26/10/2016;11;19;35;38;23;2
25/10/2016;23;31;67;32;15;1
24/10/2016
23/10/2016
22/10/2016
21/10/2016;9;20;34;20;10;2
20/10/2016;7;24;34;18;9;1
19/10/2016;6;22;31;18;9;1
18/10/2016;6;19;28;26;16;2
17/10/2016;8;21;33;27;17;1
16/10/2016;2;14;18;19;11;1
15/10/2016;5;22;30;16;10;4
14/10/2016;4;16;22;23;13;2
13/10/2016;6;18;28;25;12;1
12/10/2016;5;25;33;28;16;1
11/10/2016;5;19;26;19;11;2
10/10/2016;5;16;23;19;9;2
09/10/2016;1;5;8;15;10;1
08/10/2016;2;10;13;20;12;1
07/10/2016;2;11;14;18;11;1
06/10/2016;5;18;26;20;10;1
05/10/2016;2;16;20;26;13;1
04/10/2016;8;12;25;40;21;3
