Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2016;7;25;36;16;13
30/12/2016;50;42;118;29;20
29/12/2016;60;42;134;28;18
28/12/2016;30;36;81;25;13
27/12/2016;19;33;62;15;9
26/12/2016;34;36;87;18;11
25/12/2016;5;20;28;12;8
24/12/2016;25;32;71;20;14
23/12/2016;46;38;108;24;13
22/12/2016;17;42;68;15;9
21/12/2016;36;55;110;25;14
20/12/2016;28;43;85;29;10
19/12/2016;53;33;113;35;16
18/12/2016;27;31;72;34;18
17/12/2016;51;39;116;39;19
16/12/2016;52;45;124;30;16
15/12/2016;15;27;50;25;9
14/12/2016;4;25;30;22;8
13/12/2016;26;35;75;25;11
12/12/2016;87;60;193;34;20
11/12/2016;20;45;75;25;14
10/12/2016;17;40;65;19;11
09/12/2016;9;27;41;17;9
08/12/2016;1;9;10;14;7
07/12/2016;20;39;69;24;12
06/12/2016;15;41;63;24;14
05/12/2016;10;34;49;20;9
04/12/2016;0;6;6;14;6
03/12/2016;14;23;44;20;10
02/12/2016;54;43;124;27;16
01/12/2016;14;28;50;20;11
30/11/2016;3;14;19;22;10
29/11/2016;30;35;80;24;13
28/11/2016;34;41;93;32;19
27/11/2016;10;23;38;19;11
26/11/2016;2;17;19;12;6
25/11/2016;21;33;65;20;10
24/11/2016;4;23;28;11;5
23/11/2016;7;31;42;11;5
22/11/2016;34;43;95;23;13
21/11/2016;3;19;24;14;5
20/11/2016;0;7;8;8;4
19/11/2016;2;13;15;14;6
18/11/2016;47;31;103;32;17
17/11/2016;74;37;151;32;21
16/11/2016;52;37;117;28;18
15/11/2016;49;35;109;19;13
14/11/2016;21;28;60;16;7
13/11/2016;0;11;11;12;4
12/11/2016;5;30;38;15;9
11/11/2016;4;31;38;18;8
10/11/2016;9;34;47;17;7
09/11/2016;2;21;23;15;5
08/11/2016;14;35;57;14;8
07/11/2016;6;27;36;8;5
06/11/2016;0;10;11;6;4
05/11/2016;1;20;22;16;9
04/11/2016;40;37;97;36;21
03/11/2016;35;44;98;41;25
02/11/2016;42;43;108;36;22
01/11/2016;6;22;31;19;12
31/10/2016;26;32;71;25;14
30/10/2016;14;24;45;22;12
29/10/2016;14;32;54;27;14
28/10/2016;29;37;81;30;17
27/10/2016;18;30;57;20;11
26/10/2016;25;22;61;24;12
25/10/2016;29;35;78;27;14
24/10/2016;10;21;37;10;4
23/10/2016;0;10;11;8;3
22/10/2016;4;19;24;17;10
21/10/2016;27;31;73;20;12
20/10/2016;24;34;70;18;10
19/10/2016;23;27;63;19;10
18/10/2016;20;23;54;16;9
17/10/2016;20;25;55;20;12
16/10/2016;3;21;24;15;11
15/10/2016;2;16;18;13;5
14/10/2016;7;27;37;18;8
13/10/2016;19;23;52;16;9
12/10/2016;1;17;18;19;11
11/10/2016;17;29;55;19;11
10/10/2016;20;30;60;16;
09/10/2016;2;18;21;11;5
08/10/2016;7;21;31;18;10
07/10/2016;9;21;34;16;8
06/10/2016;18;27;55;17;7
05/10/2016;9;27;41;17;7
04/10/2016;22;25;59;35;14
03/10/2016;15;29;51;34;11
02/10/2016;5;18;25;27;7
01/10/2016;1;16;18;24;4
30/09/2016;5;19;27;36;16
29/09/2016;7;20;30;31;10
28/09/2016;8;20;32;23;6
27/09/2016;27;30;72;29;10
26/09/2016;18;29;56;30;8
25/09/2016;0;11;12;25;7
24/09/2016;2;19;21;33;13
23/09/2016;18;25;53;26;8
22/09/2016;12;22;40;29;9
21/09/2016;15;25;47;28;10
20/09/2016;17;30;56;24;8
19/09/2016;16;21;46;25;9
18/09/2016;3;14;18;19;5
17/09/2016;1;12;13;19;5
16/09/2016;4;24;30;19;5
15/09/2016;0;8;8;15;3
14/09/2016;13;25;45;21;7
13/09/2016;8;20;31;26;9
12/09/2016;7;23;34;34;14
11/09/2016;2;19;22;25;11
10/09/2016;7;22;32;24;8
09/09/2016;10;21;35;26;7
08/09/2016;3;20;24;19;4
07/09/2016;7;27;38;37;15
06/09/2016;10;31;47;24;12
05/09/2016;17;25;51;26;14
04/09/2016;4;23;29;26;13
03/09/2016;2;23;26;19;10
02/09/2016;9;23;37;21;9
01/09/2016;12;21;39;20;9
31/08/2016;10;24;39;18;8
30/08/2016;4;14;19;15;7
29/08/2016;7;15;25;14;4
28/08/2016;0;9;9;19;10
27/08/2016;1;15;17;26;16
26/08/2016;1;18;20;26;14
25/08/2016;4;19;24;29;14
24/08/2016;1;11;12;29;18
23/08/2016;8;18;30;29;14
22/08/2016;6;27;36;19;8
21/08/2016;3;14;19;16;5
20/08/2016;1;12;13;18;5
19/08/2016;6;19;27;19;8
18/08/2016;1;13;15;15;6
17/08/2016;1;14;16;30;19
16/08/2016;2;15;18;28;17
15/08/2016;1;16;18;;14
14/08/2016;2;15;18;33;16
13/08/2016;3;18;22;25;12
12/08/2016;6;19;28;18;8
11/08/2016;7;16;26;18;7
10/08/2016;7;16;26;19;7
09/08/2016;2;10;12;15;5
08/08/2016;7;17;27;17;8
07/08/2016;4;12;18;16;6
06/08/2016;6;10;19;11;5
05/08/2016;10;13;29;14;5
04/08/2016;7;14;25;15;6
03/08/2016;8;16;28;18;8
02/08/2016;7;16;27;16;7
01/08/2016;5;14;21;15;5
31/07/2016;0;5;5;9;3
30/07/2016;1;8;9;14;4
29/07/2016;7;14;24;14;7
28/07/2016;7;18;29;13;7
27/07/2016;5;13;21;15;6
