Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);SO2 (µg/m3)
31/12/2017;1;6;8;8;;;
30/12/2017;3;10;14;7;;;
29/12/2017;3;13;17;10;;;
28/12/2017;1;9;11;12;;;
27/12/2017;1;7;9;10;;;
26/12/2017;2;10;13;5;;;
25/12/2017;2;9;12;8;;;
24/12/2017;10;19;35;21;;;
23/12/2017;5;24;32;10;;;
22/12/2017;18;31;59;17;;;
21/12/2017;14;28;49;18;;;
20/12/2017;9;25;38;15;;;
19/12/2017;7;23;34;14;;;
18/12/2017;3;13;19;9;;;
17/12/2017;2;14;17;7;;;
16/12/2017;2;15;16;10;;;
15/12/2017;2;10;13;7;;;
14/12/2017;3;17;21;8;;;
13/12/2017;1;8;10;5;;;
12/12/2017;2;12;15;7;;;
11/12/2017;1;9;11;5;;;
10/12/2017;1;9;11;8;;;
09/12/2017;1;9;11;5;;;
08/12/2017;1;14;16;8;;;
07/12/2017;1;11;13;7;;;
06/12/2017;4;17;23;10;;;
05/12/2017;8;19;31;8;;;
04/12/2017;6;21;31;9;;;
03/12/2017;2;11;13;6;;;
02/12/2017;2;16;19;7;;;
01/12/2017;2;17;20;7;;;
30/11/2017;1;10;13;4;;;
29/11/2017;2;14;17;5;;;
28/11/2017;3;17;22;8;;;
27/11/2017;9;21;34;11;;;
26/11/2017;4;14;20;8;;;
25/11/2017;2;13;16;8;;;
24/11/2017;3;23;27;15;;;
23/11/2017;1;8;10;17;;;
22/11/2017;2;13;16;14;;;
21/11/2017;9;27;41;13;;;
20/11/2017;10;22;37;10;;;
19/11/2017;6;19;28;11;;;
18/11/2017;6;22;31;15;;;
17/11/2017;14;33;54;19;;;
16/11/2017;23;33;68;18;;;
15/11/2017;13;24;44;13;;;
14/11/2017;7;20;31;11;;;
13/11/2017;2;17;20;12;;;
12/11/2017;1;8;10;7;;;
11/11/2017;2;13;16;6;;;
10/11/2017;4;20;26;7;;;
09/11/2017;3;21;25;8;;;
08/11/2017;2;17;20;7;;;
07/11/2017;3;17;22;9;;;
06/11/2017;2;20;24;10;;;
05/11/2017;1;8;9;7;;;
04/11/2017;3;17;21;9;;;
03/11/2017;3;19;24;13;;;
02/11/2017;2;14;16;16;;;
01/11/2017;2;11;14;14;;;
31/10/2017;6;15;25;15;;;
30/10/2017;2;17;20;10;;;
29/10/2017;2;17;21;13;;;
28/10/2017;2;14;18;14;;;
27/10/2017;4;21;26;19;;;
26/10/2017;8;35;47;24;;;
25/10/2017;14;41;62;24;;;
24/10/2017;8;34;47;20;;;
23/10/2017;4;22;28;12;;;
22/10/2017;1;9;11;11;;;
21/10/2017;1;7;9;16;;;
20/10/2017;5;22;30;11;;;
19/10/2017;2;12;16;4;;;
18/10/2017;3;19;24;19;;;
17/10/2017;2;21;24;34;;;
16/10/2017;1;11;13;35;;;
15/10/2017;1;7;9;25;;;
14/10/2017;2;14;17;33;;;
13/10/2017;6;26;35;34;;;
12/10/2017;3;20;25;21;;;
11/10/2017;3;20;24;18;;;
10/10/2017;6;24;32;15;;;
09/10/2017;4;21;28;16;;;
08/10/2017;2;17;21;14;;;
07/10/2017;3;14;18;12;;;
06/10/2017;2;13;16;13;;;
05/10/2017;4;20;26;18;;;
04/10/2017;9;23;37;19;;;
03/10/2017;8;14;27;13;;;
02/10/2017;9;19;32;14;;;
01/10/2017;4;10;16;11;;;
30/09/2017;1;12;14;9;;;
29/09/2017;6;22;31;23;;;
28/09/2017;4;28;35;22;;;
27/09/2017;3;21;26;14;;;
26/09/2017;3;14;18;12;;;
25/09/2017;6;15;24;13;;;
24/09/2017;9;18;32;20;;;
23/09/2017;1;12;14;17;;;
22/09/2017;2;17;20;11;;;
21/09/2017;5;20;27;16;;;
20/09/2017;4;22;28;12;;;
19/09/2017;2;14;18;10;;;
18/09/2017;3;17;21;9;;;
17/09/2017;1;8;10;7;;;
16/09/2017;2;9;12;5;;;
15/09/2017;2;11;14;9;;;
14/09/2017;2;13;16;20;;;
13/09/2017;4;15;20;12;;;
12/09/2017;2;12;15;10;;;
11/09/2017;1;8;11;14;;;
10/09/2017;1;7;9;11;;;
09/09/2017;1;6;8;11;;;
08/09/2017;2;12;16;16;;;
07/09/2017;2;12;16;16;;;
06/09/2017;2;13;16;13;;;
05/09/2017;4;17;23;12;;;
04/09/2017;4;17;23;11;;;
03/09/2017;2;13;16;11;;;
02/09/2017;2;9;12;11;;;
01/09/2017;2;8;11;10;;;
31/08/2017;2;8;10;10;;;
30/08/2017;2;9;11;15;;;
29/08/2017;2;13;16;16;;;
28/08/2017;1;10;13;17;;;
27/08/2017;2;10;13;17;;;
26/08/2017;2;13;16;15;;;
25/08/2017;2;11;15;15;;;
24/08/2017;2;13;16;17;;;
23/08/2017;3;14;19;24;;;
22/08/2017;3;20;25;29;;;
21/08/2017;3;19;23;14;;;
20/08/2017;1;10;12;14;;;
19/08/2017;1;7;10;11;;;
18/08/2017;2;15;19;13;;;
17/08/2017;3;14;18;11;;;
16/08/2017;3;14;19;12;;;
15/08/2017;1;12;14;10;;;
14/08/2017;2;14;17;19;;;
13/08/2017;2;10;13;12;;;
12/08/2017;2;10;13;12;;;
11/08/2017;2;11;14;14;;;
10/08/2017;2;10;12;13;;;
09/08/2017;1;7;9;9;;;
08/08/2017;2;9;11;10;;;
07/08/2017;2;9;12;15;;;
06/08/2017;1;6;8;;;;
05/08/2017;1;8;10;16;;;
04/08/2017;2;12;15;17;;;
03/08/2017;2;13;17;17;;;
02/08/2017;4;17;23;18;;;
01/08/2017;2;11;15;13;;;
31/07/2017;2;10;13;10;;;
30/07/2017;2;9;12;2;;;
29/07/2017;2;10;13;11;;;
28/07/2017;2;15;19;11;;;
27/07/2017;3;14;18;19;;;
26/07/2017;3;15;20;17;;;
25/07/2017;1;8;10;10;;;
24/07/2017;2;9;12;8;;;
23/07/2017;2;10;12;15;;;
22/07/2017;2;10;13;12;;;
21/07/2017;3;15;19;11;;;
20/07/2017;2;15;18;10;;;
19/07/2017;2;13;16;26;;;
18/07/2017;2;14;17;28;;;
17/07/2017;3;24;29;32;;;
16/07/2017;2;11;14;18;;;
15/07/2017;1;10;12;10;;;
14/07/2017;2;11;15;7;;;
13/07/2017;3;16;20;11;;;
12/07/2017;3;16;21;14;;;
11/07/2017;4;15;22;14;;;
10/07/2017;2;10;14;10;;;
09/07/2017;2;10;13;20;;;
08/07/2017;1;13;15;20;;;
07/07/2017;3;16;20;19;;;
06/07/2017;5;29;36;28;;;
05/07/2017;2;11;14;27;;;
04/07/2017;3;15;19;23;;;
03/07/2017;4;12;17;15;;;
02/07/2017;2;9;12;13;;;
01/07/2017;1;8;10;13;;;
30/06/2017;1;7;10;9;;;
29/06/2017;1;5;7;11;;;
28/06/2017;2;7;9;11;;;
27/06/2017;5;18;26;17;;;
26/06/2017;3;14;19;16;;;
25/06/2017;2;11;14;15;;;
24/06/2017;2;10;12;20;;;
23/06/2017;2;14;17;27;;;
22/06/2017;2;16;19;31;;;
