Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2017;0,14;0,13;1;8;10;22;2
30/12/2017;0,25;0,29;11;24;40;7;3
29/12/2017;0,3;0,27;11;36;52;13;4
28/12/2017;0,22;0,22;8;29;40;14;3
27/12/2017;0,2;0,18;3;18;22;15;3
26/12/2017;0,18;0,19;6;21;30;7;3
25/12/2017;0,19;0,22;6;18;27;8;3
24/12/2017;0,27;0,25;21;36;66;13;5
23/12/2017;0,4;0,44;13;40;59;14;2
22/12/2017;0,46;0,44;61;55;148;35;5
21/12/2017;0,37;0,35;48;49;122;31;4
20/12/2017;0,28;0,27;19;40;68;20;2
19/12/2017;0,28;0,27;33;43;93;22;2
18/12/2017;0,28;0,31;16;36;60;13;3
17/12/2017;0,36;0,35;12;44;62;9;3
16/12/2017;0,28;0,26;7;32;42;16;4
15/12/2017;0,21;0,2;3;27;31;15;2
14/12/2017;0,23;0,24;12;36;54;17;5
13/12/2017;0,19;0,19;3;18;21;8;2
12/12/2017;0,22;0,22;8;37;49;8;2
11/12/2017;0,19;0,19;4;22;27;9;2
10/12/2017;0,17;0,17;1;14;15;10;2
09/12/2017;0,19;0,19;5;27;33;6;2
08/12/2017;0,23;0,23;3;30;34;11;3
07/12/2017;0,21;0,21;4;27;33;9;6
06/12/2017;0,33;0,35;25;44;82;19;10
05/12/2017;0,35;0,35;39;48;107;22;6
04/12/2017;0,33;0,32;52;55;134;20;7
03/12/2017;0,32;0,33;15;43;65;15;4
02/12/2017;0,32;0,32;8;33;45;12;2
01/12/2017;0,27;0,25;11;41;58;12;3
30/11/2017;0,28;0,28;10;36;51;9;4
29/11/2017;0,28;0,26;9;45;59;9;4
28/11/2017;0,26;0,27;20;34;64;19;7
27/11/2017;0,32;0,32;41;43;105;22;7
26/11/2017;0,24;0,24;8;28;41;12;4
25/11/2017;0,22;0,21;4;26;31;14;3
24/11/2017;0,23;0,21;4;25;30;28;2
23/11/2017;0,18;0,2;2;11;13;20;1
22/11/2017;0,26;0,27;5;29;36;21;3
21/11/2017;0,35;0,35;56;58;144;38;16
20/11/2017;0,4;;58;48;136;;11
19/11/2017;0,34;0,36;22;38;71;;6
18/11/2017;0,35;0,34;30;37;83;;7
17/11/2017;0,4;0,41;55;47;131;;10
16/11/2017;0,41;0,39;65;51;150;46;11
15/11/2017;0,35;0,33;48;47;120;27;7
14/11/2017;0,28;0,27;24;39;75;;4
13/11/2017;0,17;0,16;3;16;19;13;1
12/11/2017;0,18;0,21;4;18;23;10;3
11/11/2017;0,25;0,26;4;23;29;12;4
10/11/2017;0,31;0,29;22;37;70;14;4
09/11/2017;0,29;0,29;10;33;49;;5
08/11/2017;0,28;0,26;7;39;49;;3
07/11/2017;0,27;;17;35;59;;5
06/11/2017;0,23;0,2;5;27;35;17;4
05/11/2017;0,15;0,16;2;11;14;8;6
04/11/2017;0,23;0,25;13;35;54;18;9
03/11/2017;0,24;0,25;17;41;67;22;6
02/11/2017;0,31;0,28;9;39;52;20;5
01/11/2017;0,21;0,23;4;25;30;15;5
31/10/2017;0,31;0,29;25;38;75;22;6
30/10/2017;0,2;0,19;3;22;27;6;3
29/10/2017;0,26;0,27;9;30;44;16;6
28/10/2017;0,27;0,25;6;25;34;11;2
27/10/2017;0,29;0,31;27;35;75;27;7
26/10/2017;0,34;0,43;14;47;68;27;8
25/10/2017;0,56;0,48;57;59;145;44;14
24/10/2017;0,33;0,31;32;55;103;31;14
23/10/2017;0,25;0,22;19;39;67;;9
22/10/2017;0,18;0,19;2;17;20;;4
21/10/2017;0,24;0,24;2;12;15;21;5
20/10/2017;0,29;0,3;26;36;75;24;6
19/10/2017;0,25;0,24;11;30;46;10;3
18/10/2017;0,34;0,39;13;41;60;24;3
17/10/2017;0,34;0,3;6;37;46;40;4
16/10/2017;0,21;0,2;3;14;18;40;2
15/10/2017;0,21;0,22;3;15;18;28;4
14/10/2017;0,38;0,4;6;30;39;37;4
13/10/2017;0,42;0,41;22;35;69;47;9
12/10/2017;0,28;0,27;11;32;48;30;5
11/10/2017;0,27;0,27;8;33;44;27;7
10/10/2017;0,28;0,27;24;36;72;27;8
09/10/2017;0,29;0,3;18;36;62;24;8
08/10/2017;0,26;0,27;8;28;40;18;11
07/10/2017;0,3;0,28;10;24;39;16;3
06/10/2017;0,21;0,21;3;17;21;13;2
05/10/2017;0,26;0,25;4;21;27;18;3
04/10/2017;0,21;0,21;17;19;45;27;4
03/10/2017;0,26;0,28;20;22;53;22;3
02/10/2017;0,34;0,34;29;38;82;23;3
01/10/2017;0,31;0,29;17;32;57;20;6
30/09/2017;0,26;0,24;2;17;21;8;1
29/09/2017;0,29;;14;28;49;35;6
28/09/2017;0,29;0,28;15;39;61;;7
27/09/2017;0,23;0,23;11;40;56;23;7
26/09/2017;0,26;0,25;11;28;45;18;3
25/09/2017;0,24;0,23;9;25;37;16;3
24/09/2017;0,27;0,29;6;22;30;24;7
23/09/2017;0,25;0,26;3;21;26;21;3
22/09/2017;0,27;0,25;6;24;33;17;2
21/09/2017;0,31;0,31;20;31;61;26;7
20/09/2017;0,28;0,27;18;38;65;23;7
19/09/2017;0,26;0,26;10;24;38;11;3
18/09/2017;0,26;0,24;10;28;43;10;3
17/09/2017;0,17;0,19;3;15;20;11;6
16/09/2017;0,24;0,23;3;20;24;9;4
15/09/2017;0,27;0,27;8;24;36;14;4
14/09/2017;0,19;0,24;4;21;27;;3
13/09/2017;0,34;0,3;14;24;45;22;5
12/09/2017;0,25;0,27;5;24;30;19;4
11/09/2017;0,22;0,2;3;17;21;;4
10/09/2017;0,2;0,18;2;15;18;14;4
09/09/2017;0,17;0,18;2;11;13;12;4
08/09/2017;0,21;0,19;9;20;33;20;5
07/09/2017;0,19;0,2;6;19;28;15;3
06/09/2017;0,25;0,26;3;17;20;17;2
05/09/2017;0,25;0,27;13;20;40;16;5
04/09/2017;0,32;0,3;17;25;51;15;4
03/09/2017;0,24;0,25;5;22;29;16;6
02/09/2017;0,24;0,24;3;17;22;14;5
01/09/2017;0,24;0,23;5;18;26;13;5
