Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2017;0,21;0,11;0,12;;1;11;13;0,09;12;2;0,26
30/12/2017;0,37;0,22;0,26;;21;37;70;1,06;8;4;1,62
29/12/2017;;0,35;0,34;;25;44;82;1,51;14;4;2,04
28/12/2017;;0,25;0,25;;11;41;58;0,5;15;3;0,99
27/12/2017;0,3;0,16;0,15;;3;21;25;0,19;11;3;0,43
26/12/2017;0,33;0,17;0,17;;17;33;60;0,6;8;4;1,17
25/12/2017;0,43;0,2;0,22;;13;28;48;0,45;11;5;0,88
24/12/2017;0,48;0,24;0,23;;21;37;69;2,73;12;5;2,29
23/12/2017;0,62;0,25;0,28;;11;41;58;0,77;10;3;1,88
22/12/2017;;0,47;0,48;0,57;66;54;154;2,37;29;6;3,76
21/12/2017;;0,42;0,37;0,51;56;52;136;2,17;25;4;4,34
20/12/2017;;0,32;0,34;0,41;40;47;107;1,54;20;4;2,51
19/12/2017;1,19;0,35;0,33;;39;43;101;3,45;18;3;3,49
18/12/2017;;0,28;0,3;1,68;39;44;103;3,61;15;5;2,81
17/12/2017;;0,31;0,3;0,21;21;50;81;0,81;10;3;1,31
16/12/2017;0,5;0,26;0,25;;9;43;56;0,45;12;3;0,9
15/12/2017;0,31;0,19;0,18;;5;33;40;0,24;9;2;0,53
14/12/2017;0,29;0,25;0,26;;22;38;72;0,9;12;4;1,55
13/12/2017;0,38;0,21;0,23;;10;35;49;0,83;10;5;1,43
12/12/2017;0,32;0,24;0,2;;29;49;92;1;10;4;1,64
11/12/2017;0,29;0,11;0,12;;7;30;41;0,55;5;2;0,81
10/12/2017;0,21;0,17;0,19;;3;20;24;0,2;8;3;0,35
09/12/2017;0,45;0,24;0,24;;14;43;63;0,41;12;4;0,74
08/12/2017;0,5;0,27;0,28;;7;38;49;0,41;11;3;0,82
07/12/2017;0,49;0,27;0,26;;29;56;100;1,12;15;8;2,2
06/12/2017;;0,3;0,32;0,32;36;44;98;1,32;22;10;2,07
05/12/2017;;0,31;0,32;0,47;48;45;118;1,94;26;7;3,34
04/12/2017;;0,39;0,39;;60;53;145;1,89;23;7;3,61
03/12/2017;;0,34;0,32;;29;43;86;0,68;19;8;1,1
