Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2017;1,33;0,65;2;4;7;75;73;13;4;8;1,44
30/12/2017;1,45;0,69;2;6;9;55;52;10;4;4;1,61
29/12/2017;1,64;0,4;9;16;30;54;58;14;4;3;1,22
28/12/2017;1,31;0,33;19;19;47;60;58;17;4;4;1,05
27/12/2017;0,48;0,03;2;5;8;75;75;17;5;4;0,25
26/12/2017;1,51;0,8;3;7;11;64;64;9;5;4;2,14
25/12/2017;1,83;0,76;3;7;11;60;51;12;4;4;1,9
24/12/2017;3,33;1,21;14;24;46;21;21;14;3;7;2,48
23/12/2017;5,91;2,15;3;26;31;34;37;11;2;4;4
22/12/2017;1,23;1,24;5;20;28;26;24;25;2;4;1,37
21/12/2017;;;4;20;27;;;24;3;;
20/12/2017;;;5;19;26;35;34;24;3;5;
19/12/2017;0,99;0,31;4;19;25;39;44;21;3;2;1,02
18/12/2017;0,88;0,3;5;10;18;46;43;12;3;3;0,74
17/12/2017;1,09;0,69;3;7;11;50;51;11;3;2;1,49
16/12/2017;0,87;0,7;2;7;9;66;68;20;3;2;0,48
15/12/2017;0,45;0;1;4;6;78;79;14;4;3;0,18
14/12/2017;0,65;0,23;2;7;11;70;66;8;5;2;0,58
13/12/2017;2,41;1,89;4;10;17;48;45;4;5;3;4,36
12/12/2017;1,37;0,74;16;17;41;46;54;7;5;2;1,55
11/12/2017;0,5;0,02;2;5;7;74;73;8;7;2;0,25
10/12/2017;1,47;0,92;10;14;28;58;53;10;7;4;1,89
09/12/2017;1,17;0,45;7;10;21;49;53;10;5;2;1,17
08/12/2017;0,96;0,23;2;9;12;60;57;14;4;3;0,69
07/12/2017;1,42;1,33;3;12;16;51;51;14;4;6;2,66
06/12/2017;1,28;0,78;3;13;18;36;32;13;4;6;1,52
05/12/2017;1,72;1,56;4;19;26;28;29;15;4;7;2,48
04/12/2017;1,02;0,55;6;15;24;36;39;13;3;3;1,14
03/12/2017;1,53;0,62;2;9;13;36;37;13;4;3;1,43
02/12/2017;2,06;0,44;2;11;14;60;63;17;4;5;1,23
01/12/2017;1,27;0,39;3;10;14;74;74;14;4;4;0,96
30/11/2017;0,93;0,4;2;8;12;63;60;9;4;3;0,86
29/11/2017;1,24;0,45;2;8;11;61;61;9;5;3;1,01
28/11/2017;0,99;0,46;3;13;17;;;10;5;;1,08
27/11/2017;4,53;1,91;16;31;55;16;17;20;4;9;4,31
26/11/2017;1,07;0,32;1;9;12;40;44;9;3;3;0,87
25/11/2017;0,67;0,09;1;7;9;62;64;15;3;2;0,44
24/11/2017;0,77;0,57;1;13;15;64;66;18;4;3;1,1
23/11/2017;1,39;1,38;2;10;14;66;64;26;6;3;2,83
22/11/2017;1,85;2,03;2;16;20;66;67;27;6;5;3,32
21/11/2017;1,37;1,04;4;21;27;42;36;17;4;4;2,13
20/11/2017;1,49;1,41;11;29;47;22;22;22;4;8;1,93
19/11/2017;1,74;0,81;3;17;21;33;33;19;3;6;1,85
18/11/2017;1,52;0,89;4;18;24;30;30;21;3;3;1,36
17/11/2017;2,03;1,06;5;23;31;24;21;26;4;5;2,23
16/11/2017;1,51;1,06;6;26;35;20;20;25;4;5;1,79
15/11/2017;1,96;1,28;7;28;38;22;26;22;5;;2,28
14/11/2017;2,44;1,24;3;15;19;47;53;18;4;;2,29
13/11/2017;0,46;0,01;1;9;11;76;77;21;2;2;0,26
12/11/2017;0,37;0;1;5;7;73;72;8;2;2;0,16
11/11/2017;0,4;0;1;6;7;75;76;9;2;2;0,14
10/11/2017;0,93;0,18;1;8;10;69;67;11;1;2;0,77
09/11/2017;0,49;0,09;1;9;11;72;72;15;2;2;0,31
08/11/2017;2,31;0,19;1;9;11;72;74;13;2;2;0,92
07/11/2017;2,27;1,17;8;18;30;49;46;18;2;5;2,21
06/11/2017;0,84;0,9;2;11;14;70;74;26;2;3;0,85
05/11/2017;0,44;0;1;5;6;80;80;15;2;2;0,21
04/11/2017;0,55;0,23;1;10;12;56;51;12;3;3;0,59
03/11/2017;1,66;0,99;2;15;18;53;55;16;3;3;2,44
02/11/2017;2,47;1,66;3;12;16;63;63;23;3;3;3,59
01/11/2017;2,99;2;2;11;14;64;59;22;3;3;4,22
31/10/2017;2,46;1,87;7;26;37;29;30;22;3;6;3,07
30/10/2017;0,45;0,09;1;11;13;59;62;14;1;3;0,37
29/10/2017;0,71;0,21;2;10;12;50;47;15;2;3;0,72
28/10/2017;0,87;0,37;1;13;15;62;67;18;1;3;0,86
27/10/2017;0,66;0,49;4;16;22;50;45;26;1;4;0,96
26/10/2017;2,95;1,19;4;19;25;55;51;34;1;5;2,91
25/10/2017;;;;;;;;36;;;
24/10/2017;2,17;2,21;16;38;62;26;27;29;3;11;3,58
23/10/2017;0,96;0,53;4;17;24;45;47;14;5;6;1,53
22/10/2017;0,43;0,07;1;7;8;65;68;14;4;5;0,49
21/10/2017;0,39;0,09;1;6;7;72;71;22;4;5;0,27
20/10/2017;1,04;0,72;3;15;20;52;52;15;5;6;1,49
19/10/2017;1,09;0,68;4;14;20;51;50;10;6;7;1,37
18/10/2017;0,98;1,03;2;16;19;48;46;20;5;5;1,27
17/10/2017;2,99;3,19;2;19;22;56;60;42;6;9;4,5
16/10/2017;1,36;0,96;2;13;16;69;71;40;5;5;1,88
15/10/2017;1,89;1,73;2;10;12;70;70;36;5;5;3,21
14/10/2017;3,35;2,2;2;19;22;60;53;55;4;7;4
13/10/2017;1,52;0,59;7;32;42;36;37;57;4;8;1,46
12/10/2017;2;1,06;4;18;24;43;45;32;4;10;1,93
11/10/2017;0,9;0,7;2;16;20;57;55;29;4;5;2,82
10/10/2017;0,74;0,64;3;16;21;38;38;19;4;7;1,28
09/10/2017;1,12;0,95;3;15;19;45;47;17;4;6;1,39
08/10/2017;1,39;0,66;2;13;16;48;45;18;4;6;1,73
07/10/2017;1,19;0,95;2;13;17;43;45;18;3;6;1,39
06/10/2017;0,43;0,13;1;11;13;59;63;15;2;3;0,4
05/10/2017;0,52;0,16;2;17;21;50;46;21;3;5;0,93
04/10/2017;4;2,29;12;18;37;27;22;25;4;26;4,33
03/10/2017;1,18;0,62;4;18;25;17;19;16;3;5;1,36
02/10/2017;0,77;0,54;2;21;24;32;36;17;2;4;1,25
01/10/2017;0,66;0,33;1;9;10;43;42;16;2;4;0,69
30/09/2017;0,5;0,17;1;11;13;58;58;12;2;5;0,61
29/09/2017;0,92;0,77;5;19;27;46;48;31;3;9;1,64
28/09/2017;1,7;1,31;3;21;26;59;59;29;3;7;2,46
27/09/2017;;;2;19;22;46;;21;;7;
26/09/2017;0,81;0,81;3;15;20;39;43;19;2;7;1,69
25/09/2017;0,55;0,1;2;10;12;55;58;17;;4;0,51
24/09/2017;0,89;0,28;2;13;16;64;60;27;;8;0,8
23/09/2017;2,63;2,15;2;16;18;60;57;26;;7;3,58
22/09/2017;0,71;0,27;1;12;15;55;57;18;;5;0,79
21/09/2017;0,87;0,65;2;15;18;51;48;22;6;6;1,67
20/09/2017;4,56;2,74;10;26;41;37;39;23;6;13;5,3
19/09/2017;0,82;0,8;2;10;13;51;51;10;5;4;1,34
18/09/2017;0,87;0,39;2;16;19;42;47;10;5;4;1,15
17/09/2017;0,6;0,51;1;6;8;61;60;11;5;4;0,83
16/09/2017;0,94;0,61;1;6;8;64;64;7;5;5;1,36
15/09/2017;0,55;0,26;1;7;9;51;49;11;5;4;0,94
14/09/2017;0,39;0,1;1;7;9;59;59;22;5;3;0,47
13/09/2017;0,66;0,88;2;11;14;38;37;19;5;4;1,62
12/09/2017;0,66;0,53;1;8;10;56;62;14;5;3;0,93
11/09/2017;0,42;0,01;1;6;7;61;58;19;5;3;0,26
10/09/2017;0,71;0,54;1;6;7;66;69;16;5;4;1,66
09/09/2017;0,4;0,01;1;5;6;66;67;13;5;3;0,19
08/09/2017;0,81;1,41;2;10;13;58;54;23;5;5;2,91
07/09/2017;0,91;0,59;2;10;12;49;50;19;4;3;1,38
06/09/2017;0,55;0,11;1;10;12;56;56;15;3;3;0,55
05/09/2017;1,55;1,35;4;14;21;41;39;17;4;7;2,45
