Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2019;10;25;40;11;18;14;3
30/12/2019;3;14;18;26;13;12;3
29/12/2019;11;25;41;12;18;13;3
28/12/2019;26;29;69;6;27;18;4
27/12/2019;29;34;77;10;25;15;5
26/12/2019;13;25;44;41;23;10;4
25/12/2019;6;21;30;16;8;6;3
24/12/2019;15;25;48;21;11;7;2
23/12/2019;9;26;40;36;11;7;2
22/12/2019;1;10;12;64;9;4;1
21/12/2019;2;19;22;45;8;4;1
20/12/2019;6;28;37;40;6;4;1
19/12/2019;1;6;7;60;5;3;0
18/12/2019;4;20;27;40;7;4;1
17/12/2019;3;21;26;45;11;5;1
16/12/2019;1;6;8;62;6;3;1
15/12/2019;1;9;10;65;3;2;1
14/12/2019;3;21;25;42;9;4;1
13/12/2019;1;8;10;66;8;3;1
12/12/2019;11;35;51;31;5;3;1
11/12/2019;13;31;51;32;12;7;4
10/12/2019;19;36;66;11;18;8;5
09/12/2019;3;19;23;48;22;7;5
08/12/2019;7;29;39;16;17;10;5
07/12/2019;28;33;76;6;22;14;5
06/12/2019;23;33;68;9;21;14;5
05/12/2019;31;30;77;11;23;14;4
04/12/2019;20;26;56;11;18;11;4
03/12/2019;20;29;58;13;19;13;3
02/12/2019;8;26;38;18;17;10;4
01/12/2019;18;27;54;22;14;8;4
30/11/2019;4;28;34;34;9;5;4
29/11/2019;52;41;119;10;17;10;3
28/11/2019;36;44;98;13;14;7;3
27/11/2019;13;34;54;29;12;6;3
26/11/2019;3;17;22;43;7;4;3
25/11/2019;25;35;73;18;12;7;3
24/11/2019;3;25;29;37;8;6;3
23/11/2019;1;11;12;64;9;5;3
22/11/2019;2;11;13;56;5;3;3
21/11/2019;20;33;62;28;10;8;3
20/11/2019;5;25;33;33;10;7;3
19/11/2019;28;33;75;10;15;10;4
18/11/2019;15;32;55;19;11;8;5
17/11/2019;4;24;31;37;7;4;5
16/11/2019;4;31;37;29;8;5;5
15/11/2019;5;28;36;41;6;4;5
14/11/2019;6;27;35;43;7;3;5
13/11/2019;14;33;55;17;12;5;5
12/11/2019;23;44;79;10;12;8;3
11/11/2019;8;27;39;34;14;6;3
10/11/2019;2;22;26;40;6;3;5
09/11/2019;3;22;26;45;8;4;5
08/11/2019;4;21;26;47;7;3;4
07/11/2019;4;25;31;42;7;3;3
06/11/2019;14;32;54;25;10;5;4
05/11/2019;6;28;37;35;9;4;4
04/11/2019;5;25;32;37;7;4;4
03/11/2019;2;15;18;52;10;5;4
02/11/2019;8;21;34;23;10;3;5
01/11/2019;6;24;32;13;10;5;5
31/10/2019;11;22;38;31;13;5;5
30/10/2019;18;35;62;15;18;12;5
29/10/2019;12;32;50;20;24;13;4
28/10/2019;14;39;60;26;20;11;5
27/10/2019;1;18;19;56;11;6;5
26/10/2019;3;24;28;38;9;5;5
25/10/2019;20;30;60;9;12;8;4
24/10/2019;19;34;62;24;9;6;5
23/10/2019;16;26;50;19;11;6;5
22/10/2019;18;33;60;6;14;8;5
21/10/2019;17;28;53;19;12;6;4
20/10/2019;2;16;18;40;6;3;3
19/10/2019;4;25;30;35;11;6;3
18/10/2019;7;29;39;22;12;5;3
17/10/2019;3;18;23;43;8;4;4
16/10/2019;3;22;27;50;8;4;4
15/10/2019;8;29;41;30;8;5;3
14/10/2019;2;15;19;61;17;7;2
13/10/2019;2;13;17;61;20;9;3
12/10/2019;1;12;13;62;19;8;3
11/10/2019;9;32;46;32;21;9;3
10/10/2019;18;26;53;19;18;7;2
09/10/2019;6;23;31;32;11;4;2
08/10/2019;7;20;30;37;14;7;3
07/10/2019;12;26;43;20;16;7;3
06/10/2019;5;21;29;18;15;6;3
05/10/2019;6;19;28;26;13;5;3
04/10/2019;13;28;47;21;17;7;4
03/10/2019;10;27;43;24;14;6;3
02/10/2019;6;22;30;35;10;4;3
01/10/2019;13;18;38;31;19;6;4
30/09/2019;14;32;54;18;18;8;3
29/09/2019;6;30;38;34;16;8;2
28/09/2019;3;17;22;39;11;5;0
27/09/2019;12;18;37;40;17;7;4
26/09/2019;9;18;32;35;22;8;5
25/09/2019;7;21;32;29;15;4;5
24/09/2019;4;21;28;41;15;6;5
23/09/2019;9;25;38;19;15;8;5
22/09/2019;1;11;13;50;8;4;3
21/09/2019;1;12;14;72;13;8;4
20/09/2019;9;19;33;58;27;13;5
19/09/2019;5;20;27;39;24;13;4
18/09/2019;10;20;35;29;26;14;2
17/09/2019;12;27;45;31;27;14;3
16/09/2019;8;26;38;29;21;10;1
15/09/2019;3;20;25;36;18;9;1
14/09/2019;6;27;36;35;23;10;1
13/09/2019;8;26;38;29;22;10;2
12/09/2019;13;25;44;31;21;8;2
11/09/2019;5;18;26;61;21;9;2
10/09/2019;7;18;30;47;9;4;3
09/09/2019;8;18;32;32;12;5;3
08/09/2019;4;18;26;34;10;5;4
07/09/2019;8;19;32;36;16;7;4
06/09/2019;8;18;31;38;15;6;4
05/09/2019;6;17;27;42;14;5;3
04/09/2019;6;20;31;39;16;8;4
03/09/2019;14;25;48;33;18;9;5
02/09/2019;8;19;32;31;14;4;4
01/09/2019;2;9;13;39;9;4;3
31/08/2019;2;12;15;44;15;7;3
30/08/2019;8;16;30;39;20;9;4
29/08/2019;6;16;27;41;21;10;3
