Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2019;0,32;0,31;17;35;61;22;18;10
30/12/2019;0,28;0,29;21;32;64;13;10;8
29/12/2019;0,33;0,34;20;33;63;16;13;6
28/12/2019;0,33;0,31;22;34;67;16;12;6
27/12/2019;0,25;0,25;16;33;58;18;12;4
26/12/2019;0,21;0,19;4;22;28;20;9;2
25/12/2019;0,17;0,19;2;14;16;7;6;4
24/12/2019;0,24;0,22;6;19;27;8;7;2
23/12/2019;0,19;0,19;1;15;17;10;6;2
22/12/2019;0,21;0,2;1;7;7;14;8;4
21/12/2019;0,32;0,34;1;16;18;9;6;2
20/12/2019;0,26;0,23;9;35;48;10;8;2
19/12/2019;0,19;0,19;1;11;12;7;5;2
18/12/2019;0,18;0,2;1;11;12;8;5;3
17/12/2019;0,23;0,24;4;32;37;13;8;5
16/12/2019;0,25;0,22;3;24;28;14;9;3
15/12/2019;0,14;0,14;1;7;8;4;4;1
14/12/2019;0,13;0,14;1;7;8;6;5;2
13/12/2019;0,21;0,22;1;11;12;14;7;10
12/12/2019;0,22;0,21;1;13;14;7;5;4
11/12/2019;0,2;0,18;1;15;17;13;8;6
10/12/2019;0,2;0,2;10;25;39;19;11;7
09/12/2019;0,2;0,19;2;18;20;28;13;7
08/12/2019;0,21;0,25;3;15;19;16;10;6
07/12/2019;0,37;0,39;22;31;63;24;17;10
06/12/2019;0,35;0,34;17;33;59;24;17;7
05/12/2019;0,43;0,42;32;37;85;28;17;3
04/12/2019;0,32;0,31;25;31;70;24;16;7
03/12/2019;0,24;0,22;14;25;46;15;10;2
02/12/2019;0,24;0,24;4;21;26;14;10;1
01/12/2019;0,18;0,18;2;19;21;11;8;3
30/11/2019;0,25;0,27;3;28;32;14;11;4
29/11/2019;0,33;0,38;30;43;89;24;17;7
28/11/2019;0,61;0,56;36;50;104;25;17;7
27/11/2019;0,21;0,21;4;22;28;12;8;2
26/11/2019;0,22;0,21;1;9;10;10;7;1
25/11/2019;0,33;0,29;17;31;56;17;10;3
24/11/2019;0,18;0,19;1;9;11;7;5;2
23/11/2019;0,19;0,18;1;8;10;10;5;3
22/11/2019;0,19;0,21;2;12;14;7;5;1
21/11/2019;0,21;0,19;9;25;39;13;8;2
20/11/2019;0,18;0,19;3;20;24;10;8;2
19/11/2019;0,26;0,26;17;31;56;15;11;3
18/11/2019;0,26;0,26;14;32;52;14;10;2
