Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2020;1;6;7;3;4
30/12/2020;1;6;7;4;4
29/12/2020;1;6;7;3;2
28/12/2020;1;6;6;4;2
27/12/2020;0;5;5;4;1
26/12/2020;1;17;18;4;3
25/12/2020;0;3;3;8;4
24/12/2020;1;7;8;7;9
23/12/2020;1;9;10;5;4
22/12/2020;1;6;8;4;3
21/12/2020;1;5;6;3;4
20/12/2020;2;11;15;6;5
19/12/2020;1;10;11;4;2
18/12/2020;1;6;6;3;2
17/12/2020;13;26;45;8;4
16/12/2020;2;12;14;5;4
15/12/2020;1;10;11;4;3
14/12/2020;1;9;11;5;2
13/12/2020;1;7;8;6;4
12/12/2020;2;17;19;9;18
11/12/2020;3;17;21;10;17
10/12/2020;3;20;23;11;8
09/12/2020;4;14;20;5;4
08/12/2020;0;6;6;4;6
07/12/2020;1;9;9;5;9
06/12/2020;0;5;5;2;4
05/12/2020;0;4;5;2;2
04/12/2020;1;9;10;3;4
03/12/2020;2;13;14;6;1
02/12/2020;1;11;12;8;2
01/12/2020;4;17;22;15;11
30/11/2020;42;41;105;21;5
29/11/2020;2;25;28;8;4
28/11/2020;7;40;50;16;3
27/11/2020;4;37;43;16;4
26/11/2020;2;24;26;14;5
25/11/2020;2;21;23;18;1
24/11/2020;2;24;27;17;0
23/11/2020;31;46;93;22;5
22/11/2020;2;21;24;17;5
21/11/2020;9;31;44;16;1
20/11/2020;12;31;49;14;5
19/11/2020;2;18;20;10;5
18/11/2020;4;24;30;13;6
17/11/2020;22;33;66;15;7
16/11/2020;5;28;35;18;7
15/11/2020;0;4;4;5;4
14/11/2020;0;4;4;10;1
13/11/2020;4;20;26;13;7
12/11/2020;9;29;42;14;6
11/11/2020;1;10;11;9;3
10/11/2020;19;33;61;14;6
09/11/2020;3;12;17;6;6
08/11/2020;0;3;4;3;6
07/11/2020;1;8;9;12;3
06/11/2020;1;8;9;37;1
05/11/2020;13;33;53;17;5
04/11/2020;3;21;26;11;5
03/11/2020;6;15;25;6;7
02/11/2020;3;6;11;6;4
01/11/2020;0;2;2;3;6
31/10/2020;2;7;9;7;3
30/10/2020;13;35;55;27;7
29/10/2020;15;33;56;22;7
28/10/2020;5;25;33;10;7
27/10/2020;1;5;6;5;6
26/10/2020;2;10;13;6;11
25/10/2020;0;7;8;4;1
24/10/2020;1;6;7;6;5
23/10/2020;5;17;23;6;7
22/10/2020;6;20;29;5;6
21/10/2020;2;15;17;4;4
20/10/2020;1;7;8;13;0
19/10/2020;2;16;19;20;2
18/10/2020;8;29;40;21;9
17/10/2020;9;26;40;15;6
16/10/2020;19;37;65;14;8
15/10/2020;2;18;22;8;8
14/10/2020;3;9;13;7;4
13/10/2020;3;11;16;9;1
12/10/2020;0;7;7;;1
11/10/2020;0;3;4;;6
10/10/2020;0;5;5;;6
09/10/2020;5;19;26;15;4
08/10/2020;15;21;43;18;6
07/10/2020;3;18;23;8;5
06/10/2020;8;17;30;11;7
05/10/2020;3;18;22;10;6
04/10/2020;0;3;3;5;6
03/10/2020;1;7;8;7;10
02/10/2020;2;8;11;5;2
01/10/2020;3;18;21;11;3
30/09/2020;20;26;55;21;1
29/09/2020;17;26;52;15;4
28/09/2020;4;17;22;11;6
27/09/2020;1;6;7;9;7
26/09/2020;1;5;7;6;5
25/09/2020;2;7;10;11;9
24/09/2020;3;13;17;18;7
23/09/2020;3;12;16;21;3
22/09/2020;10;20;34;15;4
21/09/2020;5;14;21;12;6
20/09/2020;2;7;9;7;6
19/09/2020;1;6;8;4;5
18/09/2020;3;15;20;11;4
17/09/2020;16;37;61;33;0
16/09/2020;11;28;44;29;1
15/09/2020;6;20;28;26;5
14/09/2020;2;15;17;23;6
13/09/2020;3;23;28;21;6
12/09/2020;4;20;26;18;5
11/09/2020;6;17;26;18;4
10/09/2020;7;18;27;17;5
09/09/2020;10;26;42;23;9
08/09/2020;10;20;35;15;5
07/09/2020;3;10;14;8;8
06/09/2020;1;1;3;8;6
05/09/2020;1;3;5;12;7
04/09/2020;8;27;38;26;8
03/09/2020;9;29;43;20;10
02/09/2020;4;16;22;10;8
01/09/2020;8;22;34;12;11
31/08/2020;10;19;34;10;8
30/08/2020;1;5;6;6;8
29/08/2020;1;3;5;6;7
28/08/2020;2;8;11;8;4
27/08/2020;8;13;24;14;5
26/08/2020;4;10;16;10;7
25/08/2020;3;16;21;12;6
24/08/2020;6;16;24;11;3
23/08/2020;2;5;8;9;8
22/08/2020;2;9;12;10;7
21/08/2020;1;11;13;13;7
20/08/2020;3;15;19;12;7
19/08/2020;2;6;9;12;2
18/08/2020;5;22;28;8;4
17/08/2020;7;26;37;13;6
16/08/2020;1;8;10;6;8
15/08/2020;1;6;8;8;4
14/08/2020;5;11;18;9;7
13/08/2020;3;10;13;9;8
12/08/2020;4;16;22;12;5
11/08/2020;4;21;26;20;5
10/08/2020;2;11;13;15;5
09/08/2020;1;6;8;15;3
08/08/2020;3;14;18;18;7
07/08/2020;3;23;28;34;7
06/08/2020;7;29;39;22;7
05/08/2020;9;17;30;12;4
04/08/2020;9;17;30;;5
03/08/2020;15;16;38;;5
02/08/2020;1;3;5;4;6
01/08/2020;1;4;6;8;7
31/07/2020;1;10;12;18;7
30/07/2020;8;17;28;24;3
29/07/2020;8;13;25;19;4
28/07/2020;14;16;36;16;7
27/07/2020;17;16;43;18;4
26/07/2020;2;8;11;6;5
25/07/2020;2;8;10;9;1
24/07/2020;1;6;8;10;3
23/07/2020;11;18;35;36;3
22/07/2020;11;21;37;30;3
21/07/2020;11;17;34;21;5
20/07/2020;12;17;36;22;5
19/07/2020;2;13;17;20;3
18/07/2020;3;11;15;14;0
17/07/2020;6;11;19;12;1
16/07/2020;11;13;29;25;5
15/07/2020;10;11;25;;5
14/07/2020;15;19;41;31;3
13/07/2020;14;22;43;33;7
12/07/2020;1;10;11;10;4
11/07/2020;1;7;8;9;3
10/07/2020;12;13;31;29;5
09/07/2020;14;21;42;26;6
08/07/2020;11;21;37;28;3
07/07/2020;6;13;23;19;0
06/07/2020;6;9;18;13;5
05/07/2020;2;14;17;12;13
04/07/2020;4;14;20;10;9
03/07/2020;2;7;10;6;6
02/07/2020;2;8;10;5;6
01/07/2020;2;10;12;6;7
30/06/2020;6;12;22;10;1
29/06/2020;2;7;10;4;5
28/06/2020;1;4;6;6;5
27/06/2020;4;12;17;9;7
26/06/2020;2;12;14;10;2
25/06/2020;3;16;20;23;5
24/06/2020;4;23;28;31;4
23/06/2020;9;23;36;20;1
22/06/2020;4;13;19;11;4
21/06/2020;3;10;14;8;10
20/06/2020;4;13;18;9;8
19/06/2020;7;16;27;23;5
18/06/2020;3;10;14;7;5
17/06/2020;2;6;9;8;4
16/06/2020;4;13;18;9;8
15/06/2020;5;14;21;10;6
14/06/2020;2;7;11;11;7
13/06/2020;4;17;23;9;7
12/06/2020;2;12;15;8;4
11/06/2020;3;12;16;9;2
10/06/2020;4;12;18;10;4
09/06/2020;2;5;8;13;7
08/06/2020;2;4;7;8;7
07/06/2020;1;1;3;7;6
06/06/2020;1;3;5;5;6
05/06/2020;2;5;8;15;8
04/06/2020;2;8;10;10;8
03/06/2020;2;8;10;22;0
02/06/2020;5;15;21;27;6
01/06/2020;2;8;11;19;6
31/05/2020;2;10;13;21;5
30/05/2020;3;14;18;19;4
29/05/2020;8;25;37;27;9
28/05/2020;3;18;22;19;2
27/05/2020;8;25;38;22;6
26/05/2020;5;14;21;17;5
25/05/2020;6;13;21;16;5
24/05/2020;2;6;9;11;4
23/05/2020;1;4;6;5;5
22/05/2020;2;8;11;13;5
21/05/2020;4;15;20;23;5
20/05/2020;8;22;33;22;5
19/05/2020;7;20;30;19;4
18/05/2020;7;17;26;15;8
17/05/2020;1;8;9;13;11
16/05/2020;1;4;5;17;11
15/05/2020;1;6;9;16;8
14/05/2020;2;9;11;7;7
13/05/2020;2;9;11;6;6
12/05/2020;2;8;10;9;7
11/05/2020;2;7;10;6;17
10/05/2020;1;7;9;5;16
09/05/2020;1;6;9;11;4
08/05/2020;3;12;16;14;6
07/05/2020;4;19;25;22;7
06/05/2020;8;18;30;19;14
05/05/2020;3;14;18;13;10
04/05/2020;2;11;14;16;4
03/05/2020;3;8;12;10;2
02/05/2020;3;6;10;6;3
01/05/2020;2;3;5;6;2
30/04/2020;2;5;7;7;3
29/04/2020;1;5;7;6;1
28/04/2020;3;12;16;9;5
27/04/2020;2;10;12;11;3
26/04/2020;1;4;6;16;2
25/04/2020;2;8;11;18;5
24/04/2020;5;18;25;19;5
23/04/2020;7;16;25;14;5
22/04/2020;1;7;9;9;6
21/04/2020;2;6;8;8;3
20/04/2020;2;5;8;6;2
19/04/2020;1;2;4;4;3
18/04/2020;2;8;11;7;5
17/04/2020;1;4;5;3;2
16/04/2020;1;8;9;5;2
15/04/2020;;;12;8;1
14/04/2020
13/04/2020
12/04/2020
11/04/2020
10/04/2020
09/04/2020
08/04/2020;2;12;16;16;3
07/04/2020;3;12;16;12;2
06/04/2020;1;9;11;7;2
05/04/2020;1;3;4;6;1
04/04/2020;1;8;9;10;1
03/04/2020;3;15;19;19;3
02/04/2020;1;8;8;13;3
01/04/2020;2;14;17;5;1
31/03/2020;3;17;21;7;0
30/03/2020;1;8;9;6;1
29/03/2020;1;8;9;22;3
28/03/2020;2;14;17;19;8
27/03/2020;4;19;25;21;4
26/03/2020;0;7;8;15;3
25/03/2020;4;13;19;15;4
24/03/2020;5;19;25;17;4
23/03/2020;1;13;15;18;2
22/03/2020;1;7;8;25;3
21/03/2020;1;6;7;20;2
20/03/2020;1;5;6;13;0
19/03/2020;3;21;24;19;3
18/03/2020;7;23;33;20;4
17/03/2020;4;21;27;11;2
16/03/2020;1;7;8;6;3
15/03/2020;1;12;13;12;3
14/03/2020;4;22;27;19;4
13/03/2020;1;16;18;16;2
12/03/2020;9;21;34;15;4
11/03/2020;14;29;50;23;4
10/03/2020;17;37;62;26;4
09/03/2020;1;11;13;15;9
08/03/2020;4;20;26;11;9
07/03/2020;1;14;15;14;8
06/03/2020;2;9;11;8;11
05/03/2020;2;10;13;5;11
04/03/2020;16;38;61;18;5
03/03/2020;6;12;20;8;7
02/03/2020;4;14;20;5;16
01/03/2020;1;10;11;11;0
29/02/2020;1;14;16;42;4
28/02/2020;16;23;47;56;3
27/02/2020;1;12;14;25;11
26/02/2020;1;14;16;6;27
25/02/2020;4;14;19;15;5
24/02/2020;13;31;51;47;4
23/02/2020;5;24;32;32;12
22/02/2020;9;25;38;23;10
21/02/2020;20;44;74;25;6
20/02/2020;22;34;66;23;7
19/02/2020;22;32;66;15;3
18/02/2020;2;11;13;9;4
17/02/2020;1;8;9;7;6
16/02/2020;0;2;3;5;1
15/02/2020;1;8;10;6;1
14/02/2020;16;33;57;;4
13/02/2020;2;9;11;;4
12/02/2020;8;31;43;17;1
11/02/2020;2;14;16;25;5
10/02/2020;10;21;36;20;5
09/02/2020;0;4;5;4;4
08/02/2020;2;19;21;15;6
07/02/2020;3;17;21;16;4
06/02/2020;3;20;24;12;1
05/02/2020;12;31;49;15;5
04/02/2020;1;10;11;14;7
03/02/2020;7;21;31;;11
02/02/2020;0;3;3;;4
01/02/2020;4;16;21;8;7
31/01/2020;3;12;16;5;3
30/01/2020;1;3;5;4;3
29/01/2020;17;27;53;14;5
28/01/2020;3;20;23;14;9
27/01/2020;1;5;6;5;1
26/01/2020;2;8;11;9;5
25/01/2020;1;11;13;16;3
24/01/2020;3;18;22;22;4
23/01/2020;34;38;89;31;4
22/01/2020;47;46;117;29;2
21/01/2020;5;26;34;11;5
20/01/2020;2;14;16;9;4
19/01/2020;0;4;4;10;4
18/01/2020;1;16;18;8;6
17/01/2020;3;19;24;10;8
16/01/2020;1;5;6;11;4
15/01/2020;6;18;28;10;3
14/01/2020;1;5;5;7;1
13/01/2020;6;19;28;9;1
12/01/2020;12;38;56;32;14
11/01/2020;12;34;52;17;6
10/01/2020;3;19;23;11;12
09/01/2020;2;15;18;13;9
08/01/2020;45;48;116;21;7
07/01/2020;26;40;79;23;8
06/01/2020;5;24;32;17;7
05/01/2020;5;22;30;11;2
04/01/2020;2;13;15;5;5
03/01/2020;43;44;110;21;7
02/01/2020;21;40;71;17;5
01/01/2020;7;25;35;21;5
