Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2020;0,18;0,17;5;10;18;73;72;10;3;10
30/12/2020;0,15;0,17;3;10;15;79;81;18;2;13
29/12/2020;0,2;0,19;3;8;12;81;81;35;6;10
28/12/2020;0,22;0,21;3;7;12;83;83;27;8;9
27/12/2020;0,16;0,17;5;9;17;68;63;12;4;8
26/12/2020;0,2;0,17;6;17;26;69;75;8;3;8
25/12/2020;0,12;0,12;5;6;13;83;82;15;4;8
24/12/2020;0,12;0,12;6;7;16;75;75;22;5;8
23/12/2020;0,13;0,15;4;8;14;65;62;13;4;7
22/12/2020;0,18;0,18;3;11;16;49;47;5;2;7
21/12/2020;0,22;0,2;3;13;18;47;51;8;4;7
20/12/2020;0,17;0,18;6;15;24;50;47;10;5;8
19/12/2020;0,17;0,16;5;16;23;56;60;17;5;7
18/12/2020;0,16;0,15;5;10;18;65;60;5;2;7
17/12/2020;0,22;0,25;9;27;41;44;46;10;7;8
16/12/2020;0,18;0,16;4;13;19;68;72;11;4;8
15/12/2020;0,15;0,15;4;16;23;64;64;10;4;8
14/12/2020;0,15;0,15;2;12;16;56;55;14;4;8
13/12/2020;0,18;0,19;3;11;16;51;49;5;3;8
12/12/2020;0,13;0,1;6;11;20;70;74;20;7;7
11/12/2020;0,18;0,22;3;8;12;71;66;20;8;7
10/12/2020;0,25;0,23;3;14;19;68;68;22;8;7
09/12/2020;0,18;0,18;7;18;29;58;61;10;4;8
08/12/2020;0,15;0,14;4;8;14;72;73;12;3;9
07/12/2020;0,18;0,2;4;8;14;77;74;11;4;7
06/12/2020;0,21;0,21;4;10;16;69;71;18;4;9
05/12/2020;0,17;0,17;4;10;15;72;71;17;5;14
04/12/2020;0,18;0,18;5;9;17;74;74;18;6;11
03/12/2020;0,26;0,27;9;19;33;53;50;13;7;7
02/12/2020;0,18;0,16;7;12;24;66;69;13;4;6
