Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3)
31/12/2020;1;5;7;4
30/12/2020;1;6;7;4
29/12/2020;1;5;7;3
28/12/2020;1;4;6;4
27/12/2020;1;3;5;3
26/12/2020;1;8;10;5
25/12/2020;1;5;7;8
24/12/2020;2;6;9;7
23/12/2020;1;8;10;5
22/12/2020;2;5;7;2
21/12/2020;1;4;5;3
20/12/2020;1;4;6;5
19/12/2020;3;10;13;6
18/12/2020;1;4;6;3
17/12/2020;2;10;14;5
16/12/2020;1;12;15;7
15/12/2020;2;9;13;4
14/12/2020;1;6;8;4
13/12/2020;1;3;5;4
12/12/2020;1;6;8;9
11/12/2020;2;8;11;9
10/12/2020;1;6;8;10
09/12/2020;2;10;13;5
08/12/2020;1;4;6;4
07/12/2020;1;6;8;4
06/12/2020;1;4;6;4
05/12/2020;1;4;6;4
04/12/2020;1;7;9;3
03/12/2020;1;6;8;6
02/12/2020;3;14;19;9
01/12/2020;3;13;18;15
30/11/2020;18;22;48;23
29/11/2020;2;9;13;10
28/11/2020;3;15;19;12
27/11/2020;9;29;43;20
26/11/2020;1;11;14;12
25/11/2020;2;12;16;18
24/11/2020;3;13;18;16
23/11/2020;6;15;24;14
22/11/2020;4;14;20;17
21/11/2020;3;11;16;12
20/11/2020;3;11;15;13
19/11/2020;2;12;15;11
18/11/2020;4;11;17;12
17/11/2020;3;11;16;9
16/11/2020;2;12;15;16
15/11/2020;1;3;5;5
14/11/2020;1;4;6;10
13/11/2020;2;9;13;10
12/11/2020;4;13;19;11
11/11/2020;1;5;7;6
10/11/2020;4;13;18;12
09/11/2020;2;10;13;7
08/11/2020;1;2;4;4
07/11/2020;1;4;6;14
06/11/2020;1;4;6;40
05/11/2020;5;17;24;15
04/11/2020;2;10;13;9
03/11/2020;1;7;9;8
02/11/2020;1;6;8;6
01/11/2020;1;2;4;4
31/10/2020;1;4;6;8
30/10/2020;10;22;37;22
29/10/2020;4;16;22;18
28/10/2020;4;15;21;13
27/10/2020;1;5;6;5
26/10/2020;2;10;13;
25/10/2020;1;6;8;4
24/10/2020;1;4;6;6
23/10/2020;3;12;15;9
22/10/2020;3;13;18;8
21/10/2020;1;6;8;5
20/10/2020;1;5;7;16
19/10/2020;1;6;8;17
18/10/2020;3;12;16;14
17/10/2020;4;15;20;14
16/10/2020;3;11;16;8
15/10/2020;2;11;14;7
14/10/2020;2;9;11;7
13/10/2020;1;6;8;7
12/10/2020;2;6;8;9
11/10/2020;1;4;6;6
10/10/2020;1;6;9;9
09/10/2020;5;16;24;18
08/10/2020;6;17;27;16
07/10/2020;3;16;20;9
06/10/2020;4;14;20;12
05/10/2020;2;9;11;9
04/10/2020;1;3;5;5
03/10/2020;1;4;6;7
02/10/2020;1;3;5;3
01/10/2020;2;16;19;11
30/09/2020;4;15;21;15
29/09/2020;4;16;22;13
28/09/2020;2;11;13;12
27/09/2020;1;6;8;9
26/09/2020;1;4;5;5
25/09/2020;1;4;6;7
24/09/2020;2;7;10;9
23/09/2020;1;7;10;10
22/09/2020;2;9;12;10
21/09/2020;2;8;10;9
