Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2021;0,06;0,08;1;6;4;64;63;5;2;2;0,14
30/12/2021;0,1;0,53;10;34;18;40;33;6;2;3;0,61
29/12/2021;0,1;0,25;2;16;14;49;51;5;2;3;0,43
28/12/2021;;;2;18;15;56;64;8;2;4;
27/12/2021;;;4;15;9;61;59;6;4;3;
26/12/2021;0,16;0,27;2;11;8;55;53;5;5;4;0,59
25/12/2021;0,1;0,11;1;9;7;67;68;5;5;5;0,28
24/12/2021;0,1;0,1;1;7;5;58;57;5;4;3;0,25
23/12/2021;0,11;0,16;1;9;8;64;64;10;4;3;0,35
22/12/2021;0,12;0,34;2;19;15;51;51;8;4;3;0,51
21/12/2021;0,12;0,29;2;14;11;56;54;8;3;3;0,47
20/12/2021;0,3;1,09;31;91;44;18;14;24;4;8;1,64
19/12/2021;0,27;0,28;2;22;19;38;42;12;2;6;0,46
18/12/2021;0,26;0,4;4;24;19;39;35;9;2;5;0,78
17/12/2021;0,25;1,23;34;102;51;6;5;18;3;6;2,04
16/12/2021;0,42;1,94;56;127;41;4;4;28;3;8;3,93
15/12/2021;0,37;1,49;44;104;36;5;5;33;3;17;3
14/12/2021;0,41;1,2;37;98;42;5;6;25;3;11;2,39
13/12/2021;0,27;0,66;14;59;38;21;21;15;3;8;1,14
12/12/2021;0,19;0,36;6;34;25;30;40;11;3;5;0,63
11/12/2021;0,11;0,15;1;10;8;70;73;7;4;8;0,26
10/12/2021;;;1;8;6;80;78;15;4;24;
09/12/2021;;;1;11;9;72;74;7;3;42;
08/12/2021;;;1;4;3;83;82;6;3;4;
07/12/2021;0,15;0,15;1;8;6;64;63;8;3;4;0,33
06/12/2021;0,13;0,21;1;7;6;71;72;9;2;6;0,42
05/12/2021;0,15;0,13;1;4;2;79;79;11;2;8;0,37
04/12/2021;0,12;0,11;1;7;6;68;63;7;2;11;0,25
03/12/2021;0,13;0,14;2;13;10;58;62;6;2;7;0,32
02/12/2021;0,13;0,12;1;8;6;70;70;10;2;5;0,27
01/12/2021;0,14;0,19;2;13;10;57;48;4;2;6;0,34
30/11/2021;0,23;1;13;43;24;46;56;11;1;4;1,74
29/11/2021;0,14;0,12;1;8;6;71;71;4;1;3;0,22
28/11/2021;0,13;0,08;1;2;1;77;76;8;2;4;0,17
27/11/2021;0,17;0,11;1;4;2;74;74;8;2;7;0,23
26/11/2021;0,17;0,12;1;8;6;64;63;7;2;4;0,28
25/11/2021;0,16;0,11;1;8;6;66;64;6;1;3;0,3
24/11/2021;0,25;0,45;7;29;19;30;27;8;2;4;1,03
23/11/2021;0,21;0,29;2;17;14;34;37;8;6;3;0,47
22/11/2021;0,16;0,2;2;13;11;51;54;6;8;3;0,85
21/11/2021;0,23;0,38;1;14;13;45;42;12;8;5;1,87
20/11/2021;0,17;0,22;1;9;8;57;59;12;7;3;0,84
19/11/2021;0,37;0,71;16;48;24;33;27;15;7;4;1,48
