Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2021;1;16;14;7;4
30/12/2021;7;38;28;7;4
29/12/2021;5;30;22;9;4
28/12/2021;5;23;15;12;4
27/12/2021;4;16;11;9;4
26/12/2021;3;22;17;7;4
25/12/2021;1;14;13;5;4
24/12/2021;1;11;10;6;4
23/12/2021;2;21;19;8;4
22/12/2021;13;47;28;17;4
21/12/2021;10;50;34;20;4
20/12/2021;9;42;28;16;4
19/12/2021;2;17;15;9;4
18/12/2021;3;26;21;10;4
17/12/2021;16;56;32;19;4
16/12/2021;55;116;32;33;4
15/12/2021;87;172;39;50;5
14/12/2021;52;115;36;33;6
13/12/2021;12;47;28;15;4
12/12/2021;5;28;21;15;3
11/12/2021;2;20;18;7;3
10/12/2021;1;12;10;17;3
09/12/2021;4;32;26;9;3
08/12/2021;1;13;11;5;3
07/12/2021
06/12/2021
05/12/2021;1;7;5;9;3
04/12/2021;2;23;19;13;3
03/12/2021;17;68;43;17;3
02/12/2021;3;24;20;12;3
01/12/2021;6;44;34;12;3
30/11/2021;15;59;36;13;3
29/11/2021;3;32;28;8;3
28/11/2021;0;16;16;11;3
27/11/2021;0;12;12;10;3
26/11/2021;6;33;25;11;3
25/11/2021;1;22;20;8;3
24/11/2021;11;46;29;12;3
23/11/2021;3;23;19;10;3
22/11/2021;5;33;25;10;3
21/11/2021;12;47;30;28;5
20/11/2021;6;41;32;35;6
19/11/2021;24;68;30;33;4
18/11/2021;26;68;29;26;4
17/11/2021;6;30;21;15;3
16/11/2021;13;52;32;20;3
15/11/2021;11;44;27;15;3
14/11/2021;2;16;14;17;3
13/11/2021;9;42;28;28;4
12/11/2021;18;60;33;28;4
11/11/2021;19;65;37;33;4
10/11/2021;17;57;31;24;3
09/11/2021;17;54;28;29;3
08/11/2021;14;51;31;24;3
07/11/2021;13;46;27;23;4
06/11/2021;12;42;24;20;3
05/11/2021;11;53;37;13;3
04/11/2021;3;35;32;9;3
03/11/2021;3;29;25;8;3
02/11/2021;6;31;23;13;4
01/11/2021;4;26;20;13;3
31/10/2021;2;14;12;9;3
30/10/2021;2;20;17;9;3
29/10/2021;2;24;21;17;3
28/10/2021;9;42;29;24;3
27/10/2021;26;80;40;28;5
26/10/2021;21;61;29;27;5
25/10/2021
24/10/2021
23/10/2021;5;30;23;19;4
22/10/2021;10;41;27;21;3
21/10/2021;2;21;19;24;3
20/10/2021;4;27;22;24;2
19/10/2021;1;16;14;16;3
18/10/2021;12;47;29;24;4
17/10/2021;5;32;24;19;3
16/10/2021;4;31;26;27;3
15/10/2021;22;64;31;28;5
14/10/2021;19;64;35;27;4
13/10/2021;18;51;23;21;4
12/10/2021;5;29;22;24;3
11/10/2021;10;37;21;24;3
10/10/2021;6;25;16;19;2
09/10/2021;10;39;25;18;4
08/10/2021;21;55;24;21;3
07/10/2021;20;52;22;21;3
06/10/2021;10;39;24;20;3
05/10/2021;3;29;24;13;3
04/10/2021;14;46;25;21;5
03/10/2021;2;16;14;13;2
02/10/2021;7;26;16;14;3
01/10/2021;20;60;30;23;4
30/09/2021;4;26;21;15;2
29/09/2021;13;44;25;18;3
28/09/2021;8;36;24;19;3
27/09/2021;3;25;21;13;2
26/09/2021;3;25;21;16;3
25/09/2021;2;21;19;21;3
24/09/2021;9;44;31;35;2
23/09/2021;13;43;23;25;2
22/09/2021;5;33;26;22;2
21/09/2021;11;42;26;22;3
20/09/2021;6;34;25;17;3
19/09/2021;1;14;12;13;3
18/09/2021;1;13;11;12;2
17/09/2021;10;34;18;21;4
16/09/2021;4;28;22;15;3
15/09/2021;9;34;21;24;3
14/09/2021;4;33;27;31;3
13/09/2021;8;36;24;28;4
12/09/2021;5;26;19;21;3
11/09/2021;5;21;14;18;3
10/09/2021;6;33;24;20;3
09/09/2021;2;19;16;10;3
08/09/2021;5;30;22;30;3
07/09/2021;4;30;25;32;5
06/09/2021;;;;28;3
05/09/2021;2;20;16;30;2
04/09/2021;4;21;14;19;2
03/09/2021;4;25;20;20;2
02/09/2021;4;28;23;24;2
01/09/2021;7;37;28;25;2
31/08/2021;5;24;17;15;2
30/08/2021;5;29;22;16;3
29/08/2021;2;18;14;12;3
28/08/2021;4;19;13;12;2
27/08/2021;6;26;18;18;2
26/08/2021;7;30;20;18;2
25/08/2021;4;25;20;19;2
24/08/2021;7;27;16;12;2
23/08/2021;2;14;12;9;2
22/08/2021;3;13;9;11;2
21/08/2021;2;16;12;15;2
20/08/2021;5;21;13;14;2
19/08/2021;2;18;15;7;2
18/08/2021;2;13;11;10;2
17/08/2021;2;13;10;11;2
16/08/2021;3;18;14;11;2
15/08/2021;1;13;11;15;2
14/08/2021;2;14;11;19;2
13/08/2021;4;19;13;15;2
12/08/2021;3;18;14;13;2
11/08/2021;4;21;15;15;1
10/08/2021;6;25;16;14;2
09/08/2021;4;22;16;16;2
08/08/2021;2;12;10;9;2
07/08/2021;3;18;14;12;2
06/08/2021;2;18;15;13;2
05/08/2021;5;23;15;12;2
04/08/2021;6;30;21;18;2
03/08/2021;6;27;19;17;2
02/08/2021;8;29;17;14;2
01/08/2021;4;22;17;13;2
31/07/2021;2;17;14;11;2
30/07/2021;7;27;17;18;2
29/07/2021;11;36;20;17;2
28/07/2021;3;22;18;12;2
27/07/2021;7;28;18;22;3
26/07/2021;5;24;17;18;2
25/07/2021;2;10;7;12;2
24/07/2021;5;19;11;12;2
23/07/2021;4;23;17;18;2
22/07/2021;2;14;11;22;1
21/07/2021;2;13;10;37;1
20/07/2021;7;32;22;40;3
19/07/2021;7;35;24;37;3
18/07/2021;4;23;17;26;2
17/07/2021;6;23;14;26;1
16/07/2021;11;34;17;26;2
15/07/2021;5;22;14;16;1
14/07/2021;7;25;14;16;1
13/07/2021;3;17;12;14;1
12/07/2021;3;16;12;15;2
11/07/2021;4;16;10;16;2
10/07/2021;2;14;10;17;2
09/07/2021;9;26;13;14;2
08/07/2021;6;24;15;17;2
07/07/2021;9;31;17;19;1
06/07/2021;2;14;11;15;1
05/07/2021;8;29;17;16;2
04/07/2021;2;12;9;8;1
03/07/2021;2;14;12;18;1
02/07/2021;3;22;18;20;1
01/07/2021;3;21;17;19;1
30/06/2021;2;14;10;15;1
29/06/2021;4;21;15;19;1
28/06/2021;10;37;23;24;2
