Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2021;0,12;0,12;3;3;16;12;8;3;1
30/12/2021;0,14;0,15;2;6;29;21;7;3;2
29/12/2021;0,15;0,17;3;4;23;17;10;4;3
28/12/2021;0,2;0,18;3;7;31;20;17;5;3
27/12/2021;0,18;0,19;4;9;28;14;15;3;2
26/12/2021;0,3;0,34;4;3;22;17;8;3;2
25/12/2021;0,18;0,14;3;2;17;14;7;2;2
24/12/2021;0,15;0,16;4;2;13;10;7;3;2
23/12/2021;0,19;0,19;4;5;26;20;11;4;3
22/12/2021;0,19;0,18;4;12;47;30;19;6;4
21/12/2021;0,18;0,2;5;7;35;24;18;6;4
20/12/2021;0,23;0,22;4;20;67;36;25;9;4
19/12/2021;0,16;0,16;4;3;20;16;13;5;3
18/12/2021;0,16;0,15;4;4;26;21;12;6;3
17/12/2021;0,24;0,29;7;33;91;42;30;13;5
16/12/2021;0,43;0,41;7;95;186;41;68;30;7
15/12/2021;0,35;0,34;5;72;147;37;49;20;9
14/12/2021;0,25;0,21;1;44;101;34;32;12;6
13/12/2021;0,18;0,21;1;6;31;23;10;5;3
12/12/2021;0,21;0,18;1;8;35;24;16;6;3
11/12/2021;0,19;0,19;1;2;19;16;13;4;2
10/12/2021;0,16;0,16;1;3;14;10;24;6;3
09/12/2021;0,21;0,22;1;4;23;18;13;3;3
08/12/2021;0,18;0,16;1;1;8;7;10;2;2
07/12/2021;0,22;0,24;1;3;18;14;16;4;2
06/12/2021;0,2;0,18;1;2;17;15;18;3;2
05/12/2021;0,18;0,18;1;1;8;8;16;3;2
04/12/2021;0,17;0,18;1;1;11;9;16;4;4
03/12/2021;0,22;0,21;1;11;46;29;17;5;3
02/12/2021;0,16;0,16;2;4;21;15;20;7;4
01/12/2021;0,17;0,19;2;6;30;22;14;4;3
30/11/2021;0,28;0,27;2;16;58;33;14;6;3
29/11/2021;0,22;0,22;2;4;27;22;11;4;2
28/11/2021;0,18;0,18;1;1;9;8;16;3;2
27/11/2021;0,17;0,18;1;1;11;10;16;5;4
26/11/2021;0,22;0,22;2;8;35;23;15;5;3
25/11/2021;0,21;0,22;3;4;21;15;13;5;2
24/11/2021;0,28;0,28;3;11;43;27;13;5;3
23/11/2021;0,28;0,27;5;11;39;23;15;6;2
22/11/2021;0,22;0,22;4;8;36;25;14;4;5
21/11/2021;0,28;0,28;4;9;39;26;25;11;8
20/11/2021;0,21;0,22;5;3;25;22;21;8;4
19/11/2021;0,31;0,3;4;27;81;40;28;11;7
18/11/2021;0,33;0,33;4;39;94;36;34;12;6
17/11/2021;0,28;0,28;5;14;49;29;17;7;4
16/11/2021;0,31;0,31;4;22;67;35;26;10;4
15/11/2021;0,27;0,24;3;22;66;32;21;7;2
14/11/2021;0,16;0,16;4;1;10;9;20;4;3
13/11/2021;0,24;0,28;7;10;38;22;26;9;3
12/11/2021;0,35;0,35;6;32;86;38;38;14;5
11/11/2021;0,32;0,31;5;26;76;37;37;14;7
10/11/2021;0,26;0,26;5;20;69;38;30;11;5
09/11/2021;0,32;0,33;5;40;102;41;42;12;3
08/11/2021;0,26;0,24;4;23;67;33;33;9;3
07/11/2021;0,3;0,31;3;13;42;23;24;10;7
06/11/2021;0,34;0,36;1;16;52;28;19;9;4
05/11/2021;0,41;0,37;2;14;57;36;17;6;4
04/11/2021;0,21;0,21;1;3;30;26;11;4;3
03/11/2021;;;2;3;24;20;13;5;2
02/11/2021;0,19;0,2;1;2;19;16;13;5;2
01/11/2021;0,21;0,2;1;2;21;19;16;5;4
31/10/2021;0,19;0,2;3;0;9;9;12;3;2
30/10/2021;0,21;0,2;4;2;21;19;15;4;2
29/10/2021;0,21;0,2;5;5;30;22;20;6;2
28/10/2021;0,2;0,22;3;4;31;26;28;10;4
27/10/2021;0,31;0,3;2;28;86;43;37;15;8
26/10/2021;0,28;0,28;2;15;53;31;27;11;12
25/10/2021;0,29;0,3;2;21;69;37;30;;8
24/10/2021;0,25;0,24;1;4;37;31;21;7;8
23/10/2021;0,24;0,22;1;6;38;29;26;9;6
22/10/2021;0,22;0,22;2;7;36;26;20;6;6
21/10/2021;0,18;0,19;3;4;25;19;34;6;6
20/10/2021;0,24;0,22;4;10;41;26;34;12;5
19/10/2021;0,2;0,21;4;3;22;17;18;8;4
18/10/2021;0,24;0,25;4;10;44;29;22;11;5
17/10/2021;0,26;0,26;5;6;36;27;23;9;4
16/10/2021;0,26;0,25;4;5;42;34;28;13;5
15/10/2021;0,29;0,31;7;29;77;34;36;14;5
14/10/2021;0,3;0,28;3;31;88;41;37;17;6
13/10/2021;0,28;0,28;3;33;85;36;31;14;5
12/10/2021;0,27;0,27;2;7;35;25;29;14;4
11/10/2021;0,29;0,28;3;15;50;27;29;16;3
10/10/2021;0,24;0,25;4;3;20;15;20;11;2
09/10/2021;0,35;0,33;3;10;45;30;25;10;5
08/10/2021;0,29;0,29;4;34;87;35;37;16;5
07/10/2021;0,27;0,27;2;25;69;32;32;12;6
06/10/2021;0,27;0,26;2;19;58;30;29;8;4
05/10/2021;0,22;0,22;2;5;31;24;19;5;3
04/10/2021;0,23;0,23;1;9;43;29;20;6;4
03/10/2021;0,22;0,21;3;1;15;13;17;5;4
02/10/2021;0,23;0,25;4;6;25;17;16;7;4
01/10/2021;0,31;0,3;5;26;75;35;34;13;6
30/09/2021;0,26;0,26;3;17;55;30;25;10;2
29/09/2021;0,27;0,26;3;12;50;31;21;6;4
28/09/2021;0,29;0,3;3;17;50;25;26;10;3
27/09/2021;0,23;0,24;4;4;23;17;18;4;3
26/09/2021;0,28;0,25;3;3;26;23;17;6;3
25/09/2021;0,23;0,25;5;2;19;17;19;8;2
24/09/2021;0,35;0,35;5;18;65;38;39;16;2
