Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2021;0,14;0,11;1;3;2;64;63;6;2;2;0,16
30/12/2021;0,14;0,35;3;14;9;47;41;5;2;2;0,51
29/12/2021;0,16;0,2;1;7;5;54;55;5;2;2;0,31
28/12/2021;0,23;0,24;1;6;5;59;66;10;2;2;0,32
27/12/2021;0,16;0,16;1;4;3;64;61;7;2;2;0,25
26/12/2021;0,18;0,15;1;3;2;59;59;4;2;2;0,22
25/12/2021;0,17;0,11;1;4;2;69;68;4;2;1;0,17
24/12/2021;0,21;0,2;1;5;3;56;56;5;2;1;0,35
23/12/2021;0,22;0,21;1;6;4;61;63;5;2;2;0,36
22/12/2021;0,19;0,24;1;6;4;60;59;8;2;1;0,38
21/12/2021;0,17;0,22;1;4;2;61;61;9;2;2;0,36
20/12/2021;0,32;0,64;5;20;12;49;47;18;2;2;0,89
19/12/2021;0,23;0,24;1;5;3;49;49;8;2;2;0,33
18/12/2021;0,23;0,32;1;7;5;49;49;4;2;2;0,41
17/12/2021;0,52;1,48;13;47;26;21;13;14;3;5;2,21
16/12/2021;0,63;1,9;22;58;26;5;6;20;3;6;3,12
15/12/2021;0,81;1,67;17;48;23;7;7;23;3;8;2,74
14/12/2021;0,61;1,04;11;37;20;16;22;19;3;5;1,7
13/12/2021;0,18;0,23;1;5;3;50;45;4;2;1;0,37
12/12/2021;0,24;0,38;2;13;10;36;45;9;2;2;0,58
11/12/2021;0,19;0,32;1;7;5;68;73;6;2;3;0,45
10/12/2021;;;1;5;3;85;83;18;2;3;
09/12/2021;;;1;4;3;78;79;3;2;3;
08/12/2021;;;1;3;2;84;83;6;2;1;
07/12/2021;;;1;4;3;66;64;11;2;1;
06/12/2021;;;1;4;3;69;72;10;2;2;
05/12/2021;;;1;5;3;79;80;14;2;7;
04/12/2021;;;1;4;2;69;64;8;2;1;
03/12/2021;;;1;8;6;59;63;6;2;3;
02/12/2021;;;1;9;7;70;70;12;2;8;
01/12/2021;;;1;6;4;63;57;4;2;1;
30/11/2021;;;2;8;6;49;55;4;2;1;
29/11/2021;;;2;12;9;68;69;4;2;2;
28/11/2021;;;1;7;5;75;75;13;2;7;
27/11/2021;;;1;5;4;76;76;10;2;4;
26/11/2021;;;1;8;6;63;61;7;3;2;
25/11/2021;;;1;11;9;65;62;8;3;5;
24/11/2021;;;2;13;10;37;35;7;2;4;
23/11/2021;;;3;18;13;35;37;9;3;41;
22/11/2021;;;1;10;8;51;54;6;2;4;
21/11/2021;;;1;8;6;47;46;11;2;3;
20/11/2021;;;1;6;4;57;58;13;2;2;
19/11/2021;;;5;20;12;37;31;11;2;3;
18/11/2021;0,03;0,01;3;15;10;29;29;14;2;4;0,04
17/11/2021;0,01;0,02;2;15;12;41;43;11;2;11;0,05
16/11/2021;0,02;0,03;1;10;8;48;51;10;2;4;0,04
15/11/2021;;;2;11;9;58;60;9;2;9;
14/11/2021;;;1;6;4;71;70;13;2;3;
13/11/2021;;;1;7;6;54;50;15;3;2;
12/11/2021;0,37;0,59;2;15;12;35;38;18;3;3;0,94
11/11/2021;0,46;0,62;4;20;13;44;41;21;2;4;1,01
10/11/2021;0,32;0,42;2;12;9;46;47;15;2;3;0,65
09/11/2021;0,26;0,4;2;12;10;50;55;16;2;7;0,63
08/11/2021;0,36;0,59;1;12;9;63;62;15;2;6;1,09
07/11/2021;0,22;0,22;1;7;5;44;39;7;2;2;0,36
06/11/2021;0,27;0,34;1;10;7;39;42;6;2;7;0,51
05/11/2021;0,22;0,45;1;10;8;53;57;5;2;5;0,54
04/11/2021;0,15;0,18;1;6;4;68;68;;2;2;0,26
03/11/2021;0,11;0,11;1;4;3;72;74;;2;1;0,15
02/11/2021;0,15;0,18;1;5;3;66;62;;2;1;0,27
01/11/2021;0,14;0,12;1;6;4;67;68;;2;2;0,19
31/10/2021;0,16;0,22;1;5;3;63;59;;2;2;0,33
30/10/2021;0,21;0,4;2;10;7;56;58;;2;3;0,51
29/10/2021;0,18;0,19;1;8;6;71;76;;2;2;0,32
28/10/2021;0,16;0,35;1;9;7;77;63;;2;2;0,55
27/10/2021;0,49;1,17;9;35;22;25;26;;3;4;1,98
26/10/2021;0,24;0,63;2;12;9;41;43;;2;2;0,86
25/10/2021;0,41;0,56;3;17;12;42;40;;2;4;0,89
24/10/2021;0,45;0,31;1;8;6;53;53;;2;4;0,44
23/10/2021;0,22;0,27;1;8;6;47;50;;2;2;0,38
22/10/2021;0,23;0,41;1;8;6;59;61;;2;4;0,66
21/10/2021;;;1;7;5;71;72;;2;2;
20/10/2021;0,22;0,4;2;12;8;58;60;;3;2;1,26
19/10/2021;0,41;0,35;2;10;8;55;49;;3;3;0,59
18/10/2021;0,16;0,28;2;8;5;45;41;;3;3;0,56
17/10/2021;0,25;0,42;2;15;11;38;39;11;3;5;0,59
16/10/2021;0,25;0,38;2;12;10;52;59;15;2;4;0,53
15/10/2021;0,34;0,72;2;15;12;54;48;14;2;4;1,13
14/10/2021;0,39;0,85;6;28;19;29;33;16;3;5;1,28
13/10/2021;0,26;0,48;3;17;11;43;44;14;3;5;0,72
12/10/2021;0,33;0,41;2;11;8;43;41;14;2;5;0,65
11/10/2021;0,33;0,42;2;13;10;45;51;14;2;4;0,72
10/10/2021;0,32;0,36;1;11;8;65;65;13;2;6;0,51
09/10/2021;0,3;0,45;1;10;8;57;53;11;2;3;0,64
08/10/2021;0,27;0,72;3;17;12;40;39;12;3;5;1,13
07/10/2021;0,28;0,74;5;19;12;36;36;16;3;5;1,18
06/10/2021;0,22;0,51;2;10;7;50;53;13;2;3;0,6
05/10/2021;0,14;0,27;2;9;6;58;56;8;2;3;0,33
04/10/2021;0,23;0,34;1;9;6;50;52;9;2;3;0,47
03/10/2021;0,11;0,12;1;6;4;67;69;9;2;2;0,15
02/10/2021;0,14;0,34;2;9;6;48;41;9;2;3;0,57
01/10/2021;0,32;1,09;4;17;12;35;33;13;2;5;3,08
30/09/2021;0,24;0,65;3;15;10;41;43;11;2;4;0,79
29/09/2021;;;2;9;6;51;56;8;2;3;
28/09/2021;0,23;0,61;4;16;11;49;45;15;2;4;0,88
27/09/2021;0,17;0,34;2;11;9;59;62;13;2;3;0,43
26/09/2021;0,21;0,49;1;9;7;73;75;9;2;5;0,55
25/09/2021;0,24;0,46;1;9;7;73;71;12;2;3;0,68
24/09/2021;0,42;0,98;7;26;15;38;34;23;2;4;1,94
23/09/2021;0,32;0,79;4;16;11;43;44;20;2;3;1,11
22/09/2021;0,27;0,61;4;17;12;53;60;14;2;3;1,07
21/09/2021;0,3;0,49;2;11;8;54;48;12;2;3;0,81
20/09/2021;0,22;0,55;2;10;7;46;52;9;2;2;1,18
19/09/2021;0,22;0,3;1;8;6;68;68;7;2;3;0,47
18/09/2021;0,18;0,24;2;8;6;54;54;7;2;3;0,34
17/09/2021;0,65;0,84;7;26;15;41;37;12;2;4;1,69
16/09/2021;0,18;0,49;4;15;9;52;54;7;2;3;0,91
15/09/2021;0,24;0,46;2;13;9;52;50;9;2;3;0,72
14/09/2021;0,42;0,6;3;16;12;44;50;10;2;4;0,81
13/09/2021;0,56;0,76;3;17;13;61;55;16;2;4;1,16
12/09/2021;1,29;0,9;7;25;15;39;38;13;3;5;1,31
11/09/2021;0,2;0,6;4;16;10;44;45;9;2;3;0,85
10/09/2021;0,19;0,43;2;12;8;54;55;6;2;3;0,6
09/09/2021;0,27;0,49;3;15;10;54;55;5;2;4;0,73
08/09/2021;0,23;0,48;3;14;10;62;65;13;2;3;0,68
07/09/2021;0,84;1,62;2;19;15;77;75;19;2;3;2,4
06/09/2021;0,63;0,93;3;22;18;72;67;17;2;3;1,37
05/09/2021;1,01;0,75;4;17;12;51;52;15;2;3;1,02
04/09/2021;0,31;0,69;6;19;10;46;48;13;2;4;1,08
03/09/2021;0,44;0,5;7;20;10;49;47;11;2;3;0,92
02/09/2021;0,45;0,69;8;28;15;47;50;10;2;4;1,16
01/09/2021;0,47;0,79;7;29;19;53;54;17;2;5;1,31
31/08/2021;0,34;0,49;4;18;13;53;54;11;2;4;0,82
30/08/2021;0,31;0,51;3;16;12;49;52;10;2;3;0,71
29/08/2021;0,36;0,53;2;13;10;53;52;8;2;4;0,79
28/08/2021;0,28;0,47;3;15;10;54;54;9;2;5;0,74
27/08/2021;0,36;0,74;5;20;13;56;57;12;2;4;1
26/08/2021;0,54;0,94;6;24;15;54;55;13;2;3;1,43
25/08/2021;0,29;0,55;3;17;12;61;63;10;2;4;0,8
24/08/2021;0,26;0,55;3;13;9;57;54;8;2;3;0,74
23/08/2021;0,25;0,46;6;20;11;42;41;6;2;7;0,62
22/08/2021;0,25;0,51;5;17;10;42;42;7;2;5;0,71
21/08/2021;0,31;0,55;4;16;10;54;55;11;2;3;0,84
20/08/2021;0,25;0,72;5;20;12;44;40;11;2;2;1,01
19/08/2021;0,37;0,38;1;7;5;48;50;3;1;2;0,68
18/08/2021;0,29;0,46;1;8;5;59;61;6;1;3;0,7
17/08/2021;0,56;0,56;1;7;5;71;69;9;1;3;1,58
16/08/2021;0,25;0,41;1;7;5;53;49;8;0;3;1,25
15/08/2021;0,24;0,48;1;7;4;47;48;6;0;2;0,64
14/08/2021;0,28;0,48;1;9;6;44;45;15;0;2;0,66
13/08/2021;0,28;0,55;3;13;8;45;46;12;0;3;0,82
12/08/2021;0,25;0,48;2;10;6;43;41;10;0;2;0,68
11/08/2021;0,29;0,61;2;10;7;41;39;10;0;2;0,81
10/08/2021;0,49;0,6;3;13;9;38;38;10;0;4;0,75
09/08/2021;0,28;0,54;2;10;7;45;46;11;0;3;0,68
08/08/2021;0,27;0,36;1;6;4;49;51;7;1;3;0,51
07/08/2021;0,18;0,25;1;5;3;49;51;8;1;2;0,31
06/08/2021;0,19;0,26;1;7;5;51;52;6;1;2;0,33
05/08/2021;0,29;0,55;2;10;6;46;45;9;1;2;0,87
04/08/2021;0,21;0,45;1;8;5;46;46;7;1;2;0,67
03/08/2021;0,26;0,64;2;12;8;44;43;9;2;5;0,89
02/08/2021;0,31;0,51;2;10;7;46;46;8;3;4;0,72
