Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2021;1;13;10;4;3;3
30/12/2021;8;34;21;8;3;4
29/12/2021;3;20;15;4;3;3
28/12/2021;2;13;11;7;3;4
27/12/2021;4;17;10;7;4;4
26/12/2021;2;15;12;5;3;4
25/12/2021;1;8;7;4;2;4
24/12/2021;1;10;8;4;5;3
23/12/2021;2;17;14;6;4;3
22/12/2021;5;27;20;10;8;3
21/12/2021;7;32;22;12;7;3
20/12/2021;20;63;33;20;14;5
19/12/2021;2;17;14;11;8;4
18/12/2021;3;26;21;9;7;5
17/12/2021;21;72;40;16;16;6
16/12/2021;62;134;39;30;26;7
15/12/2021;42;98;34;26;26;7
14/12/2021;34;84;32;23;25;9
13/12/2021;15;55;33;14;11;6
12/12/2021;4;27;21;12;9;3
11/12/2021;1;14;12;6;1;3
10/12/2021;2;10;7;13;6;3
09/12/2021;2;10;7;5;2;4
08/12/2021;0;5;4;5;2;4
07/12/2021;2;12;9;7;5;3
06/12/2021;1;9;7;8;3;3
05/12/2021;0;6;5;9;3;3
04/12/2021;1;6;4;7;4;3
03/12/2021;3;19;14;7;4;3
02/12/2021;4;23;17;11;3;3
01/12/2021;3;17;13;6;6;4
30/11/2021;14;46;25;12;10;6
29/11/2021;4;27;22;4;1;3
28/11/2021;0;8;7;9;2;3
27/11/2021;1;9;7;9;3;3
26/11/2021;3;23;18;8;4;4
25/11/2021;5;28;21;7;3;3
24/11/2021;13;42;22;9;8;5
23/11/2021;5;24;16;8;6;3
22/11/2021;2;16;13;6;2;5
21/11/2021;1;16;13;12;11;7
20/11/2021;1;18;16;15;17;4
19/11/2021;16;57;33;20;20;6
18/11/2021;31;74;27;17;11;4
17/11/2021;2;18;14;9;5;3
16/11/2021;5;31;23;9;6;3
15/11/2021;5;28;19;11;4;3
14/11/2021;1;8;7;10;3;3
13/11/2021;2;16;12;12;8;4
12/11/2021;13;48;28;22;17;5
11/11/2021;19;57;28;26;24;5
10/11/2021;13;49;30;24;23;5
09/11/2021;6;33;23;16;11;3
08/11/2021;6;34;24;15;7;3
07/11/2021;6;25;16;13;12;4
06/11/2021;8;32;19;9;6;4
05/11/2021;5;30;21;6;5;4
04/11/2021;1;10;9;3;1;7
03/11/2021;1;11;9;3;1;7
02/11/2021;2;14;10;5;3;4
01/11/2021;1;10;8;8;4;4
31/10/2021;1;7;5;5;3;3
30/10/2021;1;18;16;8;7;3
29/10/2021;3;23;18;9;8;3
28/10/2021;4;26;20;19;13;4
27/10/2021;18;62;34;19;16;8
26/10/2021;26;70;31;24;20;9
25/10/2021;22;63;28;20;16;12
24/10/2021;3;27;21;16;15;8
23/10/2021;4;26;20;14;13;7
22/10/2021;5;24;17;8;4;6
21/10/2021;4;18;13;17;7;5
20/10/2021;6;29;20;17;11;5
19/10/2021;3;18;13;12;10;5
18/10/2021;18;56;29;19;15;5
17/10/2021;4;28;21;16;;6
16/10/2021;4;30;24;17;15;6
15/10/2021;20;56;26;18;14;9
14/10/2021;18;58;30;19;17;7
13/10/2021;15;45;22;17;14;6
12/10/2021;4;24;17;22;24;5
11/10/2021;13;41;20;17;16;5
10/10/2021;1;13;10;10;10;5
09/10/2021;5;28;20;11;8;5
08/10/2021;18;51;24;16;13;5
07/10/2021;20;57;27;22;;6
06/10/2021;14;43;21;16;8;5
05/10/2021;3;15;11;7;3;5
04/10/2021;4;20;14;10;5;6
03/10/2021;1;6;5;9;2;5
02/10/2021;3;17;12;11;8;5
01/10/2021;26;70;30;20;16;7
30/09/2021;9;40;25;14;9;5
29/09/2021;6;28;18;8;3;8
28/09/2021;11;39;21;19;11;5
27/09/2021;3;20;14;11;5;5
26/09/2021;2;19;16;11;8;6
25/09/2021;1;14;11;12;9;5
24/09/2021;14;52;30;26;19;5
23/09/2021;18;52;24;25;14;5
22/09/2021;12;45;26;18;13;5
21/09/2021;15;48;24;12;9;5
20/09/2021;3;17;11;6;3;5
19/09/2021;1;8;6;7;3;6
18/09/2021;1;9;7;8;3;5
17/09/2021;15;43;21;18;15;5
16/09/2021;3;18;14;;5;4
15/09/2021;7;28;17;;11;5
14/09/2021;8;36;24;15;11;5
13/09/2021;3;27;22;22;20;5
12/09/2021;5;29;21;16;14;4
11/09/2021;4;23;16;15;13;4
10/09/2021;4;21;16;11;6;4
09/09/2021;8;35;23;14;7;4
08/09/2021;7;32;22;19;14;4
07/09/2021;14;57;35;38;24;5
06/09/2021;8;52;39;31;25;5
05/09/2021;4;28;23;17;15;5
04/09/2021;4;21;14;15;11;5
03/09/2021;7;34;24;18;8;5
02/09/2021;8;38;25;15;12;5
01/09/2021;10;42;27;26;20;5
31/08/2021;9;36;22;20;13;5
30/08/2021;11;34;17;17;9;5
29/08/2021;2;16;12;12;7;5
28/08/2021;2;15;11;15;9;4
27/08/2021;7;30;19;20;;5
26/08/2021;7;30;19;17;13;4
25/08/2021;8;33;19;16;10;4
24/08/2021;9;26;13;14;7;4
