Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2022;0,08;0,09;2;6;3;71;70;24;10;7
30/12/2022;0,14;0,15;2;7;4;65;62;6;2;6
29/12/2022;0,18;0,17;2;12;8;60;62;17;4;6
28/12/2022;0,14;0,18;2;9;6;60;53;13;6;6
27/12/2022;0,26;0,22;6;25;16;33;41;15;7;6
26/12/2022;0,16;0,15;2;8;5;73;74;10;3;6
25/12/2022;0,13;0,12;2;5;2;69;68;10;3;6
24/12/2022;0,12;0,12;2;6;3;66;66;11;5;6
23/12/2022;0,13;0,15;2;8;4;62;57;15;5;6
22/12/2022;0,2;0,19;3;18;13;47;49;16;5;6
21/12/2022;0,18;0,18;2;12;9;54;56;12;4;6
20/12/2022;0,18;0,19;2;12;9;55;55;9;5;6
19/12/2022;0,19;0,17;2;10;6;55;57;8;5;6
18/12/2022;0,17;0,18;2;7;3;59;56;7;4;7
17/12/2022;0,34;0,35;5;25;18;25;25;13;7;7
16/12/2022;0,21;0,18;3;11;7;47;51;15;7;6
15/12/2022;0,18;0,19;2;13;9;57;54;10;3;6
14/12/2022;0,17;0,2;4;20;15;44;40;8;5;6
13/12/2022;0,41;0,4;19;62;33;11;12;29;15;7
12/12/2022;0,27;0,31;4;28;22;24;21;8;6;8
11/12/2022;0,37;0,33;11;45;28;17;20;16;12;9
10/12/2022;0,22;0,2;5;28;20;35;40;12;8;6
09/12/2022;0,18;0,2;4;18;12;34;30;10;5;7
08/12/2022;0,21;0,22;4;20;14;22;23;11;9;6
07/12/2022;0,31;0,32;13;42;22;17;14;18;15;9
06/12/2022;0,23;0,22;6;26;17;34;37;9;6;8
05/12/2022;0,21;0,22;6;30;21;32;31;11;8;7
04/12/2022;0,26;0,26;5;25;19;24;22;10;8;8
03/12/2022;0,25;0,24;4;27;21;24;24;10;7;8
02/12/2022;0,25;0,25;10;42;28;18;20;16;12;8
01/12/2022;0,25;0,27;14;45;24;23;22;16;10;7
30/11/2022;0,27;0,22;8;37;24;30;36;12;8;7
29/11/2022;0,15;0,14;3;10;6;70;73;17;4;6
28/11/2022;0,11;0,11;3;9;5;73;73;18;5;6
27/11/2022;0,13;0,14;3;12;8;62;57;11;3;8
26/11/2022;0,18;0,18;4;24;18;34;31;10;6;7
25/11/2022;0,15;0,14;4;18;13;55;56;26;8;7
24/11/2022;0,2;0,21;4;32;25;28;30;34;10;7
23/11/2022;0,2;0,18;3;17;12;56;62;43;13;7
22/11/2022;0,13;0,13;3;14;10;58;61;43;6;7
21/11/2022;0,14;0,17;4;12;7;60;51;18;5;6
20/11/2022;0,19;0,15;3;17;12;51;55;21;6;7
19/11/2022;0,11;0,11;4;14;9;68;71;17;3;7
18/11/2022;0,13;0,14;3;10;6;72;71;13;3;6
17/11/2022;0,15;0,15;5;19;12;55;54;57;15;6
16/11/2022;0,13;0,15;3;14;9;50;44;19;6;6
15/11/2022;0,16;0,13;3;19;15;50;54;15;6;6
14/11/2022;0,11;0,12;3;12;8;60;62;11;4;6
13/11/2022;0,12;0,13;3;12;8;60;60;15;8;6
12/11/2022;0,15;0,15;3;9;5;67;67;9;5;6
11/11/2022;0,16;0,16;4;18;13;51;48;10;6;7
10/11/2022;0,17;0,19;6;29;20;32;31;13;9;8
09/11/2022;0,17;0,15;4;23;17;50;57;21;6;7
08/11/2022;0,12;0,13;3;9;5;64;64;14;4;6
07/11/2022;0,13;0,14;3;12;8;61;55;24;6;6
05/11/2022;0,14;0,15;5;24;17;30;35;18;6;7
04/11/2022;0,15;0,14;3;8;4;68;70;29;7;6
03/11/2022;0,14;0,15;3;10;5;68;62;19;5;6
02/11/2022;0,2;0,2;6;30;21;29;30;22;7;7
01/11/2022;0,18;0,18;4;17;12;44;50;20;6;7
31/10/2022;0,15;0,15;3;11;7;58;57;15;7;6
28/10/2022
27/10/2022;0,15;0,15;3;17;13;45;45;36;16;6
26/10/2022;0,14;0,14;3;13;9;60;64;12;6;6
25/10/2022;0,13;0,14;3;14;9;61;58;13;6;7
24/10/2022;0,2;0,24;3;14;10;64;67;15;10;6
23/10/2022;0,22;0,16;2;9;6;74;75;21;18;6
22/10/2022;0,13;0,12;2;10;6;69;69;7;3;6
21/10/2022;0,13;0,13;3;13;9;67;67;9;4;6
20/10/2022;0,14;0,12;3;12;8;68;69;8;4;6
19/10/2022;0,14;0,16;4;16;11;57;55;36;16;6
18/10/2022;0,2;0,19;3;17;12;54;53;38;19;6
17/10/2022;0,15;0,14;3;17;13;53;56;27;12;6
16/10/2022;0,21;0,22;3;19;14;48;43;30;14;6
15/10/2022;0,19;0,18;6;20;12;27;28;25;8;6
14/10/2022;0,22;0,21;9;31;17;24;25;19;10;6
13/10/2022;0,18;0,19;8;28;16;28;29;20;10;6
12/10/2022;0,2;0,19;3;12;7;57;62;35;11;6
11/10/2022;0,2;0,21;6;22;14;46;45;46;18;6
10/10/2022;0,21;0,21;4;18;13;51;55;49;17;6
09/10/2022;0,2;0,2;3;11;7;60;55;39;15;6
08/10/2022;0,16;0,16;3;10;6;65;69;29;7;6
07/10/2022;0,23;0,23;7;23;12;47;44;31;16;6
06/10/2022;0,22;0,21;5;18;11;58;58;23;11;5
05/10/2022;0,22;0,22;6;21;12;51;50;31;23;6
04/10/2022;0,22;0,23;11;36;19;41;35;27;20;7
03/10/2022;0,23;0,2;9;27;14;35;32;23;10;6
02/10/2022;0,14;0,16;5;20;12;32;30;17;5;6
01/10/2022;0,2;0,19;4;20;14;37;37;13;5;6
30/09/2022;0,12;0,11;3;13;8;58;65;16;4;6
29/09/2022;0,11;0,11;3;9;4;65;65;12;3;6
28/09/2022;0,13;0,13;3;7;3;68;68;16;4;
27/09/2022;0,14;0,13;3;8;4;73;74;24;7;
26/09/2022;0,14;0,14;5;19;12;53;50;12;5;7
25/09/2022;0,13;0,13;4;15;9;56;57;11;3;7
24/09/2022;0,13;0,14;3;12;8;65;68;9;3;7
23/09/2022;0,24;0,24;7;29;18;55;52;23;11;8
22/09/2022;0,21;0,19;5;25;17;56;56;18;9;7
21/09/2022;0,21;0,22;6;28;19;49;50;20;11;7
20/09/2022;0,2;0,2;7;31;20;49;52;19;10;7
19/09/2022;0,25;0,25;6;27;17;53;53;16;10;6
18/09/2022;0,2;0,19;4;22;16;57;60;15;8;6
17/09/2022;0,13;0,12;3;11;7;72;74;12;5;6
16/09/2022;0,16;0,17;3;8;4;75;74;14;5;5
15/09/2022;0,23;0,24;3;11;6;59;58;9;4;5
14/09/2022;0,14;0,13;3;13;8;61;64;9;4;5
13/09/2022;0,13;0,14;3;13;9;63;63;16;8;5
12/09/2022;0,19;0,19;3;16;11;62;65;24;13;5
11/09/2022;0,25;0,25;3;17;12;68;61;19;10;5
10/09/2022;0,17;0,17;4;20;14;47;47;17;6;5
09/09/2022;0,17;0,16;3;11;7;59;63;14;5;5
08/09/2022;0,2;0,21;4;23;17;55;54;18;7;5
07/09/2022;0,22;0,21;5;22;15;59;58;19;7;5
06/09/2022;0,19;0,18;2;12;8;65;66;15;6;5
05/09/2022;0,14;0,14;3;15;11;66;65;20;8;5
04/09/2022;0,18;0,19;3;17;13;65;63;21;9;5
03/09/2022;0,16;0,15;2;10;6;78;80;18;6;5
02/09/2022;0,19;0,2;3;10;6;69;65;12;5;5
01/09/2022;0,24;0,23;4;16;10;58;57;13;8;5
31/08/2022;0,21;0,21;3;12;7;74;77;16;9;5
30/08/2022;0,23;0,23;5;19;12;66;68;20;12;5
29/08/2022;0,2;0,19;3;15;11;79;75;18;10;5
28/08/2022;0,23;0,23;4;21;15;55;53;19;9;5
27/08/2022;0,17;0,16;3;13;8;50;54;13;5;5
26/08/2022;0,14;0,14;3;9;4;59;58;13;4;5
25/08/2022;0,18;0,19;3;10;5;53;54;16;4;5
24/08/2022;0,21;0,21;4;14;8;46;44;19;9;5
23/08/2022;0,19;0,19;5;15;7;30;29;11;4;5
22/08/2022;0,21;0,21;3;9;5;37;40;12;3;5
21/08/2022;0,18;0,19;3;9;4;46;44;14;4;5
17/08/2022
16/08/2022;0,22;0,22;;;;67;76;18;8;5
15/08/2022;0,21;0,22;;;;86;79;23;13;5
14/08/2022;0,2;0,2;3;9;4;72;73;14;9;5
13/08/2022;0,26;0,26;3;12;7;62;61;20;14;5
12/08/2022;0,3;0,32;3;11;6;76;78;22;19;5
11/08/2022;;;3;18;14;72;;;;5
10/08/2022;0,36;0,33;2;14;12;70;71;29;;4
09/08/2022;0,28;0,26;2;14;11;75;75;29;12;4
08/08/2022;0,25;0,24;3;16;11;65;62;22;9;4
07/08/2022;0,24;0,24;2;13;9;62;61;22;6;4
06/08/2022;0,2;0,18;2;8;5;63;63;40;18;4
05/08/2022;0,21;0,23;2;6;3;59;56;18;6;4
04/08/2022;0,2;0,2;2;6;3;46;49;22;8;4
03/08/2022;0,22;0,22;3;11;7;51;49;21;13;4
02/08/2022;0,2;0,19;3;10;6;43;45;26;9;4
01/08/2022;0,18;;2;7;4;52;52;11;5;4
31/07/2022;0,19;0,19;2;6;3;57;58;12;4;4
30/07/2022;0,19;0,19;3;8;4;46;44;11;5;4
29/07/2022;0,2;0,19;5;18;11;42;45;11;11;4
28/07/2022;0,18;0,18;4;17;11;50;51;11;6;4
27/07/2022;0,18;0,17;3;12;7;59;60;11;4;4
26/07/2022;0,16;0,16;2;7;4;61;59;17;4;4
25/07/2022;0,17;0,19;3;9;4;53;54;19;8;4
24/07/2022;0,27;0,26;3;14;9;53;52;33;13;4
23/07/2022;0,18;0,17;3;13;9;50;52;21;8;4
22/07/2022;0,23;0,26;2;8;5;64;63;29;6;4
21/07/2022;0,3;0,27;2;7;4;60;61;30;11;4
20/07/2022;0,24;0,23;2;6;3;63;62;22;8;4
19/07/2022;0,2;0,19;3;13;8;51;51;24;9;4
18/07/2022;0,31;0,33;3;16;12;77;80;30;23;4
17/07/2022;0,64;0,74;3;21;17;102;104;42;36;4
16/07/2022;0,78;0,75;3;19;15;98;98;58;57;4
15/07/2022;0,54;0,48;3;17;13;68;67;38;36;4
14/07/2022;0,5;0,54;4;24;19;81;83;64;32;4
13/07/2022;0,33;0,28;3;18;14;75;75;22;23;4
12/07/2022;0,4;0,39;3;20;15;70;68;35;25;4
11/07/2022;0,27;0,26;2;14;11;63;65;35;21;4
10/07/2022;0,23;0,23;2;14;11;61;60;22;15;4
09/07/2022;0,23;0,23;3;13;9;55;56;22;13;4
08/07/2022;0,17;0,16;2;6;3;52;51;22;7;4
07/07/2022;0,16;0,16;3;11;7;58;62;21;9;4
06/07/2022;0,21;0,21;1;5;3;71;68;25;7;4
05/07/2022;0,17;0,16;2;6;4;;;23;6;3
04/07/2022;0,16;0,16;2;7;5;51;50;16;4;3
