Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2022;0;5;5;22;8
30/12/2022;0;4;4;4;1
29/12/2022;1;20;18;9;5
28/12/2022;2;11;9;13;5
27/12/2022;13;44;24;15;8
26/12/2022;0;9;9;5;1
25/12/2022;0;4;4;5;3
24/12/2022;0;5;5;5;3
23/12/2022;0;6;5;5;3
22/12/2022;8;33;21;12;6
21/12/2022;2;24;21;13;5
20/12/2022;1;17;16;7;5
19/12/2022;1;10;10;6;4
18/12/2022;0;8;7;4;4
17/12/2022;8;37;24;12;9
16/12/2022;4;29;23;12;6
15/12/2022;9;42;30;11;5
14/12/2022;14;45;24;10;5
13/12/2022;56;122;37;24;15
12/12/2022;12;48;29;9;7
11/12/2022;17;52;26;14;13
10/12/2022;5;30;22;11;9
09/12/2022;12;33;15;7;4
08/12/2022;4;21;16;12;7
07/12/2022;18;46;19;20;13
06/12/2022;7;30;20;10;9
05/12/2022;5;30;23;11;8
04/12/2022;4;27;20;8;8
03/12/2022;4;31;25;9;8
02/12/2022;21;63;31;19;11
01/12/2022;43;100;35;20;11
30/11/2022;14;50;28;14;8
29/11/2022;2;24;22;8;3
28/11/2022;5;30;22;9;4
27/11/2022;2;25;21;6;5
26/11/2022;6;41;32;10;4
25/11/2022;11;46;29;11;4
24/11/2022;14;57;36;16;8
23/11/2022;7;32;22;18;7
22/11/2022;0;10;10;3;2
21/11/2022;8;33;21;9;5
20/11/2022;4;26;21;10;4
19/11/2022;0;11;10;5;2
18/11/2022;2;22;20;11;6
17/11/2022;9;34;21;27;10
16/11/2022;1;14;12;12;4
15/11/2022;4;26;20;10;3
14/11/2022;3;24;20;11;4
13/11/2022;1;16;14;14;6
12/11/2022;0;4;4;9;5
11/11/2022;6;29;21;12;5
10/11/2022;15;57;34;15;8
09/11/2022;9;41;28;15;6
08/11/2022;0;8;7;7;3
07/11/2022;8;31;19;9;4
06/11/2022;6;31;23;10;5
05/11/2022;11;41;24;12;7
04/11/2022;4;27;21;17;6
03/11/2022;2;20;17;14;4
02/11/2022;14;50;29;18;8
01/11/2022;2;20;16;14;7
31/10/2022;0;10;10;16;7
30/10/2022;0;10;9;13;6
29/10/2022;1;17;15;26;11
28/10/2022;9;43;29;46;21
27/10/2022;7;35;25;39;18
26/10/2022;2;20;17;17;8
25/10/2022;1;13;12;14;7
24/10/2022;1;16;14;13;5
23/10/2022;0;3;3;12;5
22/10/2022;0;7;7;5;3
21/10/2022;0;7;6;10;3
20/10/2022;2;14;10;9;3
19/10/2022;1;12;11;40;17
18/10/2022;1;12;11;42;18
17/10/2022;3;24;20;23;9
16/10/2022;5;28;20;24;10
15/10/2022;8;29;18;18;7
14/10/2022;16;45;21;20;8
13/10/2022;14;46;25;25;10
12/10/2022;3;18;14;26;12
11/10/2022;7;31;21;36;15
10/10/2022;5;30;23;48;18
09/10/2022;2;14;11;38;14
08/10/2022;2;16;14;25;9
07/10/2022;14;38;16;33;16
06/10/2022;7;28;17;25;12
05/10/2022;10;33;17;44;28
04/10/2022;9;33;20;32;21
03/10/2022;17;46;20;23;12
02/10/2022;7;24;14;16;6
01/10/2022;4;23;17;14;7
30/09/2022;3;26;21;16;6
29/09/2022;2;20;18;12;4
28/09/2022;1;13;12;18;5
27/09/2022;1;17;16;24;7
26/09/2022;11;39;23;18;8
25/09/2022;4;22;17;11;6
24/09/2022;1;17;15;13;7
23/09/2022;9;36;23;26;15
22/09/2022;7;38;27;28;13
21/09/2022;9;38;24;25;12
20/09/2022;10;40;24;25;11
19/09/2022;9;35;22;24;12
18/09/2022;2;20;17;17;8
17/09/2022;1;14;14;15;7
16/09/2022;1;9;9;17;7
15/09/2022;5;23;15;14;10
14/09/2022;1;11;11;13;5
13/09/2022;1;12;11;18;10
12/09/2022;1;13;12;33;18
11/09/2022;2;17;15;24;15
10/09/2022;3;24;20;17;10
09/09/2022;3;18;13;14;7
08/09/2022;6;24;16;20;9
07/09/2022;8;31;20;18;9
06/09/2022;1;16;15;17;11
05/09/2022;2;19;16;19;12
04/09/2022;3;21;17;19;13
03/09/2022;0;10;10;18;10
02/09/2022;7;26;15;18;10
01/09/2022;4;20;14;21;14
31/08/2022;1;17;16;;12
30/08/2022;4;20;14;;15
29/08/2022;1;17;16;24;14
28/08/2022;2;20;16;20;15
27/08/2022;1;14;13;14;9
26/08/2022;1;11;10;13;4
25/08/2022;4;14;9;16;5
24/08/2022;4;18;12;20;12
23/08/2022;4;17;11;8;7
22/08/2022;2;13;10;7;5
21/08/2022;1;7;6;11;6
20/08/2022;3;16;11;15;11
19/08/2022;5;22;14;15;8
18/08/2022;1;16;14;18;8
17/08/2022;2;20;16;15;7
16/08/2022;1;12;11;18;9
15/08/2022;1;13;12;25;16
14/08/2022;0;7;7;16;10
13/08/2022;1;11;9;25;17
12/08/2022;1;9;8;32;24
11/08/2022;3;24;19;34;24
10/08/2022;3;27;23;36;26
09/08/2022;2;24;20;27;17
08/08/2022;5;24;17;21;13
07/08/2022;2;17;15;21;14
06/08/2022;1;12;10;19;9
05/08/2022;1;12;10;17;7
04/08/2022;0;6;6;13;6
03/08/2022;2;12;10;18;10
02/08/2022;4;17;11;17;10
01/08/2022;2;13;9;11;7
31/07/2022;1;7;6;10;7
30/07/2022;2;9;6;5;6
29/07/2022;6;22;13;10;8
28/07/2022;7;26;15;10;8
27/07/2022;6;24;15;8;5
26/07/2022;1;13;10;9;5
25/07/2022;1;7;7;12;10
24/07/2022;1;12;10;16;14
23/07/2022;2;15;12;15;11
22/07/2022;1;14;12;13;7
21/07/2022;1;6;6;16;11
