Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2023;0,26;0,21;1;8;8;70;72;6;4;11;0,43
30/12/2023;0,25;0,6;2;11;14;47;37;5;4;2;0,83
29/12/2023;0,4;0,94;4;25;30;34;43;12;4;6;0,98
28/12/2023;0,23;0,82;0;3;4;71;72;3;4;2;0,6
27/12/2023;0,17;0,23;0;6;6;72;63;3;4;2;0,39
26/12/2023;0,34;1,18;18;35;63;13;12;9;4;11;2,12
25/12/2023;0,39;0,81;4;25;31;20;20;8;4;22;1,57
24/12/2023;0,39;0,81;3;20;24;35;41;6;3;6;1,43
23/12/2023;0,24;0,41;0;11;11;66;70;6;3;4;0,74
22/12/2023;0,25;0,35;0;8;8;75;76;10;3;20;0,52
21/12/2023;0,25;0,88;1;11;12;72;71;8;3;44;0,63
20/12/2023;0,48;0,53;1;8;9;74;65;7;2;6;0,76
19/12/2023;0,55;2,91;20;37;68;14;16;20;2;6;3,12
18/12/2023;0,57;2,07;21;35;67;22;;19;2;12;3,43
17/12/2023;0,54;0,86;7;27;37;15;16;11;2;8;1,5
16/12/2023;0,46;1,24;6;25;33;37;38;10;2;2;1,88
15/12/2023;0,42;0,67;2;18;20;58;62;6;1;7;1,3
14/12/2023;0,43;0,42;1;7;7;67;65;9;;6;0,62
13/12/2023;0,46;0,48;1;10;11;62;61;;;22;0,72
12/12/2023;0,24;0,76;3;21;26;54;55;;6;2;1,14
11/12/2023;0,16;0,23;0;3;4;64;63;3;5;1;0,3
10/12/2023;0,32;0,34;0;6;6;51;51;4;5;2;0,51
09/12/2023;0,22;0,4;0;4;5;64;65;4;4;1;0,37
08/12/2023;0,25;0,27;0;8;8;68;66;6;4;9;0,47
07/12/2023;0,23;0,19;0;5;5;63;64;3;5;1;0,38
06/12/2023;0,43;1,35;6;24;33;28;21;7;5;2;1,82
05/12/2023;0,28;0,99;8;28;40;44;55;6;4;2;1,19
04/12/2023;0,22;0,24;1;7;8;70;71;4;5;9;0,43
03/12/2023;0,43;0,29;1;12;13;49;42;7;5;3;0,59
02/12/2023;0,38;0,32;1;13;14;54;62;4;5;3;0,7
01/12/2023;0,22;0,44;1;11;13;64;61;3;7;2;0,66
30/11/2023;0,3;0,4;1;15;16;62;60;3;7;3;0,74
29/11/2023;0,41;1,25;7;21;31;39;36;9;7;2;1,5
28/11/2023;0,39;0,83;1;22;24;58;64;4;5;5;1,18
27/11/2023;0,49;1,35;19;19;48;39;31;6;5;10;2,13
26/11/2023;0,45;0,89;7;24;35;21;23;7;5;10;1,59
25/11/2023;0,3;0,53;1;16;17;47;52;6;4;5;0,89
24/11/2023;0,58;2,09;13;26;46;38;35;9;4;8;2,9
23/11/2023;0,47;1,13;5;19;27;48;51;;2;5;1,44
22/11/2023;0,27;0,32;0;5;5;66;67;;2;4;0,47
21/11/2023;0,29;0,35;1;6;7;66;66;8;3;9;1,41
20/11/2023;0,34;1,3;9;19;33;45;39;10;3;7;1,48
19/11/2023;0,4;1,18;6;25;33;25;23;16;3;11;1,98
18/11/2023;0,35;1,46;7;30;40;28;27;12;3;8;2,06
17/11/2023;0,34;1,76;7;25;35;41;51;;3;6;5,44
16/11/2023;0,18;0,31;1;8;9;61;57;;3;7;0,48
15/11/2023;0,36;1,92;9;27;41;35;36;;3;5;2,98
14/11/2023;0,16;0,36;1;8;9;61;62;;2;3;0,47
13/11/2023;0,12;0,21;1;2;4;60;62;;2;3;0,34
12/11/2023;0,23;0,53;1;8;9;53;47;;3;5;0,86
11/11/2023;0,68;1,88;14;33;53;14;11;13;4;5;2,75
10/11/2023;0,34;0,74;4;21;26;39;45;6;3;5;1,37
09/11/2023;0,19;0,35;1;11;12;66;68;6;3;6;0,47
08/11/2023;0,22;0,39;1;6;7;66;65;5;2;4;0,63
07/11/2023;0,19;0,28;1;7;8;64;67;3;2;4;0,44
06/11/2023;0,25;0,3;1;9;10;63;59;5;2;5;0,54
05/11/2023;0,18;0,18;0;5;5;65;70;5;4;5;0,37
04/11/2023;0,18;0,18;1;4;5;73;71;5;6;4;0,32
03/11/2023;0,24;0,18;1;8;8;70;72;6;4;6;0,37
02/11/2023;0,19;0,27;1;10;11;72;74;7;5;13;0,45
01/11/2023;0,16;0,18;0;3;4;77;76;6;3;4;0,29
31/10/2023;0,17;0,32;1;5;5;66;64;4;2;3;0,49
30/10/2023;0,21;0,47;1;12;13;64;68;7;4;6;0,63
29/10/2023;0,12;0,19;0;3;3;78;79;3;4;3;0,29
28/10/2023;0,14;0,14;0;2;2;79;76;4;4;3;0,22
27/10/2023;0,21;0,49;1;11;12;67;68;8;3;6;0,61
26/10/2023;0,24;1,27;2;20;23;53;52;4;3;5;1,28
25/10/2023;0,18;0,81;1;11;12;59;60;5;3;4;0,73
24/10/2023;0,19;0,49;1;8;9;57;55;5;4;4;0,68
23/10/2023;0,21;0,5;2;18;21;51;52;5;6;4;0,82
22/10/2023;0,22;0,61;2;20;22;47;45;8;6;7;0,93
21/10/2023;0,15;0,29;0;9;9;68;73;8;5;5;0,47
20/10/2023;0,27;0,82;1;8;9;76;75;5;8;17;1,16
19/10/2023;0,14;0,46;1;6;7;75;77;5;7;3;0,64
18/10/2023;0,11;0,24;1;5;5;71;69;9;5;4;0,34
17/10/2023;0,1;0,47;1;6;7;69;70;15;6;3;0,65
16/10/2023;0,16;0,46;1;9;10;62;55;8;5;4;0,65
15/10/2023;0,22;0,65;2;16;19;45;49;13;3;4;0,96
14/10/2023;0,28;0,77;1;12;14;54;54;17;3;5;1,15
13/10/2023;0,2;0,5;1;14;15;71;73;26;3;6;0,8
12/10/2023;0,28;1,62;3;37;42;54;49;28;4;14;2,05
11/10/2023;0,29;2,55;12;49;67;41;43;28;4;13;3,61
10/10/2023;0,32;3,01;13;45;64;43;42;26;3;15;3,33
09/10/2023;0,33;2,59;16;49;74;38;38;29;2;20;3,13
08/10/2023;0,4;1,56;10;41;56;39;38;30;3;17;2,46
07/10/2023;0,48;1,8;7;36;45;37;40;28;3;6;3,17
06/10/2023;0,52;2,12;14;25;45;41;40;27;2;5;3,23
05/10/2023;0,39;2,1;7;22;32;40;40;23;2;4;2,96
04/10/2023;0,29;1,26;3;18;22;48;51;16;1;3;1,74
03/10/2023;0,29;1,49;4;18;24;46;48;14;1;4;1,73
02/10/2023;0,24;1,03;2;20;22;63;57;22;2;4;1,52
01/10/2023;0,32;1,23;4;28;33;48;47;26;2;7;1,9
30/09/2023;0,49;1,88;6;30;39;33;35;23;2;5;2,73
29/09/2023;0,27;1,89;12;26;44;46;48;17;1;9;2,51
28/09/2023;0,21;1,48;5;23;31;49;44;17;2;6;2,43
27/09/2023;0,45;1,93;3;28;32;40;42;20;2;4;2,86
26/09/2023;0,31;2,66;11;20;37;38;41;18;2;6;3,18
25/09/2023;0,62;4,63;15;29;52;43;43;23;2;9;5,35
24/09/2023;0,26;0,78;2;18;21;52;49;13;1;7;1,2
23/09/2023;0,27;0,72;2;16;18;55;61;12;1;5;1,11
22/09/2023;0,2;0,33;1;7;9;62;62;6;2;7;0,55
21/09/2023;0,18;0,47;1;6;7;70;71;10;3;7;0,92
20/09/2023;;;7;16;26;56;56;18;5;4;
19/09/2023;0,13;0,08;3;15;19;65;67;12;6;4;0,67
18/09/2023;0,08;0,03;1;6;7;80;81;8;6;6;0,14
17/09/2023;0,11;0,05;1;10;11;62;55;10;7;3;0,35
16/09/2023;0,11;0,06;1;12;13;65;66;10;7;3;0,38
15/09/2023;0,18;0,11;4;26;31;38;37;18;7;3;0,78
14/09/2023;0,15;0,12;10;20;34;40;40;15;6;3;1
13/09/2023;0,16;0,09;2;12;15;46;46;9;5;4;0,7
12/09/2023;0,18;0,08;1;11;12;62;64;8;6;5;0,46
11/09/2023;0,19;0,11;3;17;21;56;56;16;6;5;0,78
