Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2023;1;7;8;9;3
30/12/2023;1;4;5;4;2
29/12/2023;5;19;27;15;6
28/12/2023;1;3;3;5;2
27/12/2023;1;3;4;3;1
26/12/2023;5;11;18;8;5
25/12/2023;3;8;12;7;3
24/12/2023;2;6;9;7;3
23/12/2023;1;10;12;10;3
22/12/2023;1;7;8;11;2
21/12/2023;1;5;6;7;2
20/12/2023;1;7;8;10;2
19/12/2023;2;11;14;15;8
18/12/2023;7;16;27;12;6
17/12/2023;1;6;8;6;4
16/12/2023;1;9;11;8;4
15/12/2023;1;14;16;8;2
14/12/2023;1;8;10;11;2
13/12/2023;1;2;3;4;1
12/12/2023;1;12;13;9;2
11/12/2023;1;2;3;4;1
10/12/2023;1;3;4;3;0
09/12/2023;1;6;7;6;1
08/12/2023;1;5;6;8;2
07/12/2023;1;3;4;4;1
06/12/2023;2;8;10;9;3
05/12/2023;1;10;12;8;2
04/12/2023;1;4;5;5;1
03/12/2023;1;4;5;3;1
02/12/2023;1;6;8;6;2
01/12/2023;1;6;8;6;1
30/11/2023;1;10;11;4;1
29/11/2023;1;8;10;;
28/11/2023;1;15;17;;
27/11/2023;2;9;11;11;4
26/11/2023;6;12;20;14;6
25/11/2023;1;9;11;12;4
24/11/2023;5;18;25;16;5
23/11/2023;4;15;21;13;5
22/11/2023;1;10;11;7;2
21/11/2023;1;6;7;8;1
20/11/2023;2;10;13;13;6
19/11/2023;4;13;18;14;5
18/11/2023;4;16;22;15;6
17/11/2023;3;12;16;11;3
16/11/2023;1;8;10;6;2
15/11/2023;3;10;14;8;2
14/11/2023;1;7;9;7;2
13/11/2023;1;3;4;4;0
12/11/2023;1;5;7;7;2
11/11/2023;4;12;18;10;2
10/11/2023;3;15;19;9;3
09/11/2023;2;11;14;11;3
08/11/2023;1;4;5;3;2
07/11/2023;1;6;7;4;1
06/11/2023;2;8;11;6;2
05/11/2023;1;5;6;9;2
04/11/2023;0;4;5;6;2
03/11/2023;1;4;5;8;1
02/11/2023;1;5;6;5;2
01/11/2023;1;3;4;8;1
31/10/2023;1;4;6;4;1
30/10/2023;2;10;12;8;3
29/10/2023;1;3;5;5;1
28/10/2023;1;2;3;3;0
27/10/2023;1;9;10;7;2
26/10/2023;2;11;13;5;1
25/10/2023;2;8;11;8;2
24/10/2023;1;4;5;2;0
23/10/2023;2;8;10;7;2
22/10/2023;1;8;9;7;3
21/10/2023;1;7;8;9;2
20/10/2023;1;3;4;4;2
19/10/2023;1;4;6;4;1
18/10/2023;1;3;4;3;1
17/10/2023;1;5;6;12;5
16/10/2023;1;7;9;7;2
15/10/2023;1;7;9;9;1
14/10/2023;2;8;11;22;10
13/10/2023;2;14;17;32;14
12/10/2023;1;13;16;24;9
11/10/2023;2;18;20;27;11
10/10/2023;3;22;26;26;12
09/10/2023;3;21;25;22;13
08/10/2023;2;15;18;26;14
07/10/2023;2;16;18;24;13
06/10/2023;3;20;25;19;14
05/10/2023;3;18;22;19;10
04/10/2023;2;11;15;12;4
03/10/2023;2;9;12;15;7
02/10/2023;1;10;11;17;9
01/10/2023;2;15;17;16;10
30/09/2023;2;14;16;16;8
29/09/2023;3;16;20;19;7
28/09/2023;2;12;15;12;5
27/09/2023;2;12;14;15;7
26/09/2023;3;11;15;20;8
25/09/2023;2;13;16;13;6
24/09/2023;1;11;12;13;5
23/09/2023;1;6;7;13;4
22/09/2023;1;6;8;8;3
21/09/2023;1;5;6;8;1
20/09/2023;2;10;13;16;5
19/09/2023;2;11;13;14;3
18/09/2023;1;5;6;9;2
17/09/2023;1;5;6;8;3
16/09/2023;1;5;6;11;5
15/09/2023;1;8;9;13;5
14/09/2023;2;8;11;14;3
13/09/2023;2;8;10;11;2
12/09/2023;1;6;8;15;3
11/09/2023;2;9;11;14;7
10/09/2023;1;6;7;19;12
09/09/2023;1;10;12;22;13
08/09/2023;1;10;12;21;12
07/09/2023;1;9;10;22;11
06/09/2023;1;13;15;45;17
05/09/2023;1;7;9;57;18
04/09/2023;1;6;7;60;16
03/09/2023;1;7;9;12;4
02/09/2023;1;8;10;10;4
01/09/2023;2;7;10;12;7
