Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2023;2;14;16;10;6;4
30/12/2023;4;11;17;6;5;3
29/12/2023;17;33;59;16;10;3
28/12/2023;1;16;17;5;4;4
27/12/2023;2;14;16;6;4;5
26/12/2023;19;26;56;11;8;4
25/12/2023;9;20;33;8;7;4
24/12/2023;5;18;25;9;8;3
23/12/2023;3;24;28;10;7;3
22/12/2023;3;25;31;14;8;5
21/12/2023;2;20;23;11;6;4
20/12/2023;2;19;22;11;6;3
19/12/2023;13;29;49;21;15;7
18/12/2023;35;33;87;20;12;5
17/12/2023;6;19;28;10;8;3
16/12/2023;5;21;28;14;9;3
15/12/2023;12;36;54;13;8;3
14/12/2023;3;20;25;14;7;3
13/12/2023;1;9;11;7;4;3
12/12/2023;2;22;26;11;6;3
11/12/2023;2;14;17;9;4;4
10/12/2023;2;15;18;6;4;3
09/12/2023;2;15;18;6;4;3
08/12/2023;2;16;19;10;6;3
07/12/2023;1;17;19;7;4;5
06/12/2023;7;20;31;14;9;5
05/12/2023;10;33;48;14;7;5
04/12/2023;1;8;11;7;4;3
03/12/2023;3;14;18;7;5;4
02/12/2023;3;20;24;7;5;3
01/12/2023;4;21;27;8;5;3
30/11/2023;2;23;26;6;4;3
29/11/2023;10;17;31;10;7;3
28/11/2023;2;23;27;7;5;3
27/11/2023;25;26;64;18;11;5
26/11/2023;14;23;43;21;14;4
25/11/2023;3;19;23;18;12;3
24/11/2023;14;32;53;22;12;3
23/11/2023;21;25;57;16;9;3
22/11/2023;1;7;9;8;4;3
21/11/2023;2;8;11;9;5;3
20/11/2023;19;24;53;24;13;6
19/11/2023;14;21;42;22;11;5
18/11/2023;13;28;48;20;10;10
17/11/2023;11;28;45;21;12;6
16/11/2023;2;17;20;12;6;3
15/11/2023;6;21;31;13;8;3
14/11/2023;2;12;14;8;5;3
13/11/2023;1;8;10;7;3;4
12/11/2023;5;17;24;14;8;3
11/11/2023;9;25;38;11;8;3
10/11/2023;9;35;49;15;10;3
09/11/2023;9;29;43;13;7;3
08/11/2023;4;18;24;10;6;4
07/11/2023;4;21;27;10;6;4
06/11/2023;6;24;33;12;6;3
05/11/2023;1;8;10;6;4;3
04/11/2023;1;4;6;4;3;3
03/11/2023;2;12;16;9;5;3
02/11/2023;2;15;18;11;5;3
01/11/2023;1;5;7;8;4;3
31/10/2023;5;20;27;11;5;3
30/10/2023;2;12;14;8;4;2
29/10/2023;2;12;14;4;3;3
28/10/2023;1;5;7;4;3;3
27/10/2023;4;23;29;12;6;3
26/10/2023;3;24;28;10;5;2
25/10/2023;5;15;23;9;5;3
24/10/2023;4;13;20;8;4;3
23/10/2023;6;20;28;11;6;3
22/10/2023;3;11;16;11;6;3
21/10/2023;2;20;24;13;7;4
20/10/2023;1;5;7;6;3;3
19/10/2023;1;14;15;6;3;3
18/10/2023;1;8;10;5;3;3
17/10/2023;1;10;11;21;8;3
16/10/2023;8;21;32;12;6;3
15/10/2023;1;12;13;15;8;3
14/10/2023;4;17;23;26;16;3
13/10/2023;3;23;27;39;18;6
12/10/2023;4;32;38;45;17;8
11/10/2023;13;43;62;44;19;5
10/10/2023;14;48;69;44;18;8
09/10/2023;14;43;63;35;17;9
08/10/2023;5;33;40;38;20;6
07/10/2023;8;28;40;33;21;3
06/10/2023;15;36;58;37;23;3
05/10/2023;5;30;37;27;14;3
04/10/2023;2;18;21;19;10;2
03/10/2023;10;26;41;25;13;3
02/10/2023;9;25;38;32;16;4
01/10/2023;4;30;35;24;14;4
30/09/2023;6;28;37;24;15;3
29/09/2023;12;25;43;24;13;3
28/09/2023;8;28;40;21;9;4
27/09/2023;10;25;40;24;13;3
26/09/2023;16;26;50;24;11;3
25/09/2023;12;29;47;28;11;7
24/09/2023;3;21;25;18;9;5
23/09/2023;3;18;21;16;8;3
22/09/2023;7;22;32;13;7;3
21/09/2023;1;16;18;11;5;3
20/09/2023;7;21;32;21;12;3
19/09/2023;3;19;24;18;9;3
18/09/2023;1;12;12;9;5;3
17/09/2023;5;24;31;22;10;3
16/09/2023;1;16;17;15;8;2
15/09/2023;10;21;37;25;12;3
14/09/2023;4;16;23;17;10;2
13/09/2023;6;20;28;18;11;3
12/09/2023;3;22;26;17;9;3
11/09/2023;4;29;35;25;16;3
10/09/2023;1;12;14;24;15;3
09/09/2023;3;22;26;29;16;3
08/09/2023;4;25;31;33;17;2
