Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2023;0,18;0,16;2;1;12;14;11;7;5
30/12/2023;0,22;0,26;3;4;14;19;6;5;4
29/12/2023;0,3;0,27;3;30;37;83;19;12;4
28/12/2023;0,17;0,16;3;2;10;13;5;3;4
27/12/2023;0,13;0,15;2;3;13;17;5;3;4
26/12/2023;0,28;0,28;1;29;32;76;14;9;9
25/12/2023;0,23;0,23;1;13;27;47;10;7;7
24/12/2023;0,2;0,21;1;7;21;31;9;7;5
23/12/2023;0,2;0,18;1;6;25;33;11;6;5
22/12/2023;0,19;0,18;2;5;18;24;15;9;6
21/12/2023;0,18;0,18;2;4;13;19;11;6;9
20/12/2023;0,19;0,2;3;4;14;20;10;6;4
19/12/2023;0,25;0,26;1;13;33;52;22;15;9
18/12/2023;0,31;0,28;2;31;36;84;20;11;11
17/12/2023;0,24;0,25;2;7;27;38;11;8;6
16/12/2023;0,26;0,25;3;9;31;44;15;9;3
15/12/2023;0,23;0,22;1;13;36;56;9;5;6
14/12/2023;0,2;0,19;1;5;18;25;11;6;5
13/12/2023;0,18;0,2;2;4;12;17;7;4;5
12/12/2023;0,24;0,21;2;10;32;46;11;5;3
11/12/2023;0,14;0,14;1;3;9;12;4;2;3
10/12/2023;0,24;0,4;2;1;10;12;4;3;3
09/12/2023;0,37;0,22;1;3;16;20;6;4;3
08/12/2023;0,17;0,17;1;2;14;16;8;4;7
07/12/2023;0,15;0,15;2;2;9;11;3;2;4
06/12/2023;0,24;0,26;1;8;28;39;12;7;9
05/12/2023;0,23;0,2;3;10;35;50;10;5;4
04/12/2023;0,15;0,15;4;3;11;16;5;3;3
03/12/2023;0,2;0,23;4;2;13;16;5;4;3
02/12/2023;0,24;0,22;5;4;23;29;7;5;4
01/12/2023;0,18;0,18;6;4;20;26;5;3;3
30/11/2023;0,2;0,2;6;7;31;42;7;4;3
29/11/2023;0,23;0,24;6;12;23;42;13;8;3
28/11/2023;0,21;0,21;7;5;26;33;9;5;3
27/11/2023;0,29;0,32;6;18;25;52;14;8;5
26/11/2023;0,27;0,25;6;15;25;48;18;12;4
25/11/2023;0,23;0,23;7;3;21;25;15;9;3
24/11/2023;0,32;0,33;6;25;39;78;22;12;4
23/11/2023;0,31;0,29;5;33;34;84;23;12;4
22/11/2023;0,21;0,21;6;5;12;20;8;4;2
21/11/2023;0,2;0,2;6;5;13;19;12;7;4
20/11/2023;0,23;0,25;6;14;23;44;16;9;6
19/11/2023;0,27;0,28;6;15;26;47;16;9;7
18/11/2023;0,27;0,26;5;14;30;51;17;9;7
17/11/2023;0,26;0,24;5;14;31;51;17;8;5
16/11/2023;0,18;0,19;5;4;16;22;9;5;3
15/11/2023;0,2;0,19;5;16;31;55;16;9;3
14/11/2023;0,18;0,17;5;3;16;21;8;4;2
13/11/2023;0,17;0,17;5;2;6;9;5;2;2
12/11/2023;0,23;0,24;6;3;15;20;10;5;2
11/11/2023;0,3;0,3;6;12;28;45;9;7;2
10/11/2023;0,28;0,28;5;12;40;57;14;8;3
09/11/2023;0,23;0,22;5;7;31;41;10;5;4
08/11/2023;0,2;0,2;4;3;14;18;6;3;3
07/11/2023;0,18;0,16;3;4;20;25;6;3;3
06/11/2023;0,18;0,2;1;6;20;28;8;4;3
05/11/2023;0,18;0,16;1;1;10;12;6;3;2
04/11/2023;0,17;0,18;1;1;5;7;6;3;2
03/11/2023;0,19;0,18;1;3;14;18;8;5;3
02/11/2023;0,18;0,18;1;6;19;28;10;5;4
01/11/2023;0,18;0,17;1;1;6;7;8;4;2
31/10/2023;0,18;0,18;0;4;13;18;8;3;2
30/10/2023;0,21;0,21;1;6;22;31;11;5;2
29/10/2023;0,19;0,18;0;1;10;12;5;3;2
28/10/2023;0,15;0,16;1;1;4;5;7;2;1
27/10/2023;0,19;0,18;0;6;22;31;12;5;3
26/10/2023;0,41;0,41;1;7;33;44;8;4;2
25/10/2023;0,16;0,16;1;10;20;35;10;4;2
