Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2023;0,08;0,23;0,21;0;3;18;23;0,11;14;7;5;0,25
30/12/2023;0,08;0,21;0,23;0,04;8;17;29;0,46;8;5;4;0,92
29/12/2023;0,25;0,34;0,33;0,3;13;38;57;1,59;16;10;3;1,96
28/12/2023;0,05;0,26;0,25;0,06;4;24;29;0,45;7;3;3;0,51
27/12/2023;0,07;0,17;0,19;0,03;5;24;31;0,39;7;4;3;0,73
26/12/2023;0,35;0,31;0,31;0,17;32;38;85;1;13;8;9;1,82
25/12/2023;0,26;0,25;0,24;0,03;18;32;59;0,51;10;7;8;0,98
24/12/2023;0,17;0,25;0,25;0,02;9;28;42;0,46;11;8;5;0,87
23/12/2023;0,1;0,22;0,2;0,02;4;26;30;0,34;10;6;4;0,71
22/12/2023;0,05;0,2;0,2;0;2;20;22;0,23;13;7;10;0,45
21/12/2023;0,03;0,2;0,21;0;1;15;17;0,14;10;5;7;0,36
20/12/2023;0,16;0,24;0,25;0,01;2;19;22;0,32;10;5;5;0,75
19/12/2023;0,38;0,28;0,29;0,24;18;36;64;1,31;20;15;9;1,88
18/12/2023;0,52;0,33;0,31;0,44;38;42;99;2,03;18;11;11;2,56
17/12/2023;0,26;0,23;0,23;0,07;13;31;50;0,59;11;8;5;1,08
16/12/2023;0,24;0,24;0,25;0,17;7;30;40;0,94;13;8;2;1,34
15/12/2023;0,24;0,31;0,29;0,22;9;36;49;1,2;9;5;2;2,11
14/12/2023;0,21;0,21;0,2;0,02;2;19;22;0,31;11;5;5;0,76
13/12/2023;0,22;0,14;0,14;0;2;12;14;0,19;7;3;2;0,51
12/12/2023;0,09;0,23;0,22;0,27;4;32;38;1,28;8;5;2;1,78
11/12/2023;0,04;0,19;0,19;0,02;4;18;24;0,45;6;2;3;0,84
10/12/2023;0,03;0,27;0,3;0;3;19;22;0,2;6;3;3;0,48
09/12/2023;0,08;0,28;0,27;0;4;21;26;0,15;6;3;4;0,34
08/12/2023;0,11;0,25;0,25;0,01;4;22;28;0,26;10;5;5;0,43
07/12/2023;0,04;0,19;0,19;0;3;19;23;0,14;5;2;4;0,32
06/12/2023;0,34;0,29;0,29;0,41;16;35;59;1,81;14;9;12;1,35
05/12/2023;0,15;0,24;0,22;0,09;10;34;50;0,56;11;5;5;0,88
04/12/2023;0,05;0,19;0,19;0;2;13;16;0,11;6;2;4;0,26
03/12/2023;0,17;0,2;0,21;0;6;22;31;0,17;8;5;6;0,45
