Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2023;0,31;0,36;0;4;4;68;71;9;6;1;4;0,42
30/12/2023;0,31;0,66;0;4;4;53;45;4;3;1;4;0,66
29/12/2023;0,57;1,74;1;12;14;37;47;12;7;2;6;1,42
28/12/2023;0,27;0,63;0;2;2;67;69;3;2;2;4;0,89
27/12/2023;0,23;0,65;0;2;2;72;65;3;2;1;4;0,72
26/12/2023;0,47;1,26;3;16;20;23;20;7;5;2;8;1,51
25/12/2023;0,43;0,9;1;13;16;27;29;6;4;2;9;1,08
24/12/2023;0,38;0,64;1;5;6;42;44;6;4;2;4;0,69
23/12/2023;0,35;0,54;0;5;5;56;61;8;4;2;4;0,57
22/12/2023;0,24;0,82;0;5;5;75;77;11;7;2;4;0,46
21/12/2023;0,26;0,47;0;4;4;77;76;7;4;1;4;0,35
20/12/2023;0,34;1,2;1;8;9;72;67;8;4;2;8;0,96
19/12/2023;0,47;1,81;1;8;9;38;35;12;9;2;5;2,12
18/12/2023;0,49;1,41;3;11;17;32;35;9;6;2;5;1,41
17/12/2023;0,46;0,9;1;9;10;31;27;8;6;2;5;1,07
16/12/2023;0,46;0,85;1;7;8;39;41;8;4;2;4;0,95
15/12/2023;0,39;1,67;1;9;10;54;59;6;3;2;4;1,21
14/12/2023;0,42;0,87;0;5;6;66;66;9;5;2;5;0,63
13/12/2023;0,4;0,42;0;3;4;67;65;6;3;3;3;0,51
12/12/2023;0,28;0,72;0;5;6;60;61;6;3;3;3;0,71
11/12/2023;0,25;0,32;0;2;2;62;60;3;2;3;3;0,32
10/12/2023;0,31;0,57;0;3;3;49;46;4;2;3;3;0,63
09/12/2023;0,27;0,32;0;3;3;58;61;4;2;3;3;0,39
08/12/2023;0,27;0,27;0;3;3;67;66;6;3;3;3;0,41
07/12/2023;0,29;0,31;0;2;2;59;60;3;1;3;3;0,45
06/12/2023;0,37;0,9;1;6;7;40;36;6;4;3;3;0,86
05/12/2023;0,36;0,67;1;6;7;50;58;7;3;3;3;0,75
04/12/2023;0,28;0,5;0;4;4;69;68;5;2;3;3;0,61
03/12/2023;0,37;0,31;0;3;3;53;48;3;2;3;3;0,47
02/12/2023;0,35;0,42;0;4;5;54;59;4;2;3;3;0,55
01/12/2023;0,25;0,5;0;4;4;61;58;4;2;3;3;0,63
30/11/2023;0,27;0,66;0;7;7;59;55;4;2;3;3;0,78
29/11/2023;0,4;1,66;1;11;14;36;38;10;6;3;3;1,48
28/11/2023;0,37;1,05;1;9;10;60;65;6;4;3;3;0,74
