Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2023;2;6;8;10;4;6
30/12/2023;3;11;16;6;6;5
29/12/2023;9;27;41;12;7;5
28/12/2023;2;7;11;4;3;5
27/12/2023;3;8;12;6;4;5
26/12/2023;16;29;53;12;11;11
25/12/2023;4;17;24;7;7;10
24/12/2023;3;18;23;7;7;6
23/12/2023;1;6;9;6;3;5
22/12/2023;3;9;13;13;7;5
21/12/2023;3;8;12;9;5;5
20/12/2023;5;14;21;10;4;5
19/12/2023;17;30;57;18;17;8
18/12/2023;28;29;72;18;17;11
17/12/2023;8;24;36;12;11;10
16/12/2023;5;21;28;9;10;5
15/12/2023;6;19;28;6;3;5
14/12/2023;5;13;21;11;4;5
13/12/2023;4;10;16;7;3;5
12/12/2023;5;18;27;7;5;5
11/12/2023;2;7;10;4;3;5
10/12/2023;2;7;11;6;4;5
09/12/2023;1;5;8;4;2;5
08/12/2023;2;5;8;5;4;6
07/12/2023;2;6;9;3;2;5
06/12/2023;6;19;28;8;8;6
05/12/2023;4;17;24;9;7;7
04/12/2023;3;8;12;4;2;5
03/12/2023;2;10;13;6;7;5
02/12/2023;3;12;16;6;4;7
01/12/2023;4;11;17;3;3;6
30/11/2023;5;18;25;5;3;5
29/11/2023;9;21;35;11;10;5
28/11/2023;5;19;27;;5;5
27/11/2023;16;14;39;;7;6
26/11/2023;7;19;30;11;12;6
25/11/2023;3;17;21;9;9;5
24/11/2023;17;28;55;17;19;5
23/11/2023;14;21;44;12;9;5
22/11/2023;6;15;24;7;3;5
21/11/2023;4;12;19;7;3;5
20/11/2023;24;21;58;11;9;5
19/11/2023;9;20;35;14;15;7
18/11/2023;8;24;36;10;10;6
17/11/2023;11;22;39;12;10;5
16/11/2023;3;10;15;6;3;3
15/11/2023;8;22;34;11;8;5
14/11/2023;3;12;17;5;3;3
13/11/2023;3;5;9;4;2;3
12/11/2023;3;8;13;8;7;4
11/11/2023;12;24;42;11;12;4
10/11/2023;4;20;26;7;6;9
09/11/2023;3;14;19;6;3;6
08/11/2023;3;11;16;8;8;5
07/11/2023;3;10;15;4;3;5
06/11/2023;3;11;16;6;3;7
